id_team,team_name,id_player,gp_total,poss_o,poss_d,poss_total,mp_o,mp_d,mp_total,pts_o,pts_d,pm,pts_o_per100,pts_o_per36,gp_summary_nbastatr,pts_summary_nbastatr,gp_game_logs_nbastatr,pts_game_logs_nbastatr,pm_game_logs_nbastatr
1610612737,Hawks,12411326,617,29444,29898,59342,6471.86666666667,6449.05,12920.9166666667,28034,29180,-1146,613.644212121952,1026.12410095481,,,,,
1610612738,Celtics,15867227,740,39643,39860,79503,8920.71666666667,8783.73333333333,17704.45,38538,37186,1352,717.525914966001,1179.15438239912,,,,,
1610612739,Cavaliers,9658608,725,33262,33120,66382,7294.86666666667,7380.85,14675.7166666667,33129,32755,374,651.100486018468,1058.44921243939,,,,,
1610612740,Pelicans,7114909,875,49919,50872,100791,10586.15,11100.5166666667,21686.6666666667,49264,49884,-620,684.449248943218,1139.11031692101,,,,,
1610612741,Bulls,17087040,678,38274,37936,76210,8238.1,8446.16666666667,16684.2666666667,36313,38089,-1776,665.920307930501,1096.96237393722,,,,,
1610612742,Mavericks,7526905,735,39860,40049,79909,9159.93333333333,8800.48333333333,17960.4166666667,38889,39606,-717,532.404904125126,851.666925227239,,,,,
1610612743,Nuggets,12813968,731,39860,40204,80064,8785.61666666667,8801.36666666667,17586.9833333333,40548,39724,824,673.650512415362,1108.54743703755,,,,,
1610612744,Warriors,10983001,719,39496,40235,79731,8443.21666666667,8753.31666666667,17196.5333333333,39063,40419,-1356,682.935565138904,1136.97734777127,,,,,
1610612745,Rockets,6305813,763,43861,44183,88044,9581.35,9773.31666666667,19354.6666666667,44219,43184,1035,644.851463512985,1057.23529445533,,,,,
1610612746,Clippers,11181110,726,40040,40279,80319,8644.58333333333,8882.23333333333,17526.8166666667,39656,39499,157,684.959422870642,1128.05915930358,,,,,
1610612747,Lakers,10783169,818,48418,48657,97075,10314.35,10526.7333333333,20841.0833333333,47400,47584,-184,631.067309404479,1059.8870496206,,,,,
1610612748,Heat,8135833,794,45027,44850,89877,10070.3,10118.8,20189.1,43634,43054,580,664.013806222109,1062.97423597383,,,,,
1610612749,Bucks,11284980,834,46182,46371,92553,10205.75,10360.9333333333,20566.6833333333,46372,45580,792,688.684569470292,1117.51498862325,,,,,
1610612750,Timberwolves,5281917,816,50603,50585,101188,11080.6,11099.3666666667,22179.9666666667,49626,50356,-730,635.899437410852,1061.50467346571,,,,,
1610612751,Nets,11384231,865,46197,46376,92573,10059.8333333333,10177.1833333333,20237.0166666667,45093,45567,-474,671.945541835326,1103.66456824733,,,,,
1610612752,Knicks,12815495,742,37579,37738,75317,8143.48333333333,8309.43333333333,16452.9166666667,36146,36818,-672,666.564947365192,1097.3759067638,,,,,
1610612753,Magic,8133435,649,35283,35459,70742,7739.63333333333,7756.98333333333,15496.6166666667,34072,34575,-503,572.20106168324,941.231367996413,,,,,
1610612754,Pacers,11388536,822,46783,47064,93847,10265.8,10519.6333333333,20785.4333333333,44818,46250,-1432,637.794234278181,1048.76671783072,,,,,
1610612755,76ers,9457698,594,35769,35872,71641,7772.41666666667,7699.41666666667,15471.8333333333,34638,35035,-397,596.254968703694,1017.81016104358,,,,,
1610612756,Suns,8954685,733,40383,40752,81135,8671.36666666667,8808.81666666667,17480.1833333333,40110,39472,638,541.560801969253,902.731609990493,,,,,
1610612757,Trail Blazers,8137580,648,34139,34641,68780,7478.46666666667,7651.1,15129.5666666667,32915,33538,-623,569.392856931487,922.992680236746,,,,,
1610612758,Kings,14038718,854,44299,44916,89215,9912.46666666667,10120.9666666667,20033.4333333333,43434,43011,423,686.165943762439,1106.79599586353,,,,,
1610612759,Spurs,9756077,883,44472,45214,89686,9817.18333333333,10119.8166666667,19937,42513,44270,-1757,653.669118024652,1067.35423597452,,,,,
1610612760,Thunder,6812696,849,43490,44440,87930,9712.36666666667,9487.03333333333,19199.4,42019,42494,-475,617.9660579769,1012.70570349044,,,,,
1610612761,Raptors,12909229,841,41099,41258,82357,9108.16666666667,9047.76666666667,18155.9333333333,39754,40927,-1173,666.245416553366,1082.96424851808,,,,,
1610612762,Jazz,11595835,806,42298,42836,85134,9363.35,9632,18995.35,40681,41507,-826,815.219829124882,1326.82197042103,,,,,
1610612763,Grizzlies,6907381,604,31712,32040,63752,7033.43333333333,7321.06666666667,14354.5,31078,30496,582,637.18264411383,1026.35153445927,,,,,
1610612764,Wizards,9659794,818,47544,47942,95486,10431.7833333333,10556.2166666667,20988,46463,47320,-857,671.442652994697,1103.3306441037,,,,,
1610612765,Pistons,6610344,719,36567,36965,73532,8108.26666666667,8167.56666666667,16275.8333333333,35579,36048,-469,624.487513185879,1014.56143712686,,,,,
1610612766,Hornets,7829063,789,39440,40145,79585,8635.53333333333,8832.56666666667,17468.1,39405,39223,182,593.540661764246,972.840492941627,,,,,
,"",109060018,3266,100817,101847,202664,22158.0666666667,22527.8666666667,44685.9333333333,98293,98559,-266,6554.3121570986,10828.7927983431,,,,,
,,1962937798,1,20,16,36,4.65,3.53333333333333,8.18333333333333,14,20,-6,38.8888888888889,61.5885947046843,,,,,
