id,estimate
1626145,-2.57365775617837
201148,-7.87523867947839
202339,-8.13177128750048
101106,-8.34849150700049
201145,-8.54608275421028
1628395,-8.57465852160602
2561,-8.72429102653473
202697,-8.8639317984284
1627853,-9.52441662808154
203957,-9.84232254045791
1627826,-9.99559812195097
203200,-10.0808670414877
1626167,-10.2383275108939
202334,-10.2684618746063
201952,-10.3279410777301
1628365,-10.4116521810769
201578,-10.6951693774163
1627812,-10.7102791692673
1628384,-11.6858075619618
201144,-11.7231658644665
1626172,-11.7879603032683
203526,-12.0002457601449
1627759,-12.2110695579808
201568,-12.2258588584193
201585,-12.6434106888823
201569,-12.7297446025773
203922,-12.8141041411031
201960,-12.8998948224998
203920,-12.9041523331851
202325,-12.9952073143082
2585,-13.0433834059993
2744,-13.0655734549866
1626220,-13.1129664955142
203943,-13.1258281725909
1628369,-13.1844751680494
201956,-13.2893871525851
203110,-13.3750643932258
201950,-13.5325439296843
203460,-13.53785650931
202340,-13.5740240835811
200768,-13.5956966709241
201937,-13.6484551335119
1627827,-13.719242403149
203935,-13.8404139545942
1627749,-13.8562774697219
203924,-13.9616640200056
203960,-14.0020371837003
1627832,-14.0214411596855
203948,-14.104187364394
1627734,-14.2261250437581
203078,-14.2738877099886
1628469,-14.2830551613587
1628371,-14.3034893922664
1628407,-14.3576665460631
1626161,-14.4336442413719
1628470,-14.4606372563318
202696,-14.5042443929249
1628414,-14.5110775026282
101123,-14.5736451341047
1628382,-14.6230646534111
101139,-14.6857624281312
203469,-14.7092123413388
203954,-14.7135526027087
1628386,-14.7218122852123
203077,-14.7380499828994
203496,-14.7407697568275
1628425,-14.7439156714742
200757,-14.8281325178008
203898,-14.9050720887205
203932,-14.9434292602233
1628373,-14.9449913489625
201163,-14.9453432140637
204001,-15.0555886487733
203585,-15.1152666789875
201580,-15.1476507471912
101141,-15.1571289163631
2738,-15.3177676550334
201949,-15.3537379614721
1627758,-15.4409187315744
1626257,-15.4929806784479
203145,-15.5529099715942
203076,-15.5674727665854
203914,-15.57539628086
1627835,-15.5888414831162
1628366,-15.5895036488122
1938,-15.6319338056099
1628381,-15.7878562483432
203507,-15.8039561950495
202329,-15.841102017625
203109,-15.8574271837532
2754,-15.8815403741128
1628422,-16.0471465843199
203499,-16.0641749088541
203962,-16.0664566563107
203087,-16.0695682947116
1627746,-16.0789787326829
1627936,-16.0979521644885
1627740,-16.1397673908047
201599,-16.2864865196106
1626155,-16.3239741098214
203477,-16.3516646183324
1628436,-16.36089347059
1628415,-16.424417042824
201609,-16.4273192407217
203486,-16.434801254428
201936,-16.4678634108946
1626153,-16.5537380628242
203493,-16.605159172781
1626196,-16.6981383017472
201601,-16.7451435372173
202779,-16.7478805176262
1627885,-16.8150908806127
1626169,-16.9041089090413
201933,-16.9252188323457
201967,-16.9624125766483
2225,-16.979581378109
2731,-16.9846669364747
1628398,-17.0328616027899
1626204,-17.0880739424932
203464,-17.1799724459873
203089,-17.2030298879397
203473,-17.2780078141576
201596,-17.306785236521
203925,-17.3310392159892
203999,-17.348223551722
201959,-17.3734959644812
1626179,-17.4147810845001
1627863,-17.4221465861751
203501,-17.4564481491781
101161,-17.4827449444437
200794,-17.4882651157729
2548,-17.5524135849468
202326,-17.5616336062144
202687,-17.5776740222664
202498,-17.5903353156398
203500,-17.6265138060482
1713,-17.6565980710327
202066,-17.6613152489434
203933,-17.7306082284977
101181,-17.803936419744
204038,-17.8114747635405
1628021,-17.8575404482106
203994,-17.8630013786258
200752,-17.8685473186701
1627814,-17.9560004566153
1626203,-17.9795650675452
1628378,-17.9982464407021
1627761,-17.999309742191
201162,-18.0005543943695
1627733,-18.0267403375966
202357,-18.0301961264676
1628455,-18.1018766849688
203937,-18.1104223113982
204020,-18.2060799133901
1626181,-18.2349707940342
201935,-18.2441566657178
201196,-18.2495082530172
203506,-18.2633528386413
202710,-18.2711629485542
1628393,-18.3744543076797
1627756,-18.3829494566174
1628367,-18.3983776620296
202704,-18.4335744959299
101108,-18.435261836711
201566,-18.4662726347999
1628467,-18.4949409406336
203497,-18.5425839806659
201563,-18.594296048404
201158,-18.6592951579116
101133,-18.6652080944683
201976,-18.7039173450361
1626159,-18.7153561822089
1628379,-18.7332230802371
202327,-18.7417101685951
1627737,-18.784637528398
202693,-18.8238139809489
203081,-18.8863619821394
203490,-18.9058065678765
202689,-18.9264993759785
203991,-18.9267098806288
2730,-18.9431429958597
1626147,-18.9620616295926
1627782,-19.0607813267742
203092,-19.1126291812593
203084,-19.1276751709607
1626224,-19.1635213763257
1627732,-19.2196333179488
203710,-19.2575762129764
2403,-19.270325668553
204456,-19.2985245864763
201572,-19.3368849593279
1626168,-19.3581930803674
1628462,-19.3611908076711
203894,-19.395145518816
1627783,-19.424962819214
204025,-19.4508503895925
203487,-19.4650649638664
1627820,-19.4937756757466
202722,-19.4975350232063
203516,-19.5869492949049
202711,-19.6238020756624
1627819,-19.6819551558506
1627755,-19.6866551547776
1628463,-19.7130344943914
203944,-19.7184096530892
204060,-19.7516067038038
2772,-19.7527255985691
101162,-19.9088485098425
202389,-19.9188650001778
201980,-19.9260862473938
200826,-19.930938420343
203468,-19.9336977666231
200746,-19.9399143401613
203917,-19.950937660893
1626164,-20.1287435279667
1717,-20.1416209706818
2200,-20.1506375348553
203118,-20.2163715441531
203463,-20.2407125544131
201954,-20.2703603676194
203484,-20.2821464649768
1626209,-20.3118889463384
203382,-20.3246848770223
202699,-20.3730033999045
201188,-20.3853750808978
1628389,-20.5804144256867
202335,-20.6428246865443
201975,-20.6620885259066
200782,-20.6748933750308
1627738,-20.6826904627058
1628439,-20.7351653566375
1628374,-20.7427502675647
200755,-20.7593982224084
1627789,-20.7662596631396
201942,-20.7989295103477
203918,-20.8117582952647
202703,-20.8203936273561
1626178,-20.8245594651952
1627747,-20.832799522378
200765,-20.92497368518
1628400,-20.9327278675785
203939,-20.9538566999884
203546,-20.9722207378871
203112,-20.9791810388169
1626150,-21.0098802312174
2734,-21.0383773934551
201142,-21.066821735882
1628464,-21.1083705384903
202714,-21.1679141139769
202344,-21.2198677438804
201586,-21.2339027027663
1891,-21.2764459750227
2594,-21.3933308261173
203966,-21.4341894819692
202683,-21.4395058855129
203903,-21.4856968932572
203107,-21.505932516217
202322,-21.512968356423
201584,-21.5390775280313
1627098,-21.5736874139279
1626149,-21.6580604712436
203459,-21.6835452876782
101112,-21.6956781474196
1627763,-21.7007356181138
203521,-21.7366958621157
2544,-21.7620905524357
2546,-21.8047414127034
1627884,-21.8104200828663
101109,-21.8114684155421
1628409,-21.8170050889804
203457,-21.8239153651256
203530,-21.8824448774132
1627736,-21.9166953092209
201588,-21.974392401871
203476,-22.0415848915009
1628380,-22.0559780157275
203186,-22.0670268554708
1626158,-22.0856574595459
1627752,-22.141330383055
201567,-22.1466820942178
203095,-22.1468401876843
1627742,-22.1524989630078
1626246,-22.1647983735591
203967,-22.2579976256063
203090,-22.2698815193324
1628390,-22.3042022358405
203488,-22.3826616564594
1627781,-22.4133448135859
202397,-22.4327057265027
203518,-22.4554503744735
202323,-22.4929256292314
201571,-22.4933734007053
202337,-22.5050968192442
2216,-22.5187305440145
201988,-22.5244629376238
2733,-22.6077864428044
203124,-22.7175404611929
1628412,-22.7356392510695
203082,-22.7408046386828
203121,-22.7580240933315
203961,-22.7936359320329
1627739,-22.7988621174146
201573,-22.8062644496822
203115,-22.8839293807349
203101,-22.9287670075506
201160,-22.9379973995396
201229,-22.98232977381
202709,-23.0218824926757
201152,-23.0343381191196
1626171,-23.0424548052067
202331,-23.0503227639076
1628503,-23.0952517705764
201587,-23.1554421616952
1627748,-23.1607623652468
203471,-23.1638358900677
203482,-23.217004175219
201961,-23.2283493787572
201939,-23.3862658964217
202694,-23.4132476738966
1627823,-23.4350587521693
201143,-23.4483263038487
1627988,-23.5124915042718
201167,-23.5125482195047
1626170,-23.5336228635123
202734,-23.5771546078618
201973,-23.5930744295878
1628404,-23.7159108035724
1628388,-23.7336483152563
2207,-23.809490919765
203926,-23.8981017519742
203210,-23.9375967317421
202324,-24.0667699448387
1626185,-24.1322368913199
202684,-24.2633858855487
1626192,-24.3632117747529
1627767,-24.3729428408178
1626166,-24.3831046319102
203458,-24.4183546411252
2199,-24.4395074738914
203613,-24.4438710637323
1626162,-24.4707647737925
203915,-24.5280655375255
202691,-24.5757943351299
1627741,-24.578732664975
201565,-24.6834073543803
101107,-24.6974736582637
202692,-24.7387384565719
201147,-24.8162284058537
1628397,-24.8707612360105
202681,-24.8742080893582
203083,-24.9263633273342
202702,-24.9632345195322
203952,-25.0125530320196
1627854,-25.0617310518204
1628372,-25.2188610787724
202355,-25.3535203734084
203992,-25.4820911099832
203079,-25.5550953690605
101150,-25.5955592335973
1626195,-25.6557094908108
1627858,-25.6818851328202
2747,-25.8599342296695
1628411,-26.0289003901936
204028,-26.1801594760351
203114,-26.2131547827011
202738,-26.3194936911036
2749,-26.4931412357145
202732,-26.5353070829125
203953,-26.7247447054247
101127,-26.8117114974171
