id,name,slug,rank,orapm,drapm,rapm
202738,Isaiah Thomas,DEN,1,4.02105438821346,0.959152277764303,4.98020666597777
202695,Kawhi Leonard,TOR,2,4.11417210160418,0.360349944473813,4.47452204607799
200755,JJ Redick,PHI,3,2.36294085493888,1.51719446350558,3.88013531844445
101108,Chris Paul,HOU,4,3.79522917658153,-0.183102355734675,3.61212682084686
203914,Gary Harris,DEN,5,1.95684513479515,1.51522812300865,3.47207325780381
202681,Kyrie Irving,BOS,6,3.29046287432005,0.103450547381786,3.39391342170183
101150,Lou Williams,LAC,7,2.74787167403202,0.543798530530822,3.29167020456284
201578,Marreese Speights,"",8,3.00815668156131,0.238688043196087,3.2468447247574
201935,James Harden,HOU,9,2.28286940181384,0.823108488827497,3.10597789064134
202689,Kemba Walker,CHA,10,2.86652862858842,0.220698133865278,3.0872267624537
203486,Mason Plumlee,DEN,11,2.48972930646078,0.576892472780611,3.06662177924139
204060,Joe Ingles,UTA,12,2.69256050049774,0.310751297513934,3.00331179801168
202322,John Wall,WAS,13,2.58367944652781,0.343850559517171,2.92753000604498
203952,Andrew Wiggins,MIN,14,1.69038633493338,1.21529757161647,2.90568390654985
201568,Danilo Gallinari,LAC,15,2.90527580906422,-0.0660059179837995,2.83926989108042
1626157,Karl-Anthony Towns,MIN,16,2.46925382190521,0.299593959343388,2.7688477812486
202328,Greg Monroe,TOR,17,2.43871861339126,0.295363478541917,2.73408209193318
201142,Kevin Durant,GSW,18,3.02138369087665,-0.326682442746528,2.69470124813012
203999,Nikola Jokic,DEN,19,3.04662676536401,-0.37249280720933,2.67413395815468
2544,LeBron James,LAL,20,3.19781686493475,-0.535131337563634,2.66268552737111
203085,Austin Rivers,WAS,21,1.59219149637175,0.912762092445087,2.50495358881683
201144,Mike Conley,MEM,22,2.6803483237858,-0.25923724270107,2.42111108108473
201939,Stephen Curry,GSW,23,2.92208576299206,-0.63327342397873,2.28881233901333
201566,Russell Westbrook,OKC,24,1.72040261742885,0.563207255048708,2.28360987247756
201156,Nick Young,DEN,25,1.16061738555079,1.09402942525116,2.25464681080196
203078,Bradley Beal,WAS,26,2.63621249905242,-0.38746415028699,2.24874834876543
201973,Jonas Jerebko,GSW,27,1.52420285170247,0.6905975049679,2.21480035667037
202329,Al-Farouq Aminu,POR,28,3.04536679289766,-0.86209258864995,2.18327420424771
201586,Serge Ibaka,TOR,29,1.99236590433986,0.155691245638518,2.14805714997838
203090,Maurice Harkless,POR,30,1.97889976729876,0.0796821301779809,2.05858189747674
202326,DeMarcus Cousins,GSW,31,1.40006335190083,0.616890550640677,2.01695390254151
201942,DeMar DeRozan,SAS,32,1.78471234132728,0.223497032931831,2.00820937425911
1938,Manu Ginobili,"",33,2.89632665110839,-0.949508051748756,1.94681859935964
201954,Darren Collison,IND,34,1.65107929493621,0.248590552103642,1.89966984703986
201933,Blake Griffin,DET,35,1.12363666000363,0.772957457111789,1.89659411711542
2207,Joe Johnson,"",36,1.90409319157899,-0.03885680458961,1.86523638698938
201961,Wayne Ellington,MIA,37,2.24272561766248,-0.380433026784812,1.86229259087767
101161,Amir Johnson,PHI,38,2.96707261190904,-1.10518050477154,1.86189210713751
203521,Matthew Dellavedova,CLE,39,0.767903307268834,1.03273295220756,1.80063625947639
201584,Courtney Lee,NYK,40,1.2862298159884,0.463253124777622,1.74948294076602
203501,Tim Hardaway Jr.,NYK,41,1.69663215622062,0.0362879190438826,1.7329200752645
203939,Dwight Powell,DAL,42,0.460478005621025,1.24728874409362,1.70776674971465
1626163,Frank Kaminsky,CHA,43,1.23290760306789,0.397005604895175,1.62991320796307
201967,Dante Cunningham,SAS,44,1.23131027557191,0.38035498848836,1.61166526406027
101145,Monta Ellis,"",45,2.06505765429441,-0.508450790497317,1.5566068637971
1626181,Norman Powell,TOR,46,1.37262879433819,0.149583048798376,1.52221184313657
201583,Ryan Anderson,PHX,47,1.6965623455826,-0.177041531995433,1.51952081358717
201229,Anthony Tolliver,MIN,48,0.964565136299142,0.528901983193749,1.49346711949289
203086,Meyers Leonard,POR,49,0.493188512200113,0.965138131746009,1.45832664394612
101139,CJ Miles,TOR,50,1.26652400909717,0.173755480471877,1.44027948956904
101107,Marvin Williams,CHA,51,0.00529881058742018,1.43289128213447,1.43819009272189
204038,Langston Galloway,DET,52,1.40287812596563,-0.0138377760940427,1.38904034987159
201952,Jeff Teague,MIN,53,0.343196717524019,1.0403184263807,1.38351514390472
1717,Dirk Nowitzki,DAL,54,1.28153919508907,0.0552030100530262,1.3367422051421
201158,Marco Belinelli,SAS,55,0.961485353402669,0.334580341601812,1.29606569500448
203926,Doug McDermott,IND,56,0.321705730204822,0.974239972183669,1.29594570238849
202083,Wesley Matthews,DAL,57,0.35555676844955,0.935584431207342,1.29114119965689
1627812,Yogi Ferrell,SAC,58,0.449057388561117,0.824303881580458,1.27336127014157
201588,George Hill,MIL,59,1.33513173423219,-0.0876629383715474,1.24746879586064
1627737,Marquese Chriss,HOU,60,-0.436562204606878,1.64962281302515,1.21306060841828
1627747,Caris LeVert,BKN,61,0.412861343038295,0.797961439638969,1.21082278267726
101135,David Lee,"",62,2.18754466641647,-0.978323513082224,1.20922115333425
101114,Deron Williams,"",63,-0.0133184657827532,1.21181527866731,1.19849681288455
202697,Iman Shumpert,SAC,64,0.983030849767881,0.212945891843653,1.19597674161153
2210,Richard Jefferson,"",65,2.01650506502231,-0.837975026152297,1.17853003887001
202330,Gordon Hayward,BOS,66,1.38688966875824,-0.219332910554167,1.16755675820407
203468,CJ McCollum,POR,67,1.17966262208843,-0.0126242947305327,1.1670383273579
2037,Jamal Crawford,PHX,68,0.0655560514899918,1.09304824584771,1.1586042973377
203484,Kentavious Caldwell-Pope,LAL,69,0.306712944206191,0.83844109625843,1.14515404046462
200768,Kyle Lowry,TOR,70,2.21133451582197,-1.06827055272355,1.14306396309842
203933,T.J. Warren,PHX,71,0.230235818421969,0.908745926830537,1.13898174525251
201587,Nicolas Batum,CHA,72,0.666550396261506,0.460934064432376,1.12748446069388
201188,Marc Gasol,MEM,73,0.901183477932263,0.204636395827748,1.10581987376001
201565,Derrick Rose,MIN,74,1.12604829828071,-0.0286942927936292,1.09735400548708
1626164,Devin Booker,PHX,75,0.663330151920077,0.41261218793425,1.07594233985433
203503,Tony Snell,MIL,76,0.75803132961696,0.317767551025551,1.07579888064251
202397,Ish Smith,DET,77,0.994036298799892,0.0802600937835173,1.07429639258341
203109,Jae Crowder,UTA,78,2.23194602836058,-1.17570182902612,1.05624419933446
203087,Jeremy Lamb,CHA,79,0.795596423067534,0.250798190055585,1.04639461312312
203084,Harrison Barnes,DAL,80,0.898874760356323,0.132722849491254,1.03159760984758
201960,DeMarre Carroll,BKN,81,1.70380097432572,-0.686213345457374,1.01758762886834
1626156,D'Angelo Russell,BKN,82,-0.738930020989991,1.75007884456404,1.01114882357405
203546,Ian Clark,NOP,83,1.19263946811774,-0.200599561320513,0.992039906797224
1627742,Brandon Ingram,LAL,84,0.254497965664676,0.725445336026928,0.979943301691604
203459,Allen Crabbe,BKN,85,-0.0599278564124804,1.00694039694887,0.947012540536394
202711,Bojan Bogdanovic,IND,86,-0.0358688782298516,0.975590263666173,0.939721385436322
101162,Marcin Gortat,LAC,87,-0.243153873369172,1.17965366113295,0.936499787763781
203471,Dennis Schroder,OKC,88,0.434675654523457,0.497313869209682,0.93198952373314
201943,Brandon Jennings,"",89,0.571900273655172,0.352261720133765,0.924161993788937
1627750,Jamal Murray,DEN,90,1.13223894240878,-0.214455376407987,0.917783566000794
