id,name
203468,CJ McCollum
203469,Cody Zeller
203471,Dennis Schroder
203473,Dewayne Dedmon
203474,DJ Stephens
203476,Gorgui Dieng
203477,Isaiah Canaan
203481,Jeff Withey
203482,Kelly Olynyk
203484,Kentavious Caldwell-Pope
203485,Lorenzo Brown
203486,Mason Plumlee
203487,Michael Carter-Williams
203488,Mike Muscala
203489,Nate Wolters
203490,Otto Porter Jr.
203493,Reggie Bullock
203496,Robert Covington
203497,Rudy Gobert
203498,Shabazz Muhammad
203499,Shane Larkin
203500,Steven Adams
203501,Tim Hardaway Jr.
203503,Tony Snell
203504,Trey Burke
203505,Vander Blue
203506,Victor Oladipo
203507,Giannis Antetokounmpo
203510,Pierre Jackson
203512,Lucas Nogueira
203516,James Ennis III
203518,Alex Abrines
203521,Matthew Dellavedova
203524,Solomon Hill
203526,Raul Neto
203527,Ryan Kelly
203530,Joffrey Lauvergne
203546,Ian Clark
203552,Seth Curry
203580,Larry Drew II
203584,Troy Daniels
203585,Rodney McGruder
203613,Jonathon Simmons
203816,Scotty Hopson
203894,Shabazz Napier
203895,Jordan McRae
203897,Zach LaVine
203898,Tyler Ennis
203900,Markel Brown
203901,Elfrid Payton
203902,Semaj Christon
203903,Jordan Clarkson
203909,KJ McDaniels
203912,CJ Wilcox
203914,Gary Harris
203915,Spencer Dinwiddie
203917,Nik Stauskas
203918,Rodney Hood
203922,Glenn Robinson III
203923,James Young
203924,Jerami Grant
203925,Joe Harris
203926,Doug McDermott
203930,Sean Kilpatrick
203932,Aaron Gordon
203933,T.J. Warren
203934,Lamar Patterson
203935,Marcus Smart
203937,Kyle Anderson
203939,Dwight Powell
203940,Adreian Payne
203943,Noah Vonleh
203944,Julius Randle
203948,Johnny O'Bryant III
203949,James Michael McAdoo
203950,Jarnell Stokes
203952,Andrew Wiggins
203953,Jabari Parker
203954,Joel Embiid
203957,Dante Exum
203960,JaKarr Sampson
203961,Eric Moreland
203962,Josh Huestis
203967,Dario Saric
203991,Clint Capela
203994,Jusuf Nurkic
203998,Bruno Caboclo
203999,Nikola Jokic
204001,Kristaps Porzingis
204002,Edy Tavares
204014,Damjan Rudez
204020,Tyler Johnson
204022,Jack Cooley
204025,Tim Frazier
204028,Tarik Black
204037,Travis Wear
204038,Langston Galloway
204060,Joe Ingles
204065,David Stockton
204066,John Holland
204067,Jarell Eddie
204098,Xavier Munford
204456,T.J. McConnell
1626143,Jahlil Okafor
1626144,Emmanuel Mudiay
1626145,Tyus Jones
1626147,Justin Anderson
1626148,Anthony Brown
1626149,Montrezl Harrell
1626150,Andrew Harrison
1626151,Aaron Harrison
1626153,Delon Wright
1626154,RJ Hunter
1626155,Sam Dekker
1626156,D'Angelo Russell
1626157,Karl-Anthony Towns
1626158,Richaun Holmes
1626159,Justise Winslow
1626161,Willie Cauley-Stein
1626162,Kelly Oubre Jr.
1626163,Frank Kaminsky
1626164,Devin Booker
1626166,Cameron Payne
1626167,Myles Turner
1626168,Trey Lyles
1626169,Stanley Johnson
1626170,Jerian Grant
1626171,Bobby Portis
1626172,Kevon Looney
1626173,Rashad Vaughn
1626174,Christian Wood
1626175,Jordan Mickey
1626176,Rakeem Christmas
1626178,Rondae Hollis-Jefferson
1626179,Terry Rozier
1626181,Norman Powell
1626184,Chasson Randle
1626185,Jarell Martin
1626188,Quinn Cook
1626191,Chris McCullough
1626192,Pat Connaughton
1626195,Willy Hernangomez
1626196,Josh Richardson
1626199,Darrun Hilliard
1626202,Joe Young
1626203,Treveon Graham
1626204,Larry Nance Jr.
1626209,Mario Hezonja
1626210,Alan Williams
1626242,Luis Montero
1626245,Cristiano Felicio
1626246,Boban Marjanovic
1626253,Axel Toupane
1626254,Maurice Ndour
1626257,Salah Mejri
1626273,Marcelo Huertas
1626780,Jonathan Gibson
1627098,Malcolm Delaney
1627362,Briante Weber
1627732,Ben Simmons
1627733,Dragan Bender
1627734,Domantas Sabonis
1627735,Wade Baldwin IV
1627736,Malik Beasley
1627737,Marquese Chriss
1627738,Deyonta Davis
1627739,Kris Dunn
1627740,Henry Ellenson
1627741,Buddy Hield
1627742,Brandon Ingram
1627743,Demetrius Jackson
1627744,Brice Johnson
1627745,Damian Jones
1627746,Skal Labissiere
1627747,Caris LeVert
1627748,Thon Maker
1627749,Dejounte Murray
1627750,Jamal Murray
1627751,Jakob Poeltl
1627752,Taurean Prince
1627754,Diamond Stone
1627755,Tyler Ulis
1627756,Denzel Valentine
1627757,Stephen Zimmerman
1627758,Ron Baker
1627759,Jaylen Brown
1627761,DeAndre' Bembry
1627762,Joel Bolomboy
1627763,Malcolm Brogdon
1627767,Cheick Diallo
1627770,Kay Felder
1627771,Michael Gbinije
1627773,AJ Hammons
1627774,Jake Layman
1627775,Patrick McCaw
1627777,Georges Niang
1627778,Chinanu Onuaku
1627780,Gary Payton II
1627781,Malachi Richardson
1627782,Wayne Selden
1627783,Pascal Siakam
1627784,Jarrod Uthoff
1627785,Isaiah Whitehead
1627786,Troy Williams
1627787,Kyle Wiltjer
1627789,Timothe Luwawu-Cabarrot
1627791,Ben Bentil
1627812,Yogi Ferrell
1627815,Sheldon Mac
1627816,Alex Poythress
1627817,Tim Quarterman
1627819,Isaiah Taylor
1627823,Juancho Hernangomez
1627826,Ivica Zubac
1627827,Dorian Finney-Smith
1627832,Fred VanVleet
1627834,Georgios Papagiannis
1627835,Paul Zipser
1627848,Shawn Long
1627849,Daniel Ochefu
1627850,Marshall Plumlee
1627851,Mindaugas Kuzminskas
1627852,Nicolas Brussino
1627854,Bryn Forbes
1627855,Okaro White
1627861,Mike Tobey
1627863,Danuel House Jr.
1627868,Patricio Garino
1627875,Marcus Georges-Hunt
1627879,Nicolas Laprovittola
1627884,Derrick Jones Jr.
1628021,David Nwaba
