id_team,team_name,gp_calc,poss_o_calc,poss_d_calc,poss_both_calc,mp_o_calc,mp_d_calc,mp_both_calc,pts_o_calc,pts_d_calc,pp100poss_o_calc,pp100poss_d_calc,pm_calc
1610612737,Hawks,616,30485,30905,61390,6552.75,6447.26666666667,13000.0166666667,27818,29481,1177.9055806052,1246.86258586691,-1663
1610612738,Celtics,740,40884,41180,82064,8992.35,8838.33333333334,17830.6833333333,38682,37090,1394.30203960677,1351.3242599877,1592
1610612739,Cavaliers,725,34369,34374,68743,7277.18333333333,7472.45,14749.6333333333,32838,33087,1245.27311887649,1270.49688513584,-249
1610612740,Pelicans,870,51313,52245,103558,10499.4,11174.85,21674.25,49115,49189,1319.36608945723,1333.73510809315,-74
1610612741,Bulls,678,39684,39070,78754,8207.85,8599.66666666667,16807.5166666667,35982,38368,1273.73210842999,1370.59025017042,-2386
1610612742,Mavericks,734,40941,41330,82271,9293.71666666667,8779.93333333333,18073.65,38736,39939,1038.86169456202,1055.08627696645,-1203
1610612743,Nuggets,723,41265,40668,81933,8717.4,8742.36666666667,17459.7666666667,39898,39161,1305.92752961592,1442.05665008259,737
1610612744,Warriors,709,40080,41263,81343,8231.65,8865.08333333334,17096.7333333333,40315,38115,1393.57064606833,1294.34670717679,2200
1610612745,Rockets,763,45830,45307,91137,9617.33333333333,9870.41666666667,19487.75,45021,42421,1247.86968238023,1218.81483661255,2600
1610612746,Clippers,723,41593,41638,83231,8748.78333333333,8884.51666666667,17633.3,39674,39432,1325.37022938356,1319.89611306685,242
1610612747,Lakers,817,50190,50179,100369,10269.45,10699.9833333333,20969.4333333333,47058,47754,1211.05511939316,1225.38494238386,-696
1610612748,Heat,785,45918,45787,91705,10139.55,9884.96666666667,20024.5166666667,42787,42444,1287.69879826512,1296.24863074655,343
1610612749,Bucks,834,47796,48275,96071,10127.8166666667,10587.6333333333,20715.45,45897,46020,1300.99509526323,1345.10586040102,-123
1610612750,Timberwolves,816,52466,52038,104504,11324.8,11012.8666666667,22337.6666666667,50832,49158,1230.16209200923,1228.58626457604,1674
1610612751,Nets,865,47895,48148,96043,10368.0833333333,9977.81666666667,20345.9,44798,45846,1294.50683411177,1319.52028601293,-1048
1610612752,Knicks,743,38920,38805,77725,8376.56666666667,8189.21666666667,16565.7833333333,35724,37217,1289.79430438144,1338.48279442611,-1493
1610612753,Magic,649,36340,36750,73090,7790.93333333333,7820.7,15611.6333333333,33603,35104,1097.71743519353,1138.92904140244,-1501
1610612754,Pacers,822,48166,48634,96800,10437.45,10486.9833333333,20924.4333333333,45821,45222,1267.40628247652,1368.97847118286,599
1610612755,76ers,593,36943,36945,73888,7721.8,7814,15535.8,35432,34018,1152.42038562773,1124.02389516145,1414
1610612756,Suns,733,41936,42081,84017,8735.5,8843.9,17579.4,38841,40635,1020.65679611454,1054.29425213506,-1794
1610612757,Trail Blazers,648,35630,35390,71020,7828.46666666667,7422.45,15250.9166666667,33564,32906,1118.44169960995,1134.71365806364,658
1610612758,Kings,854,46113,45907,92020,10223.7166666667,9926.51666666667,20150.2333333333,42017,44463,1281.05560459092,1352.68570739944,-2446
1610612759,Spurs,885,46504,46164,92668,10160.7,9856.1,20016.8,44018,42635,1296.05333997856,1346.04129845651,1383
1610612760,Thunder,848,46153,44867,91020,9404.38333333333,9904.48333333333,19308.8666666667,42564,42126,1185.66423029135,1221.7620816317,438
1610612761,Raptors,841,42691,42660,85351,9146.08333333333,9129.68333333333,18275.7666666667,41461,39181,1342.492192619,1379.02212033061,2280
1610612762,Jazz,806,44098,43907,88005,9700.58333333333,9415.95,19116.5333333333,42130,40089,1720.88140923717,1419.29391770508,2041
1610612763,Grizzlies,603,32976,32896,65872,7395.75,7058.43333333333,14454.1833333333,30172,31354,1182.62181894906,1237.23904564242,-1182
1610612764,Wizards,818,49458,49550,99008,10594.1833333333,10534.6833333333,21128.8666666667,47297,46522,1321.40487720761,1296.51579419931,775
1610612765,Pistons,718,38041,37908,75949,8203.5,8178.73333333333,16382.2333333333,35996,35551,1224.86272314538,1207.90444259086,445
1610612766,Hornets,789,41688,40930,82618,8883.38333333333,8694.56666666667,17577.95,39149,39428,1118.55427430289,1154.99930953793,-279
,"",3254,104544,105113,209657,22446.15,22303.8333333333,44749.9833333333,96601,99879,12393.6442107764,13078.0002142862,-3278
,,1,20,16,36,4.65,3.53333333333333,8.18333333333333,14,20,70,125,-6
