pts_home,pts_away,pts_total,pts_team1,pts_team2,pts1,pts2,is_off1,is_home1,rn,id_game,slug_team1,slug_team2,name_player1,slug_team_player1,play_type,description,pk,period,event_num,pc_time_string,player1_id,player1_id_team,id_team1,id_team2,lineup1,lineup2,half,location_game1,poss_num,mp
68,69,137,68,69,2,2,FALSE,TRUE,54807,21700243,ORL,IND,Victor Oladipo,IND,FreeThrow,Oladipo Free Throw 2 of 2 (20 PTS),0021700243_435,3,435,4:41,203506,1610612754,1610612753,1610612754,202696-203095-203613-203901-203932,201152-201954-202711-203506-1627734,2,H,154,0.166666666666667
73,73,146,73,73,1,31,TRUE,FALSE,62027,21700275,NOP,PHX,Anthony Davis,NOP,FreeThrow,Davis Free Throw Technical (16 PTS),0021700275_646,3,646,12:00,203076,1610612740,1610612740,1610612756,200765-201950-202326-202734-203076,2199-202328-203933-1626164-1627755,2,A,127,0
16,18,34,16,18,1,2,FALSE,TRUE,87111,21700389,NOP,PHI,Amir Johnson,PHI,Make,Johnson 2 Layup (2 PTS),0021700389_115,1,115,5:01,101161,1610612755,1610612740,1610612755,200765-201950-202326-202734-203076,101161-201573-202344-1627732-1627788,1,H,36,0.0333333333333333
111,107,218,107,111,1,2,FALSE,FALSE,87537,21700390,ATL,NYK,Kristaps Porzingis,NYK,FreeThrow,Porzingis Free Throw 2 of 2 (30 PTS),0021700390_753,4,753,0:03,204001,1610612752,1610612737,1610612752,101141-201158-203145-1627752-1627819,101127-202498-203926-1627758-1628373,2,A,220,0.0666666666666667
104,104,208,104,104,1,2,TRUE,FALSE,95763,21700427,NOP,DEN,DeMarcus Cousins,NOP,FreeThrow,Cousins Free Throw 1 of 1 (28 PTS),0021700427_594,4,594,0:29,202326,1610612740,1610612740,1610612743,200765-201950-201967-202326-202734,203115-203486-203914-1626168-1627750,2,A,218,0
112,105,217,105,112,2,2,FALSE,FALSE,98153,21700438,ORL,DET,Anthony Tolliver,DET,FreeThrow,Tolliver Free Throw 2 of 2 (17 PTS),0021700438_623,4,623,0:14,201229,1610612765,1610612753,1610612765,201571-202696-203613-203901-1626209,201229-202397-203493-204038-1626169,2,A,216,0.1
20,25,45,25,20,2,1,TRUE,FALSE,98407,21700440,CLE,WAS,Kyle Korver,CLE,FreeThrow,Korver Free Throw Technical (2 PTS),0021700440_123,1,123,2:05,2594,1610612739,1610612739,1610612764,2594-201145-201567-202684-1626224,101133-201975-203078-203107-203118,1,A,44,0.25
26,22,48,26,22,2,2,TRUE,TRUE,103302,21700462,DEN,MIN,Trey Lyles,DEN,Make,Lyles 1 Alley Oop Dunk (7 PTS) (Plumlee 1 AST),0021700462_303,2,303,11:34,1626168,1610612743,1610612743,1610612750,203115-203486-1626168-1627736-1628470,2037-203476-1626145-1626157-1627875,1,H,56,0.25
60,42,102,60,42,6,7,TRUE,TRUE,114106,21700511,NOP,BKN,Anthony Davis,NOP,FreeThrow,Davis Free Throw 1 of 1 (18 PTS),0021700511_262,2,262,5:42,203076,1610612740,1610612740,1610612751,200765-201950-202326-203076-203121,201960-203112-203459-203915-1626178,1,H,79,0
33,47,80,33,47,1,10,FALSE,TRUE,116780,21700523,MIA,BKN,Rondae Hollis-Jefferson,BKN,FreeThrow,Hollis-Jefferson Free Throw 2 of 2 (2 PTS),0021700523_271,2,271,6:05,1626178,1610612751,1610612748,1610612751,201961-202355-203482-204020-1628476,201960-203112-203459-203915-1626178,1,H,86,0.3
