term,step,estimate,lambda,dev.ratio
d0001713,1,0.0745196082116437,200,0.0142507979195103
d0001717,1,-1.67866877362696,200,0.0142507979195103
d0001891,1,-0.958752984975606,200,0.0142507979195103
d0001938,1,0.889157841922198,200,0.0142507979195103
d0002037,1,-0.303201450436712,200,0.0142507979195103
d0002199,1,-1.48859574714534,200,0.0142507979195103
d0002200,1,0.931920262427215,200,0.0142507979195103
d0002207,1,-0.0817239880995447,200,0.0142507979195103
d0002216,1,-0.710119192343136,200,0.0142507979195103
d0002225,1,0.170144927834728,200,0.0142507979195103
d0002403,1,2.35788978849475,200,0.0142507979195103
d0002544,1,-0.310549028984036,200,0.0142507979195103
d0002546,1,-0.890775496831657,200,0.0142507979195103
d0002548,1,0.456057082308963,200,0.0142507979195103
d0002561,1,1.24174437196898,200,0.0142507979195103
d0002585,1,0.754167507351119,200,0.0142507979195103
d0002594,1,0.0805180334827577,200,0.0142507979195103
d0002730,1,0.352358476733282,200,0.0142507979195103
d0002731,1,2.03941545891735,200,0.0142507979195103
d0002733,1,0.706389974412967,200,0.0142507979195103
d0002734,1,0.667050503832061,200,0.0142507979195103
d0002738,1,0.914198121599888,200,0.0142507979195103
d0002744,1,-0.778159960645836,200,0.0142507979195103
d0002747,1,-1.04888566359483,200,0.0142507979195103
d0002749,1,-1.71976169985204,200,0.0142507979195103
d0002754,1,-1.46162436107176,200,0.0142507979195103
d0002772,1,0.434519787422822,200,0.0142507979195103
d0101106,1,2.68797728502336,200,0.0142507979195103
d0101107,1,-0.775370583165707,200,0.0142507979195103
d0101108,1,-0.252545054038196,200,0.0142507979195103
d0101109,1,1.32441681104268,200,0.0142507979195103
d0101112,1,0.609937849904309,200,0.0142507979195103
d0101123,1,0.78483731594482,200,0.0142507979195103
d0101127,1,-0.950745118207131,200,0.0142507979195103
d0101133,1,0.81078091267382,200,0.0142507979195103
d0101139,1,0.984966200970644,200,0.0142507979195103
d0101141,1,1.40050665222852,200,0.0142507979195103
d0101150,1,-0.486581348154134,200,0.0142507979195103
d0101161,1,0.910341796525599,200,0.0142507979195103
d0101162,1,-0.632214783661767,200,0.0142507979195103
d0101181,1,0.494407825973436,200,0.0142507979195103
d0200746,1,0.358511046903893,200,0.0142507979195103
d0200752,1,0.878200218701393,200,0.0142507979195103
d0200755,1,1.18040910526913,200,0.0142507979195103
d0200757,1,0.800229647257002,200,0.0142507979195103
d0200765,1,0.634595796829309,200,0.0142507979195103
d0200768,1,1.23977539502731,200,0.0142507979195103
d0200782,1,0.437470926689468,200,0.0142507979195103
d0200794,1,-3.63739002877154,200,0.0142507979195103
d0200826,1,0.390026033098969,200,0.0142507979195103
d0201142,1,-0.0823686029986088,200,0.0142507979195103
d0201143,1,-0.495396496702618,200,0.0142507979195103
d0201144,1,0.197961736702023,200,0.0142507979195103
d0201145,1,1.13118492108402,200,0.0142507979195103
d0201147,1,-1.06508845468313,200,0.0142507979195103
d0201148,1,3.15840362004747,200,0.0142507979195103
d0201152,1,0.669307647900044,200,0.0142507979195103
d0201156,1,-0.324824150747419,200,0.0142507979195103
d0201158,1,0.126432683276158,200,0.0142507979195103
d0201160,1,-0.243931857127888,200,0.0142507979195103
d0201162,1,-0.371181228566793,200,0.0142507979195103
d0201163,1,-0.710870920212466,200,0.0142507979195103
d0201167,1,-1.65365426710667,200,0.0142507979195103
d0201188,1,-0.517965568307975,200,0.0142507979195103
d0201196,1,-0.697646984505576,200,0.0142507979195103
d0201229,1,-0.573703245648814,200,0.0142507979195103
d0201563,1,-0.140014849419582,200,0.0142507979195103
d0201565,1,-0.574998456348497,200,0.0142507979195103
d0201566,1,0.686538419991726,200,0.0142507979195103
d0201567,1,0.0680780757182603,200,0.0142507979195103
d0201568,1,0.809812831438131,200,0.0142507979195103
d0201569,1,1.26930309134212,200,0.0142507979195103
d0201571,1,0.0431660595117505,200,0.0142507979195103
d0201572,1,-0.708190859680981,200,0.0142507979195103
d0201573,1,-0.404488722589753,200,0.0142507979195103
d0201577,1,-0.940483726663719,200,0.0142507979195103
d0201578,1,0.386783301166043,200,0.0142507979195103
d0201580,1,0.735479694289907,200,0.0142507979195103
d0201583,1,-0.387919702812244,200,0.0142507979195103
d0201584,1,-0.401199289665066,200,0.0142507979195103
d0201585,1,-0.0684444326473566,200,0.0142507979195103
d0201586,1,-0.0292698961733997,200,0.0142507979195103
d0201587,1,0.0221785083629884,200,0.0142507979195103
d0201588,1,-0.649658208872213,200,0.0142507979195103
d0201596,1,0.100050412760346,200,0.0142507979195103
d0201599,1,0.274877364571018,200,0.0142507979195103
d0201601,1,0.221024698156243,200,0.0142507979195103
d0201609,1,0.449231981991432,200,0.0142507979195103
d0201933,1,-0.981902225573975,200,0.0142507979195103
d0201935,1,0.0898443064603519,200,0.0142507979195103
d0201936,1,0.355986522754254,200,0.0142507979195103
d0201937,1,1.00274174240573,200,0.0142507979195103
d0201939,1,0.795157652150079,200,0.0142507979195103
d0201942,1,-0.117568412865864,200,0.0142507979195103
d0201949,1,0.831400045232881,200,0.0142507979195103
d0201950,1,1.58388078593365,200,0.0142507979195103
d0201952,1,-2.26542742008048,200,0.0142507979195103
d0201954,1,0.988337545015255,200,0.0142507979195103
d0201956,1,1.13903546797911,200,0.0142507979195103
d0201959,1,-0.382055994721121,200,0.0142507979195103
d0201960,1,-0.241441962406765,200,0.0142507979195103
d0201961,1,-0.411106239350663,200,0.0142507979195103
d0201967,1,0.219633193219465,200,0.0142507979195103
d0201973,1,1.16211854511087,200,0.0142507979195103
d0201975,1,0.037737777725238,200,0.0142507979195103
d0201976,1,-0.279055836618717,200,0.0142507979195103
d0201980,1,-0.135101305553239,200,0.0142507979195103
d0201988,1,-0.326313247319045,200,0.0142507979195103
d0202066,1,0.356964637162004,200,0.0142507979195103
d0202083,1,-0.967132747947662,200,0.0142507979195103
d0202322,1,-0.552565959060062,200,0.0142507979195103
d0202323,1,-0.15572912059487,200,0.0142507979195103
d0202324,1,0.718100421110972,200,0.0142507979195103
d0202325,1,0.631285032242957,200,0.0142507979195103
d0202326,1,-0.294438782890918,200,0.0142507979195103
d0202327,1,1.05552395698007,200,0.0142507979195103
d0202328,1,-1.1967993945858,200,0.0142507979195103
d0202329,1,-0.303554277060141,200,0.0142507979195103
d0202331,1,-0.621573383520681,200,0.0142507979195103
d0202334,1,0.660930426804748,200,0.0142507979195103
d0202335,1,-0.290370366282568,200,0.0142507979195103
d0202337,1,1.39390145990773,200,0.0142507979195103
d0202339,1,1.85709930640725,200,0.0142507979195103
d0202340,1,1.29746102482086,200,0.0142507979195103
d0202344,1,-0.164559515495001,200,0.0142507979195103
d0202355,1,-0.894932684543035,200,0.0142507979195103
d0202357,1,-0.302416431762619,200,0.0142507979195103
d0202362,1,-0.747850951986479,200,0.0142507979195103
