id_player,name_player,name_player_summary_nbastatr,gp_calc_total,gp_summary_nbastatr,poss_calc_o,poss_calc_d,poss_calc_total,mp_calc_o,mp_calc_d,mp_calc_total,mp_game_logs_nbastatr,mp_summary1_nbastatr,mp_summary2_nbastatr,pts_calc_o,pts_calc_d,pts_o_per100_calc,pm_calc,pm_game_logs_nbastatr
202689,Kemba Walker,Kemba Walker,81,81,6538,6560,13098,1465.63333333333,1413.71666666667,2879.35,2885,2885,2885,6226,5997,95.2278984398899,229,237
201609,Goran Dragic,Goran Dragic,72,72,5402,5386,10788,1205.91666666667,1148.91666666667,2354.83333333333,2361,2363,2363,5017,4798,92.8730099962977,219,203
203079,Dion Waiters,Dion Waiters,78,78,5244,5109,10353,1069.31666666667,1082.4,2151.71666666667,2157,2152,2152,4926,4708,93.9359267734554,218,219
201587,Nicolas Batum,Nicolas Batum,70,70,5524,5582,11106,1233.33333333333,1204.71666666667,2438.05,2452,2448,2448,5305,5090,96.0354815351195,215,210
203082,Terrence Ross,Terrence Ross,73,73,3918,3892,7810,900.766666666667,843.45,1744.21666666667,1751,1747,1747,3679,3464,93.8999489535477,215,241
203105,Festus Ezeli,Festus Ezeli,46,46,1849,1833,3682,361.166666666667,406.616666666667,767.783333333333,768,770,770,1800,1590,97.3499188750676,210,223
202681,Kyrie Irving,Kyrie Irving,53,53,3788,3686,7474,853.583333333333,801.65,1655.23333333333,1665,1667,1667,3642,3433,96.1457233368532,209,204
202697,Iman Shumpert,Iman Shumpert,54,54,2983,2960,5943,676.95,637.65,1314.6,1319,1316,1316,2848,2639,95.4743546765002,209,185
200794,Paul Millsap,Paul Millsap,81,81,6108,6290,12398,1290.45,1345.06666666667,2635.51666666667,2647,2647,2647,5696,5488,93.2547478716437,208,215
2733,Shaun Livingston,Shaun Livingston,78,78,3534,3608,7142,730.466666666667,784.966666666667,1515.43333333333,1512,1520,1520,3405,3203,96.3497453310696,202,208
101161,Amir Johnson,Amir Johnson,79,79,4257,4260,8517,838.933333333334,943.75,1782.68333333333,1798,1800,1800,3956,3754,92.9292929292929,202,139
203937,Kyle Anderson,Kyle Anderson,78,78,2737,2785,5522,643.25,593.983333333333,1237.23333333333,1247,1245,1245,2632,2431,96.1636828644501,201,205
203109,Jae Crowder,Jae Crowder,73,73,5551,5570,11121,1086.55,1205.51666666667,2292.06666666667,2310,2308,2308,5132,4935,92.4518104845974,197,216
201143,Al Horford,Al Horford,82,82,5977,6229,12206,1258.46666666667,1354.73333333333,2613.2,2635,2631,2631,5567,5373,93.1403714237912,194,231
202331,Paul George,Paul George,81,81,6614,6652,13266,1391.66666666667,1423.98333333333,2815.65,2827,2819,2819,6055,5874,91.5482310250983,181,181
202730,Lavoy Allen,Lavoy Allen,79,79,3677,3649,7326,789.633333333333,804.733333333333,1594.36666666667,1601,1599,1599,3351,3170,91.1340766929562,181,189
203469,Cody Zeller,Cody Zeller,73,73,4032,4007,8039,880.333333333334,882.416666666667,1762.75,1773,1774,1774,3889,3715,96.453373015873,174,165
201942,DeMar DeRozan,DeMar DeRozan,78,78,6370,6282,12652,1464.41666666667,1337.86666666667,2802.28333333333,2804,2804,2804,6005,5833,94.2700156985871,172,172
203083,Andre Drummond,Andre Drummond,81,81,6306,5998,12304,1331.21666666667,1329.65,2660.86666666667,2664,2666,2666,5656,5485,89.6923564858865,171,125
203484,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,76,76,6640,6341,12981,1392.15,1393.98333333333,2786.13333333333,2789,2789,2789,5979,5811,90.0451807228916,168,173
201976,Patrick Beverley,Patrick Beverley,71,71,4813,4779,9592,973.483333333333,1057.48333333333,2030.96666666667,2037,2041,2041,4536,4372,94.2447537918138,164,137
201933,Blake Griffin,Blake Griffin,35,35,2716,2726,5442,579.333333333333,585.983333333333,1165.31666666667,1171,1170,1170,2573,2410,94.7349042709867,163,180
203497,Rudy Gobert,Rudy Gobert,61,61,4236,4179,8415,1000.48333333333,924.133333333333,1924.61666666667,1930,1932,1932,3868,3705,91.3125590179415,163,150
203096,Jared Sullinger,Jared Sullinger,81,81,4590,4542,9132,907.966666666667,1000.55,1908.51666666667,1917,1915,1915,4207,4048,91.6557734204793,159,214
1717,Dirk Nowitzki,Dirk Nowitzki,75,75,5267,5346,10613,1217.38333333333,1142.43333333333,2359.81666666667,2362,2364,2364,5045,4888,95.7850768938675,157,255
202687,Bismack Biyombo,Bismack Biyombo,82,82,4080,4067,8147,929.75,879.183333333333,1808.93333333333,1810,1808,1808,3747,3594,91.8382352941177,153,86
202704,Reggie Jackson,Reggie Jackson,79,79,5732,5466,11198,1207.9,1202.76666666667,2410.66666666667,2424,2424,2424,5232,5079,91.2770411723657,153,129
203087,Jeremy Lamb,Jeremy Lamb,66,66,2801,2818,5619,621.05,604.666666666667,1225.71666666667,1226,1227,1227,2549,2399,91.0032131381649,150,153
203468,CJ McCollum,CJ McCollum,80,80,6519,6419,12938,1408.4,1360.55,2768.95,2776,2780,2780,6079,5933,93.2504985427213,146,157
202683,Enes Kanter,Enes Kanter,82,82,4154,4030,8184,864.6,853.216666666667,1717.81666666667,1720,1721,1721,3881,3737,93.4280211844006,144,129
201584,Courtney Lee,Courtney Lee,79,79,5184,5252,10436,1195.01666666667,1126.86666666667,2321.88333333333,2338,2334,2334,4933,4792,95.1581790123457,141,148
202694,Marcus Morris,Marcus Morris,80,80,6670,6425,13095,1431.41666666667,1411.58333333333,2843,2852,2856,2856,6061,5921,90.8695652173913,140,156
203118,Mike Scott,Mike Scott,75,75,2630,2684,5314,554.883333333333,593.033333333333,1147.91666666667,1147,1146,1146,2401,2268,91.2927756653992,133,113
203482,Kelly Olynyk,Kelly Olynyk,69,69,3352,3366,6718,676.133333333333,713.4,1389.53333333333,1396,1395,1395,3031,2900,90.4236276849642,131,216
101133,Ian Mahinmi,Ian Mahinmi,71,71,4178,4208,8386,886.95,918.55,1805.5,1816,1816,1816,3824,3694,91.5270464337003,130,108
1626159,Justise Winslow,Justise Winslow,78,78,5041,5061,10102,1127.9,1101.9,2229.8,2237,2232,2232,4612,4483,91.4897837730609,129,111
203503,Tony Snell,Tony Snell,64,64,3051,3081,6132,640.816666666667,655.966666666667,1296.78333333333,1300,1301,1301,2731,2604,89.5116355293346,127,97
201168,Tiago Splitter,Tiago Splitter,36,36,1340,1355,2695,285.35,295.066666666667,580.416666666667,578,579,579,1246,1122,92.9850746268657,124,102
203935,Marcus Smart,Marcus Smart,61,61,4117,4061,8178,805.216666666667,875.033333333333,1680.25,1666,1667,1667,3717,3596,90.284187515181,121,82
101145,Monta Ellis,Monta Ellis,81,81,6413,6474,12887,1347.91666666667,1382.61666666667,2730.53333333333,2733,2734,2734,5829,5713,90.8934975830345,116,108
201935,James Harden,James Harden,82,82,7462,7411,14873,1502.43333333333,1620.7,3123.13333333333,3121,3125,3125,6988,6872,93.6478155990351,116,120
202685,Jonas Valanciunas,Jonas Valanciunas,60,60,3509,3422,6931,817.933333333333,728.9,1546.83333333333,1558,1557,1557,3349,3238,95.4402963807352,111,147
202391,Jeremy Lin,Jeremy Lin,78,78,4682,4730,9412,1043.65,1005.96666666667,2049.61666666667,2047,2048,2048,4328,4218,92.439128577531,110,86
201588,George Hill,George Hill,74,74,5768,5825,11593,1247.65,1260.66666666667,2508.31666666667,2526,2524,2524,5268,5159,91.3314840499307,109,97
203501,Tim Hardaway Jr.,Tim Hardaway Jr.,51,51,1968,2013,3981,413.35,450.55,863.9,863,864,864,1856,1747,94.3089430894309,109,101
203918,Rodney Hood,Rodney Hood,79,79,5511,5419,10930,1323.03333333333,1197.43333333333,2520.46666666667,2545,2541,2541,5064,4955,91.8889493739793,109,130
202714,Shelvin Mack,Shelvin Mack,52,52,2381,2312,4693,548.65,511.766666666667,1060.41666666667,1057,1058,1058,2191,2084,92.0201595968081,107,97
203991,Clint Capela,Clint Capela,77,77,3558,3505,7063,700.683333333333,766.916666666667,1467.6,1468,1471,1471,3242,3135,91.1186059584036,107,102
201627,Anthony Morrow,Anthony Morrow,67,68,2176,2164,4340,459.35,461.2,920.55,928,926,926,2099,1996,96.4613970588236,103,111
202083,Wesley Matthews,Wesley Matthews,78,78,5852,5956,11808,1350.46666666667,1287.18333333333,2637.65,2641,2644,2644,5650,5548,96.5481886534518,102,97
202344,Trevor Booker,Trevor Booker,79,79,3709,3618,7327,856.8,788.016666666667,1644.81666666667,1631,1632,1632,3308,3207,89.1884605014829,101,65
203526,Raul Neto,Raul Neto,81,81,3235,3230,6465,777.883333333333,712.583333333333,1490.46666666667,1501,1499,1499,2967,2866,91.7156105100464,101,76
203999,Nikola Jokic,Nikola Jokic,80,80,4066,3868,7934,850.583333333333,873.166666666667,1723.75,1733,1733,1733,3678,3577,90.4574520413182,101,93
202325,Wesley Johnson,Wesley Johnson,80,80,3861,3952,7813,830.666666666667,832.2,1662.86666666667,1664,1666,1666,3550,3451,91.9450919450919,99,121
201596,Mario Chalmers,Mario Chalmers,61,61,3161,3177,6338,694.533333333333,677.216666666667,1371.75,1378,1373,1373,2889,2791,91.3951281240114,98,73
203613,Jonathon Simmons,Jonathon Simmons,55,55,1828,1860,3688,418.366666666667,390.766666666667,809.133333333333,811,813,813,1769,1672,96.7724288840263,97,92
201973,Jonas Jerebko,Jonas Jerebko,78,78,2819,2803,5622,576.583333333333,596.583333333333,1173.16666666667,1178,1176,1176,2516,2422,89.251507626818,94,32
202323,Evan Turner,Evan Turner,81,81,5457,5430,10887,1095.78333333333,1170.85,2266.63333333333,2269,2271,2271,4882,4789,89.463074949606,93,101
101112,Channing Frye,Channing Frye,70,70,2664,2658,5322,598.616666666667,594.816666666667,1193.43333333333,1196,1200,1200,2499,2408,93.8063063063063,91,102
202355,Hassan Whiteside,Hassan Whiteside,73,73,4796,4802,9598,1086.08333333333,1034.95,2121.03333333333,2122,2125,2125,4384,4296,91.4095079232694,88,86
203909,KJ McDaniels,K.J. McDaniels,35,37,578,587,1165,103.333333333333,129.5,232.833333333333,234,235,235,561,474,97.0588235294118,87,76
200757,Thabo Sefolosha,Thabo Sefolosha,75,75,3995,4152,8147,844.266666666667,910.483333333333,1754.75,1755,1758,1758,3660,3574,91.6145181476846,86,-19
203086,Meyers Leonard,Meyers Leonard,61,61,3097,3016,6113,681.05,647.783333333333,1328.83333333333,1331,1333,1333,2924,2842,94.4139489828867,82,100
203081,Damian Lillard,Damian Lillard,75,75,6347,6294,12641,1353.58333333333,1320.21666666667,2673.8,2673,2676,2676,6000,5921,94.5328501654325,79,94
202330,Gordon Hayward,Gordon Hayward,80,80,6461,6337,12798,1498.5,1388.13333333333,2886.63333333333,2889,2893,2893,5874,5796,90.9147190837332,78,94
203145,Kent Bazemore,Kent Bazemore,75,75,4763,4982,9745,1000.25,1065.5,2065.75,2082,2083,2083,4385,4309,92.0638253201764,76,76
1626181,Norman Powell,Norman Powell,49,49,1639,1618,3257,377.166666666667,342.95,720.116666666667,728,725,725,1555,1480,94.8749237339841,75,66
203187,Chris Johnson,Chris Johnson,70,70,1890,1902,3792,436.516666666667,409.816666666667,846.333333333333,857,857,857,1708,1636,90.3703703703704,72,2
203486,Mason Plumlee,Mason Plumlee,82,82,4845,4837,9682,1040.6,1034.85,2075.45,2087,2084,2084,4598,4527,94.9019607843137,71,37
2446,Rasual Butler,Rasual Butler,46,46,933,962,1895,221.116666666667,199.333333333333,420.45,432,432,432,916,847,98.1779206859593,69,80
202329,Al-Farouq Aminu,Al-Farouq Aminu,82,82,5501,5500,11001,1174.88333333333,1159.55,2334.43333333333,2342,2341,2341,5180,5111,94.1646973277586,69,62
203524,Solomon Hill,Solomon Hill,58,59,2044,2039,4083,426.45,437.5,863.95,867,866,866,1862,1795,91.0958904109589,67,45
202322,John Wall,John Wall,77,77,6503,6505,13008,1321.68333333333,1453.81666666667,2775.5,2783,2784,2784,6053,5987,93.0801168691373,66,100
202324,Derrick Favors,Derrick Favors,62,62,4394,4274,8668,1037.75,937.883333333333,1975.63333333333,1987,1983,1983,4012,3946,91.3063268092854,66,96
201960,DeMarre Carroll,DeMarre Carroll,26,26,1837,1756,3593,421.966666666667,364.116666666667,786.083333333333,787,786,786,1664,1599,90.5824714207948,65,47
200751,Randy Foye,Randy Foye,81,81,3857,3814,7671,820.566666666667,815.15,1635.71666666667,1640,1642,1642,3478,3415,90.1737101374125,63,28
2744,Al Jefferson,Al Jefferson,47,47,2455,2511,4966,565.216666666667,530.55,1095.76666666667,1096,1096,1096,2305,2243,93.8900203665988,62,48
202326,DeMarcus Cousins,DeMarcus Cousins,65,65,5469,5453,10922,1082.78333333333,1157.36666666667,2240.15,2244,2246,2246,5066,5006,92.6311940025599,60,37
2588,Matt Bonner,Matt Bonner,29,30,439,449,888,108.95,95.0833333333333,204.033333333333,206,206,206,455,397,103.644646924829,58,63
203895,Jordan McRae,Jordan McRae,22,22,426,441,867,93.7166666666667,99.8833333333333,193.6,195,195,195,420,363,98.5915492957746,57,44
1626245,Cristiano Felicio,Cristiano Felicio,31,31,749,721,1470,158.733333333333,160,318.733333333333,318,321,321,705,648,94.1255006675567,57,53
2403,Nene,Nene Hilario,57,57,2520,2558,5078,515.383333333333,573.55,1088.93333333333,1096,1094,1094,2374,2318,94.2063492063492,56,30
203077,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,7,7,474,457,931,101.35,102.666666666667,204.016666666667,205,205,205,455,399,95.9915611814346,56,58
201937,Ricky Rubio,Ricky Rubio,76,76,5379,5407,10786,1143.41666666667,1171.96666666667,2315.38333333333,2321,2323,2323,5055,5002,93.9765755716676,53,16
708,Kevin Garnett,Kevin Garnett,38,38,1231,1258,2489,263.316666666667,287.133333333333,550.45,558,556,556,1128,1076,91.6328188464663,52,56
2736,Luol Deng,Luol Deng,74,74,5441,5434,10875,1230.56666666667,1155.96666666667,2386.53333333333,2395,2394,2394,5019,4968,92.2440727807388,51,25
201162,Jared Dudley,Jared Dudley,81,81,4857,4895,9752,995.733333333333,1099.46666666667,2095.2,2098,2098,2098,4542,4492,93.514515132798,50,60
2037,Jamal Crawford,Jamal Crawford,79,79,4867,4983,9850,1068.25,1051.83333333333,2120.08333333333,2126,2126,2126,4541,4492,93.3018286418738,49,168
202389,Timofey Mozgov,Timofey Mozgov,76,76,2944,2939,5883,669.366666666667,647.766666666667,1317.13333333333,1328,1326,1326,2736,2687,92.9347826086957,49,2
1626196,Josh Richardson,Josh Richardson,52,52,2482,2499,4981,563.983333333333,537.566666666667,1101.55,1105,1107,1107,2289,2242,92.2240128928284,47,39
203481,Jeff Withey,Jeff Withey,51,51,1431,1427,2858,337.1,316.633333333333,653.733333333333,657,658,658,1286,1243,89.8672257162823,43,57
1626257,Salah Mejri,Salah Mejri,33,34,883,912,1795,201.9,192.033333333333,393.933333333333,397,397,397,852,809,96.4892412231031,43,43
201150,Spencer Hawes,Spencer Hawes,57,57,2350,2378,4728,527.466666666667,509.15,1036.61666666667,1032,1035,1035,2132,2090,90.7234042553192,42,44
201952,Jeff Teague,Jeff Teague,79,79,5203,5406,10609,1094.65,1147.58333333333,2242.23333333333,2257,2255,2255,4777,4735,91.8124159138958,42,70
2571,Leandro Barbosa,Leandro Barbosa,68,68,2585,2588,5173,522.5,555.033333333333,1077.53333333333,1079,1079,1079,2427,2387,93.8878143133462,40,42
203934,Lamar Patterson,Lamar Patterson,35,35,939,925,1864,199.083333333333,201.1,400.183333333333,394,395,395,893,854,95.1011714589989,39,31
1626246,Boban Marjanovic,Boban Marjanovic,54,54,1145,1124,2269,265.016666666667,238.066666666667,503.083333333333,508,508,508,1076,1037,93.9737991266376,39,54
202700,Donatas Motiejunas,Donatas Motiejunas,37,37,1278,1310,2588,258.65,283.683333333333,542.333333333333,547,547,547,1201,1163,93.9749608763693,38,46
203094,Andrew Nicholson,Andrew Nicholson,56,56,1860,1879,3739,415.116666666667,406.016666666667,821.133333333333,821,823,823,1674,1636,90,38,34
203490,Otto Porter Jr.,Otto Porter,75,75,5332,5307,10639,1066.03333333333,1197.26666666667,2263.3,2272,2276,2276,4939,4901,92.629407351838,38,45
101187,Alan Anderson,Alan Anderson,13,13,453,440,893,91.4333333333333,101.416666666667,192.85,193,192,192,427,390,94.2604856512141,37,30
201144,Mike Conley,Mike Conley,56,56,3901,3910,7811,907.433333333333,844.866666666667,1752.3,1754,1761,1761,3625,3590,92.924891053576,35,68
203463,Ben McLemore,Ben McLemore,68,68,3540,3504,7044,688.1,744.666666666667,1432.76666666667,1444,1443,1443,3269,3234,92.3446327683616,35,22
202334,Ed Davis,Ed Davis,81,81,3959,3907,7866,865.433333333333,821.416666666667,1686.85,1684,1684,1684,3589,3555,90.6542056074766,34,20
203459,Allen Crabbe,Allen Crabbe,81,81,4991,4952,9943,1069.56666666667,1032.23333333333,2101.8,2111,2105,2105,4639,4605,92.9473051492687,34,42
1626149,Montrezl Harrell,Montrezl Harrell,39,39,915,924,1839,172.816666666667,201.866666666667,374.683333333333,378,379,379,860,827,93.9890710382514,33,37
201945,Gerald Henderson,Gerald Henderson,72,72,3355,3331,6686,734.083333333333,698.066666666667,1432.15,1434,1431,1431,3090,3058,92.1013412816692,32,20
201950,Jrue Holiday,Jrue Holiday,65,65,4302,4191,8493,869.983333333333,954.866666666667,1824.85,1829,1831,1831,4023,3991,93.5146443514645,32,28
201956,Omri Casspi,Omri Casspi,69,69,4579,4593,9172,907.966666666667,973.033333333333,1881,1883,1880,1880,4238,4206,92.552959161389,32,8
2555,Nick Collison,Nick Collison,59,59,1656,1598,3254,349.316666666667,347.016666666667,696.333333333333,700,699,699,1457,1426,87.9830917874396,31,25
2772,Trevor Ariza,Trevor Ariza,81,81,6780,6733,13513,1369.28333333333,1482.73333333333,2852.01666666667,2860,2859,2859,6341,6310,93.5250737463127,31,41
1889,Andre Miller,Andre Miller,39,39,993,1009,2002,233.283333333333,227.016666666667,460.3,461,461,461,971,941,97.7844914400806,30,32
101114,Deron Williams,Deron Williams,65,65,4691,4796,9487,1070.91666666667,1031.1,2102.01666666667,2107,2106,2106,4395,4366,93.6900447665743,29,-2
203512,Lucas Nogueira,Lucas Nogueira,29,29,514,522,1036,114.45,109.516666666667,223.966666666667,227,225,225,507,479,98.6381322957198,28,24
2760,Anderson Varejao,Anderson Varejao,53,53,1182,1145,2327,253.716666666667,242.5,496.216666666667,494,496,496,1061,1035,89.7631133671743,26,24
203492,Ray McCallum,Ray McCallum,40,41,1089,1060,2149,245,225.45,470.45,473,475,475,993,967,91.1845730027548,26,21
1718,Paul Pierce,Paul Pierce,68,68,2708,2835,5543,609.466666666667,610.816666666667,1220.28333333333,1235,1231,1231,2585,2560,95.4579025110783,25,55
2730,Dwight Howard,Dwight Howard,71,71,5391,5321,10712,1091.55,1179.45,2271,2281,2280,2280,4945,4922,91.726952327954,23,18
101123,Gerald Green,Gerald Green,69,69,3475,3504,6979,783.783333333333,769.333333333333,1553.11666666667,1557,1557,1557,3197,3175,92,22,43
201977,Marcus Thornton,Marcus Thornton,61,61,2681,2662,5343,537.066666666667,568.7,1105.76666666667,1110,1109,1109,2460,2438,91.7568071615069,22,43
1626153,Delon Wright,Delon Wright,27,27,517,516,1033,122.433333333333,107.733333333333,230.166666666667,230,229,229,485,463,93.8104448742747,22,13
202407,Elijah Millsap,Elijah Millsap,20,20,401,395,796,88.5166666666667,84.75,173.266666666667,173,173,173,360,339,89.7755610972569,21,21
201941,Jordan Hill,Jordan Hill,73,73,3493,3500,6993,768.7,746.483333333333,1515.18333333333,1509,1513,1513,3134,3114,89.7223017463499,20,52
1626147,Justin Anderson,Justin Anderson,55,55,1488,1495,2983,327.55,316.383333333333,643.933333333333,644,647,647,1345,1325,90.3897849462366,20,7
1626273,Marcelo Huertas,Marcelo Huertas,53,53,1984,1959,3943,429.433333333333,437.2,866.633333333333,866,869,869,1784,1764,89.9193548387097,20,17
203912,CJ Wilcox,C.J. Wilcox,23,23,361,398,759,82.65,81.5,164.15,167,167,167,358,339,99.1689750692521,19,22
2547,Chris Bosh,Chris Bosh,53,53,3882,3964,7846,898.283333333333,874.616666666667,1772.9,1778,1778,1778,3550,3533,91.4477073673364,17,29
2550,Kirk Hinrich,Kirk Hinrich,46,46,1452,1459,2911,315.566666666667,315.516666666667,631.083333333333,630,631,631,1277,1260,87.9476584022039,17,14
202699,Tobias Harris,Tobias Harris,76,76,5773,5650,11423,1254.6,1248.08333333333,2502.68333333333,2515,2513,2513,5233,5217,90.6461112073445,16,18
203090,Maurice Harkless,Maurice Harkless,78,78,3455,3452,6907,737.7,715.366666666667,1453.06666666667,1454,1457,1457,3182,3166,92.0984081041968,16,30
202703,Nikola Mirotic,Nikola Mirotic,66,66,3792,3837,7629,813.533333333333,824.75,1638.28333333333,1650,1646,1646,3522,3507,92.879746835443,15,41
203951,Keith Appling,Keith Appling,5,5,60,55,115,12.7166666666667,13.4666666666667,26.1833333333333,27,27,27,56,42,93.3333333333333,14,14
204028,Tarik Black,Tarik Black,39,39,1142,1115,2257,240.633333333333,254.216666666667,494.85,495,496,496,1030,1016,90.1926444833625,14,20
204001,Kristaps Porzingis,Kristaps Porzingis,72,72,4591,4600,9191,1037.83333333333,992.133333333333,2029.96666666667,2047,2047,2047,4207,4194,91.6358091918972,13,13
202718,Chandler Parsons,Chandler Parsons,61,61,3946,4094,8040,909.066666666667,882.216666666667,1791.28333333333,1801,1799,1799,3749,3738,95.0076026355803,11,3
101162,Marcin Gortat,Marcin Gortat,75,75,5279,5272,10551,1066.05,1189.65,2255.7,2255,2256,2256,4867,4857,92.1954915703732,10,64
