game_id,period,min_poss,pts,poss_num,id,side,xid,dummy
21700002,4,0.3000000000000007,2,353,201142,d,d0201142,1
21700002,4,0.38333333333333286,0,354,201142,o,o0201142,1
21700002,4,0.15000000000000036,3,355,201142,d,d0201142,1
21700002,4,0.31666666666666643,0,356,201142,o,o0201142,1
21700002,4,0.08333333333333215,2,357,201142,d,d0201142,1
21700002,4,0.18333333333333357,0,358,201142,o,o0201142,1
21700002,4,0.23333333333333428,2,359,201142,d,d0201142,1
21700002,4,0.16666666666666607,3,360,201142,o,o0201142,1
21700002,4,0.34999999999999964,2,361,201142,d,d0201142,1
21700002,4,0.2833333333333332,0,362,201142,o,o0201142,1
21700002,4,0.21666666666666679,0,363,201142,d,d0201142,1
21700002,4,0.36666666666666714,0,364,201142,o,o0201142,1
21700002,4,0.033333333333333215,2,365,201142,d,d0201142,1
21700002,4,0.5333333333333332,2,366,201142,o,o0201142,1
21700002,4,0.8166666666666673,0,367,201142,d,d0201142,1
21700002,4,0.11666666666666625,0,368,1626172,o,o1626172,1
21700002,4,0.2999999999999998,0,369,1626172,d,d1626172,1
21700002,4,0.2833333333333332,0,370,1626172,o,o1626172,1
21700002,4,0.11666666666666714,0,371,1626172,d,d1626172,1
21700002,4,0,3,372,1626172,o,o1626172,1
21700002,4,0.41666666666666696,2,373,1626172,d,d1626172,1
21700002,4,0.16666666666666607,0,374,1626172,o,o1626172,1
21700002,4,0.08333333333333393,2,375,1626172,d,d1626172,1
21700002,4,0.2999999999999998,2,376,1626172,o,o1626172,1
21700002,4,0.4166666666666661,2,377,1626172,d,d1626172,1
21700002,4,0.18333333333333357,3,378,1626172,o,o1626172,1
21700002,4,0.25,0,379,1626172,d,d1626172,1
21700002,4,0.15000000000000036,0,380,1626172,o,o1626172,1
21700002,4,0.4666666666666668,2,381,1626172,d,d1626172,1
21700002,4,0.09999999999999964,2,382,1626172,o,o1626172,1
21700002,4,0.21666666666666679,3,383,1626172,d,d1626172,1
21700002,4,0.18333333333333313,2,384,1626172,o,o1626172,1
21700002,4,0.3166666666666669,3,385,1626172,d,d1626172,1
21700002,4,0.44999999999999973,0,386,1626172,o,o1626172,1
21700002,4,0.40000000000000036,0,387,1626172,d,d1626172,1
