rank,name,position,slug_espn,gp,mpg,orpm,drpm,rpm,wins
281,Greg Smith,PF,MIN,18,10.7,-1.51,-0.27,-1.78,0.16
282,Omer Asik,C,NO,68,17.3,-3.55,1.76,-1.79,1.01
283,Lou Williams,SG,LAL,67,28.5,1.21,-3.01,-1.8,1.63
284,Terrence Ross,SG,TOR,73,23.9,-0.39,-1.41,-1.8,1.41
285,Jordan Adams,SG,MEM,2,7.5,-1.21,-0.59,-1.8,0.01
286,Mike Miller,SG,DEN,47,7.9,-1.58,-0.23,-1.81,0.31
287,Mitch McGary,PF,OKC,20,3.6,-1.61,-0.2,-1.81,0.06
288,Cameron Payne,PG,OKC,57,12.2,-0.86,-0.95,-1.81,0.58
289,Lance Thomas,SF,NY,59,22.3,-0.66,-1.16,-1.82,1.05
290,Richaun Holmes,PF,PHI,51,13.8,-0.2,-1.64,-1.84,0.59
291,Kosta Koufos,C,SAC,78,19,-1.51,-0.34,-1.85,1.24
292,Dion Waiters,SG,OKC,78,27.6,-0.21,-1.64,-1.85,1.75
293,Cleanthony Early,SF,NY,17,9.1,-1.96,0.11,-1.85,0.12
294,Ryan Kelly,PF,LAL,36,13.1,-2.84,0.98,-1.86,0.39
295,Lou Amundson,PF,NY,29,7,-2.01,0.14,-1.87,0.15
296,Willie Cauley-Stein,C,SAC,66,21.4,-0.93,-0.95,-1.88,1.15
297,Kris Humphries,PF,ATL/PHX/WSH,53,15.8,-1.45,-0.45,-1.9,0.67
298,Nikola Pekovic,C,MIN,12,13,-1.41,-0.5,-1.91,0.11
299,Jerami Grant,SF,PHI,77,26.8,-1.92,0.01,-1.91,1.63
300,Damjan Rudez,SF,MIN,33,8.4,-0.88,-1.04,-1.92,0.21
301,Henry Sims,C,BKN,14,18.8,-1.79,-0.17,-1.96,0.2
302,Alec Burks,SG,UTAH,31,25.7,-1.02,-0.99,-2.01,0.54
303,Ben McLemore,SG,SAC,68,21.2,-1.51,-0.51,-2.02,1.08
304,JaMychal Green,PF,MEM,78,18.5,-1.24,-0.79,-2.03,1
305,Raul Neto,PG,UTAH,81,18.5,-1.51,-0.52,-2.03,0.99
306,Brandon Knight,PG,PHX,52,36,0.44,-2.48,-2.04,1.32
307,Jarell Martin,PF,MEM,27,14.1,-1.26,-0.8,-2.06,0.25
308,Josh Smith,PF,HOU/LAC,55,16,-3.14,1.05,-2.09,0.59
309,Jarell Eddie,F,WSH,26,5.7,-1.37,-0.72,-2.09,0.1
310,R.J. Hunter,G,BOS,36,8.8,-1.98,-0.11,-2.09,0.21
311,Seth Curry,SG,SAC,44,15.7,0.19,-2.29,-2.1,0.47
312,Luke Babbitt,F,NO,47,18,-0.1,-2.01,-2.11,0.56
313,Damien Inglis,SF,MIL,20,7.8,-2.43,0.31,-2.12,0.1
314,Jerryd Bayless,PG,MIL,52,28.9,0.21,-2.34,-2.13,0.92
315,Alonzo Gee,SF,NO,73,22.4,-2.89,0.76,-2.13,1.06
316,Charlie Villanueva,PF,DAL,62,10.7,-2.08,-0.07,-2.15,0.42
317,Branden Dawson,SF,LAC,6,4.8,-1.23,-0.92,-2.15,0.02
318,Darrun Hilliard,G,DET,38,10.1,-1.48,-0.71,-2.19,0.22
319,Kevon Looney,SF,GS,5,4.2,-1.02,-1.18,-2.2,0.01
320,Kevin Seraphin,C,NY,48,11,-3.79,1.56,-2.23,0.29
321,Chris McCullough,F,BKN,24,15.1,-1.18,-1.05,-2.23,0.21
322,Bradley Beal,SG,WSH,55,31.1,0.29,-2.53,-2.24,0.99
323,Quincy Acy,F,SAC,59,14.8,-1.27,-0.99,-2.26,0.5
324,Ersan Ilyasova,PF,DET/ORL,74,25.4,-1.42,-0.85,-2.27,1.02
325,Troy Daniels,SG,CHA,43,11.1,0,-2.28,-2.28,0.25
326,Aaron Brooks,G,CHI,69,16.1,-0.3,-1.99,-2.29,0.58
327,Lamar Patterson,SG,ATL,35,11.3,-1.76,-0.53,-2.29,0.21
328,Jamal Crawford,SG,LAC,79,26.9,0.41,-2.72,-2.31,1.1
329,Joffrey Lauvergne,F,DEN,59,17.6,-0.99,-1.32,-2.31,0.53
330,Richard Jefferson,F,CLE,74,17.9,-1.44,-0.88,-2.32,0.66
331,Sergey Karasev,SG,BKN,40,10,-1.11,-1.22,-2.33,0.21
332,Axel Toupane,SG,DEN,21,14.5,-0.92,-1.42,-2.34,0.15
333,Trey Lyles,PF,UTAH,80,17.3,-2.1,-0.28,-2.38,0.62
334,Allen Crabbe,SG,POR,81,26,0.18,-2.58,-2.4,0.97
335,Reggie Bullock,SG,DET,37,11.6,-0.43,-1.98,-2.41,0.19
336,Jordan Clarkson,PG,LAL,79,32.3,0.14,-2.56,-2.42,1.16
337,T.J. Warren,SF,PHX,47,22.8,-0.38,-2.04,-2.42,0.49
338,Bruno Caboclo,F,TOR,6,7.2,-1.59,-0.89,-2.48,0.02
339,Aaron Harrison,G,CHA,21,4.4,-1.63,-0.88,-2.51,0.04
340,Michael Beasley,SF,HOU,20,18.2,-1.25,-1.27,-2.52,0.14
341,Xavier Munford,G,MEM,14,17.4,-1.18,-1.34,-2.52,0.09
342,Devyn Marble,SF,ORL,28,8.9,-2.3,-0.25,-2.55,0.09
343,Kendrick Perkins,C,NO,37,14.6,-2.2,-0.36,-2.56,0.2
344,Kobe Bryant,SF,LAL,66,28.2,0.6,-3.18,-2.58,0.66
345,Paul Pierce,SF,LAC,68,18.1,-1.92,-0.66,-2.58,0.42
346,Anthony Morrow,SG,OKC,68,13.6,0.46,-3.05,-2.59,0.32
347,James Michael McAdoo,SF,GS,41,6.4,-1.39,-1.21,-2.6,0.09
348,Brian Roberts,PG,POR/CHA,51,9.2,-0.93,-1.73,-2.66,0.14
349,Glenn Robinson III,SG,IND,45,11.3,-2.18,-0.5,-2.68,0.14
350,Tyler Zeller,C,BOS,60,11.8,-2.71,0.02,-2.69,0.21
351,Kyle Singler,F,OKC,68,14.4,-2.68,-0.02,-2.7,0.27
352,Stanley Johnson,SF,DET,73,23.1,-1.92,-0.78,-2.7,0.45
353,Miles Plumlee,C,MIL,61,14.3,-2.22,-0.52,-2.74,0.21
354,Jonathon Simmons,SF,SA,55,14.8,-0.74,-2.02,-2.76,0.19
355,Lance Stephenson,SG,LAC/MEM,69,19.9,-1.21,-1.6,-2.81,0.27
356,Hollis Thompson,SF,PHI,77,28,-0.22,-2.6,-2.82,0.42
357,Mike Dunleavy,SG,CHI,31,22.7,-0.68,-2.15,-2.83,0.13
358,Roy Hibbert,C,LAL,81,23.2,-3.9,1.05,-2.85,0.33
359,Shane Larkin,G,BKN,78,22.4,-0.9,-1.97,-2.87,0.28
360,Marcelo Huertas,PG,LAL,53,16.4,-1.43,-1.45,-2.88,0.13
361,Noah Vonleh,PF,POR,78,15.1,-3.52,0.44,-3.08,0.03
362,Jordan Hamilton,SG,NO,11,27.6,-1.06,-2.03,-3.09,0.01
363,Drew Gooden,PF,WSH,30,10.2,-2.2,-0.92,-3.12,0
364,Dante Cunningham,SF,NO,80,24.6,-1.21,-1.92,-3.13,-0.01
365,Trey Burke,PG,UTAH,64,21.3,-0.24,-2.89,-3.13,0
366,Jason Terry,G,HOU,72,17.5,-0.33,-2.81,-3.14,-0.01
367,James Young,G,BOS,29,6.9,-2.05,-1.12,-3.17,-0.01
368,Derrick Williams,PF,NY,80,17.9,-0.89,-2.3,-3.19,-0.06
369,Mario Hezonja,SF,ORL,79,17.9,-1.59,-1.6,-3.19,-0.06
370,Jabari Parker,PF,MIL,76,31.7,-1.19,-2,-3.19,-0.1
371,Gerald Henderson,SG,POR,72,19.9,-1.64,-1.57,-3.21,-0.08
372,Arron Afflalo,G,NY,71,33.4,-0.67,-2.58,-3.25,-0.18
373,Tyler Ennis,G,MIL,46,14.2,-1.86,-1.4,-3.26,-0.05
374,Pat Connaughton,SG,POR,34,4.2,-2.22,-1.05,-3.27,-0.01
375,Luis Montero,SG,POR,12,3.5,-1.53,-1.82,-3.35,-0.01
376,Myles Turner,C,IND,60,22.8,-3.61,0.25,-3.36,-0.21
377,Justin Holiday,SF,ATL/CHI,53,14.6,-2.15,-1.22,-3.37,-0.12
378,Jameer Nelson,G,DEN,39,26.6,-1.01,-2.37,-3.38,-0.16
379,C.J. Watson,PG,ORL,33,19.9,-1.7,-1.7,-3.4,-0.12
380,Brandon Rush,SG,GS,72,14.7,-1.12,-2.29,-3.41,-0.2
381,Kelly Oubre Jr.,F,WSH,63,10.7,-2.55,-0.94,-3.49,-0.16
382,Tyus Jones,PG,MIN,37,15.5,-1.77,-1.82,-3.59,-0.17
383,J.J. Barea,PG,DAL,74,22.5,1.3,-4.9,-3.6,-0.5
384,Austin Rivers,G,LAC,67,21.9,-1.58,-2.03,-3.61,-0.46
385,Norris Cole,PG,NO,45,26.6,-1.44,-2.21,-3.65,-0.4
386,Jerian Grant,PG,NY,76,16.6,-2.11,-1.54,-3.65,-0.41
387,D'Angelo Russell,PG,LAL,80,28.2,-1.1,-2.56,-3.66,-0.77
388,Zach LaVine,PG,MIN,82,28,-0.06,-3.65,-3.71,-0.86
389,Doug McDermott,SF,CHI,81,23,-0.79,-2.93,-3.72,-0.71
390,Anthony Brown,F,LAL,29,20.7,-2.95,-0.77,-3.72,-0.23
391,Emmanuel Mudiay,PG,DEN,68,30.4,-1.76,-2.02,-3.78,-0.87
392,Tayshaun Prince,SF,MIN,77,19,-3.94,0.14,-3.8,-0.6
393,Bobby Portis,PF,CHI,62,17.8,-1.58,-2.25,-3.83,-0.49
394,James Anderson,SG,SAC,51,14.1,-3.45,-0.4,-3.85,-0.35
395,Steve Blake,PG,DET,58,17,-1.33,-2.53,-3.86,-0.45
396,Isaiah Canaan,G,PHI,77,25.5,-1.32,-2.63,-3.95,-1.04
397,Briante Weber,G,MIA/MEM,7,24.1,-1.76,-2.27,-4.03,-0.09
398,Greivis Vasquez,PG,MIL,23,20,-1.75,-2.35,-4.1,-0.27
399,Wayne Ellington,SG,BKN,76,21.3,-2.51,-1.61,-4.12,-1.02
400,JaKarr Sampson,F,DEN/PHI,73,15.9,-3.59,-0.57,-4.16,-0.77
401,Joe Young,G,IND,41,9.4,-2.28,-1.91,-4.19,-0.26
402,Timofey Mozgov,C,CLE,76,17.4,-3.85,-0.39,-4.24,-0.91
403,Derrick Rose,PG,CHI,66,31.8,-1.13,-3.14,-4.27,-1.53
404,Julius Randle,PF,LAL,81,28.2,-2.75,-1.55,-4.3,-1.72
405,P.J. Hairston,SF,MEM/CHA,66,19.9,-3.02,-1.33,-4.35,-1.01
406,Shabazz Napier,PG,ORL,55,10.9,-2.01,-2.35,-4.36,-0.46
407,Thomas Robinson,F,BKN,71,12.9,-3.38,-1.07,-4.45,-0.77
408,Adreian Payne,PF,MIN,52,9.3,-3.16,-1.31,-4.47,-0.41
409,Devin Booker,SG,PHX,76,27.7,-0.73,-3.87,-4.6,-2.02
410,Mo Williams,PG,CLE,41,18.2,-2.66,-1.99,-4.65,-0.7
411,Ty Lawson,G,HOU/IND,66,21.4,-3.25,-1.45,-4.7,-1.46
412,Markel Brown,G,BKN,62,15.8,-1.16,-3.64,-4.8,-1.04
413,Nik Stauskas,SG,PHI,73,24.8,-2.36,-2.44,-4.8,-1.98
414,Marco Belinelli,G,SAC,68,24.6,-2.09,-2.78,-4.87,-1.91
415,Bojan Bogdanovic,SF,BKN,79,26.8,-0.95,-3.98,-4.93,-2.42
416,Johnny O'Bryant III,PF,MIL,66,13,-3.81,-1.32,-5.13,-1.04
417,Jahlil Okafor,C,PHI,53,30,-3.72,-1.56,-5.28,-2.18
418,Terry Rozier,PG,BOS,39,8,-3.39,-1.91,-5.3,-0.44
419,Nick Young,G,LAL,54,19.1,-2.02,-3.31,-5.33,-1.43
420,Shabazz Muhammad,F,MIN,82,20.5,-1.13,-4.37,-5.5,-2.52
421,Rashad Vaughn,G,MIL,70,14.3,-3.65,-2.13,-5.78,-1.65
422,Terrence Jones,PF,HOU,50,20.9,-2.3,-3.64,-5.94,-1.92
423,Archie Goodwin,SG,PHX,57,19.5,-2.15,-4.12,-6.27,-2.31
