rank,name,position,slug_espn,gp,mpg,orpm,drpm,rpm,wins
103,Serge Ibaka,PF,OKC,78,32.1,0.03,0.86,0.89,6.48
104,Tony Allen,SG,MEM,64,25.3,-1.4,2.21,0.81,3.88
105,Karl-Anthony Towns,C,MIN,82,32,1.03,-0.22,0.81,6.56
106,Thaddeus Young,PF,BKN,73,33,-0.48,1.24,0.76,5.93
107,Nikola Vucevic,C,ORL,65,31.3,-0.19,0.95,0.76,4.99
108,Greg Monroe,C,MIL,79,29.3,0.53,0.18,0.71,5.53
109,Matthew Dellavedova,PG,CLE,76,24.6,1.39,-0.71,0.68,4.36
110,Darrell Arthur,F,DEN,70,21.7,-0.73,1.39,0.66,3.62
111,Spencer Hawes,PF,CHA,57,18.2,-1.45,2.1,0.65,2.45
112,Aaron Gordon,PF,ORL,78,23.9,0.4,0.23,0.63,4.48
113,Tobias Harris,SF,DET/ORL,76,33.1,-0.25,0.86,0.61,5.88
114,Kyle Anderson,SF,SA,78,16,-1.36,1.97,0.61,2.86
115,Wesley Matthews,SG,DAL,78,33.9,1.95,-1.35,0.6,5.97
116,Monta Ellis,SG,IND,81,33.8,0.14,0.44,0.58,6.54
117,Trevor Ariza,SF,HOU,81,35.3,1.22,-0.65,0.57,6.72
118,Dennis Schroder,PG,ATL,80,20.3,0.88,-0.31,0.57,3.7
119,Joe Johnson,G,MIA/BKN,81,33.4,0.8,-0.24,0.56,6.29
120,Joakim Noah,C,CHI,29,21.9,-1.88,2.44,0.56,1.48
121,Rondae Hollis-Jefferson,SF,BKN,29,21.2,-1.56,2.05,0.49,1.44
122,Chandler Parsons,SF,DAL,61,29.5,0.71,-0.23,0.48,3.94
123,Brandon Bass,PF,LAL,66,20.3,-0.15,0.5,0.35,2.96
124,Shaun Livingston,PG,GS,78,19.5,-0.19,0.52,0.33,3.31
125,JJ Redick,SG,LAC,75,28,1.9,-1.59,0.31,4.59
126,Rajon Rondo,PG,SAC,72,35.2,0.89,-0.59,0.3,5.83
127,Deron Williams,PG,DAL,65,32.4,0.18,0.11,0.29,4.37
128,Ronnie Price,PG,PHX,62,19.5,-1.41,1.64,0.23,2.63
129,Jose Calderon,PG,NY,72,28.1,0.62,-0.4,0.22,4.18
130,Salah Mejri,C,DAL,34,11.7,-1.16,1.35,0.19,0.81
131,Amar'e Stoudemire,C,MIA,52,14.7,-2.35,2.53,0.18,1.58
132,Rudy Gay,SF,SAC,70,34,-0.19,0.36,0.17,5.21
133,Jonas Valanciunas,C,TOR,60,26,-0.49,0.64,0.15,3.15
134,Nemanja Bjelica,PF,MIN,60,17.9,0.06,0.08,0.14,2.24
135,Solomon Hill,SF,IND,59,14.7,-0.25,0.39,0.14,1.8
136,PJ Tucker,SF,PHX,82,31,-0.4,0.5,0.1,5.34
137,Dwight Powell,PF,DAL,69,14.4,-2.12,2.22,0.1,2.03
138,DeMarre Carroll,SF,TOR,26,30.2,-0.87,0.96,0.09,1.6
139,Avery Bradley,SG,BOS,76,33.4,1.32,-1.24,0.08,5.31
140,Boris Diaw,C,SA,76,18.2,-0.57,0.64,0.07,2.83
141,Andre Roberson,SG,OKC,70,22.2,-1.48,1.55,0.07,3.16
142,Tarik Black,C,LAL,39,12.7,-1.5,1.56,0.06,0.99
143,Josh Richardson,SG,MIA,52,21.3,0.42,-0.36,0.06,2.19
144,Bismack Biyombo,C,TOR,82,22,-2.97,3.02,0.05,3.46
145,Joel Anthony,PF,DET,19,5.1,-1.09,1.12,0.03,0.17
146,Robin Lopez,C,NY,82,27.1,-0.95,0.97,0.02,4.3
147,Iman Shumpert,SG,CLE,54,24.4,-1.24,1.26,0.02,2.56
148,Ryan Anderson,PF,NO,66,30.4,1.59,-1.59,0,4.05
149,Sasha Kaun,C,CLE,25,3.8,-1.3,1.29,-0.01,0.19
150,Marcus Smart,PG,BOS,61,27.3,-0.73,0.72,-0.01,3.45
151,Elton Brand,PF,PHI,17,13.2,-2.14,2.11,-0.03,0.46
152,Dwight Howard,C,HOU,71,32.1,-1.66,1.62,-0.04,4.43
153,Lavoy Allen,F,IND,79,20.2,-1.2,1.15,-0.05,3.07
154,Kyle O'Quinn,C,NY,65,11.8,-1.22,1.14,-0.08,1.45
155,Josh McRoberts,PF,MIA,42,14.2,-0.78,0.69,-0.09,1.12
156,Al Jefferson,C,CHA,47,23.3,-1.9,1.78,-0.12,2.11
157,DeMar DeRozan,SG,TOR,78,35.9,2.33,-2.47,-0.14,5.15
158,Kenneth Faried,PF,DEN,67,25.3,0.74,-0.91,-0.17,3.16
159,Jon Leuer,PF,PHX,67,18.7,-1.14,0.97,-0.17,2.45
160,Chris Kaman,C,POR,16,7,-1.32,1.13,-0.19,0.2
161,Jordan Hill,C,IND,73,20.7,-1.22,1.03,-0.19,2.77
162,Jusuf Nurkic,C,DEN,32,17.1,-1.29,1.08,-0.21,1
163,Alan Williams,PF,PHX,10,6.8,-0.76,0.54,-0.22,0.14
164,Enes Kanter,C,OKC,82,21,1.27,-1.5,-0.23,3.15
165,Alex Stepheson,PF,LAC/MEM,8,9.1,-1.09,0.77,-0.32,0.13
166,Larry Nance Jr.,PF,LAL,63,20.1,-1.69,1.37,-0.32,2.24
167,Dewayne Dedmon,C,ORL,58,12.2,-2.08,1.76,-0.32,1.26
168,Jonas Jerebko,PF,BOS,78,15.1,-1.34,1,-0.34,2.13
169,Thabo Sefolosha,SF,ATL,75,23.4,-1.97,1.62,-0.35,3.07
170,Carl Landry,PF,PHI,36,15.8,0.48,-0.83,-0.35,1.04
171,Garrett Temple,SG,WSH,80,24.4,-1.24,0.89,-0.35,3.54
172,David Lee,PF,BOS/DAL,55,16.4,-1.78,1.41,-0.37,1.61
173,Andrew Nicholson,PF,ORL,56,14.7,-1.27,0.9,-0.37,1.43
174,Willie Reed,C,BKN,39,10.9,-1.01,0.64,-0.37,0.74
175,Tony Parker,PG,SA,72,27.5,0.37,-0.77,-0.4,3.37
176,Eric Gordon,SG,NO,45,32.9,0.21,-0.61,-0.4,2.6
177,Anthony Tolliver,PF,DET,72,18.6,0,-0.41,-0.41,2.25
178,Courtney Lee,SG,MEM/CHA,79,29.5,-0.31,-0.13,-0.44,3.91
179,KJ McDaniels,F,HOU,37,6.4,-1.1,0.64,-0.46,0.41
180,Mirza Teletovic,PF,PHX,79,21.3,2.05,-2.52,-0.47,2.94
181,Michael Kidd-Gilchrist,SF,CHA,7,29.3,-0.78,0.31,-0.47,0.34
182,Tyson Chandler,C,PHX,66,24.5,-2.69,2.18,-0.51,2.72
183,Lucas Nogueira,C,TOR,29,7.8,-0.7,0.18,-0.52,0.37
184,Langston Galloway,SG,NY,82,24.8,-1.09,0.56,-0.53,3.26
185,Markieff Morris,PF,PHX/WSH,64,25.5,-1.47,0.9,-0.57,2.71
186,Kyrie Irving,PG,CLE,53,31.5,2.08,-2.68,-0.6,2.59
187,Sasha Vujacic,SG,NY,61,14.9,-0.71,0.08,-0.63,1.43
188,Tibor Pleiss,C,UTAH,12,6.8,-1.1,0.42,-0.68,0.12
189,Jeff Teague,PG,ATL,79,28.5,1.12,-1.81,-0.69,3.53
190,Joe Ingles,SF,UTAH,81,15.3,-0.58,-0.11,-0.69,1.82
191,Shayne Whittington,PF,IND,7,5.9,-1.23,0.53,-0.7,0.06
192,Nazr Mohammed,C,OKC,5,3.8,-1.1,0.39,-0.71,0.03
193,Shelvin Mack,PG,ATL/UTAH,52,20.3,-0.27,-0.46,-0.73,1.53
194,Darren Collison,PG,SAC,74,30,1.77,-2.51,-0.74,3.48
195,Rakeem Christmas,PF,IND,1,6,-0.88,0.12,-0.76,0.01
196,Cory Joseph,PG,TOR,80,25.6,-0.68,-0.09,-0.77,2.91
197,Edy Tavares,C,ATL,11,6.6,-0.96,0.19,-0.77,0.11
198,Alan Anderson,SG,WSH,13,14.8,-0.76,-0.04,-0.8,0.29
199,Tony Snell,SG,CHI,64,20.3,-2.66,1.86,-0.8,1.9
200,Jeremy Lin,PG,CHA,78,26.3,-0.65,-0.18,-0.83,2.95
201,Luc Mbah a Moute,PF,LAC,75,17,-2.57,1.72,-0.85,1.83
202,Mike Muscala,PF,ATL,60,9.4,-1.44,0.57,-0.87,0.81
203,O.J. Mayo,SG,MIL,41,26.6,-1.54,0.65,-0.89,1.54
204,Justise Winslow,SF,MIA,78,28.6,-1.86,0.96,-0.9,3.1
