rn,xid_player,n,id_player,name_player
12876,o0201935,2,,
12878,o0201935,2,,
12880,o0201935,2,,
12882,o0201935,2,,
12884,o0201935,2,,
12887,o0201935,2,,
12888,o0201935,2,,
12890,o0201935,2,,
12892,o0201935,2,,
12894,o0201935,2,,
12895,o0201935,2,,
12898,o0201935,2,,
17919,o0002772,2,,
17921,o0002772,2,,
17923,o0002772,2,,
17925,o0002772,2,,
17928,o0002772,2,,
17930,o0002772,2,,
17932,o0002772,2,,
17934,o0002772,2,,
17936,o0002772,2,,
17938,o0002772,2,,
17939,o0002772,2,,
17941,o0002772,2,,
17943,o0002772,2,,
17945,o0002772,2,,
17947,o0002772,2,,
43264,o0203084,2,,
43266,o0203084,2,,
43268,o0203084,2,,
43269,o0203084,2,,
43271,o0203084,2,,
43273,o0203084,2,,
43275,o0203084,2,,
43276,o0203084,2,,
43278,o0203084,2,,
43280,o0203084,2,,
43282,o0203084,2,,
43284,o0203084,2,,
43285,o0203084,2,,
43286,o0203084,2,,
43288,o0203084,2,,
197009,o0202355,2,,
197011,o0202355,2,,
197014,o0202355,2,,
197016,o0202355,2,,
197018,o0202355,2,,
197020,o0202355,2,,
197024,o0204020,2,,
197026,o1628389,2,,
197028,o1628389,2,,
197031,o1628389,2,,
197033,o1628389,2,,
197034,o1628389,2,,
