mode_search,id_team,name_team,city_team,team_name,slug_season,gp,wins,losses,pct_wins,rank_conference,rank_division,count_wins_playoffs,count_losses_playoffs,count_conference_titles,count_division_titles,description_nba_finals_appearance,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,ftm,fta,pct_ft,oreb,dreb,treb,ast,pf,stl,tov,blk,pts,pts_rank,is_conference_champion,is_nba_champion
Totals,1610612764,Washington Wizards,Washington,Wizards,2015,82,46,36,0.561,5,2,6,4,15,5,,3139,6790,0.462,497,1381,0.36,1305,1758,0.742,862,2801,3663,1969,1707,601,1233,378,8080,17,FALSE,
Totals,1610612762,Utah Jazz,Utah,Jazz,2015,82,38,44,0.463,11,3,0,0,15,5,,2900,6492,0.447,610,1781,0.343,1391,1929,0.721,988,2617,3605,1632,1583,623,1256,489,7801,26,FALSE,
Totals,1610612761,Toronto Raptors,Toronto,Raptors,2015,82,49,33,0.598,4,1,0,4,15,5,,3108,6829,0.455,726,2060,0.352,1585,2014,0.787,881,2526,3407,1701,1712,615,1057,357,8527,4,FALSE,
Totals,1610612759,San Antonio Spurs,San Antonio,Spurs,2015,82,55,27,0.671,6,3,3,4,15,5,,3208,6854,0.468,677,1847,0.367,1368,1754,0.78,806,2772,3578,2000,1564,657,1146,444,8461,7,FALSE,
Totals,1610612758,Sacramento Kings,Sacramento,Kings,2015,82,29,53,0.354,13,4,0,0,15,5,,3010,6617,0.455,461,1350,0.341,1829,2400,0.762,895,2728,3623,1667,1696,550,1333,324,8310,14,FALSE,
Totals,1610612757,Portland Trail Blazers,Portland,Trail Blazers,2015,82,51,31,0.622,4,1,1,4,15,5,,3175,7049,0.45,807,2231,0.362,1272,1589,0.801,879,2881,3760,1799,1494,525,1117,372,8429,9,FALSE,
Totals,1610612756,Phoenix Suns,Phoenix,Suns,2015,82,39,43,0.476,10,3,0,0,15,5,,3178,7038,0.452,698,2048,0.341,1343,1767,0.76,896,2643,3539,1659,1744,700,1238,385,8397,11,FALSE,
Totals,1610612755,Philadelphia 76ers,Philadelphia,76ers,2015,82,18,64,0.22,14,4,0,0,15,5,,2765,6777,0.408,692,2160,0.32,1320,1953,0.676,978,2536,3514,1683,1778,789,1453,487,7542,29,FALSE,
Totals,1610612753,Orlando Magic,Orlando,Magic,2015,82,25,57,0.305,13,5,0,0,15,5,,3076,6792,0.453,554,1598,0.347,1141,1565,0.729,822,2607,3429,1692,1714,647,1221,314,7847,25,FALSE,
Totals,1610612760,Oklahoma City Thunder,Oklahoma City,Thunder,2015,82,45,37,0.549,9,2,0,0,15,5,,3184,7119,0.447,632,1864,0.339,1524,2020,0.754,1052,2844,3896,1681,1829,598,1205,454,8524,5,FALSE,
Totals,1610612752,New York Knicks,New York,Knicks,2015,82,17,65,0.207,15,5,0,0,15,5,,2882,6726,0.428,560,1614,0.347,1211,1575,0.769,867,2443,3310,1746,1768,575,1206,382,7535,30,FALSE,
Totals,1610612740,New Orleans Pelicans,New Orleans,Pelicans,2015,82,45,37,0.549,8,5,0,4,15,5,,3108,6795,0.457,586,1583,0.37,1345,1790,0.751,942,2621,3563,1806,1530,553,1087,510,8147,16,FALSE,
Totals,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,2015,82,16,66,0.195,15,5,0,0,15,5,,2986,6820,0.438,406,1223,0.332,1638,2110,0.776,949,2406,3355,1771,1571,668,1231,327,8016,23,FALSE,
Totals,1610612749,Milwaukee Bucks,Milwaukee,Bucks,2015,82,41,41,0.5,6,3,2,4,15,5,,3083,6722,0.459,545,1500,0.363,1312,1734,0.757,876,2574,3450,1932,1814,789,1373,403,8023,22,FALSE,
Totals,1610612748,Miami Heat,Miami,Heat,2015,82,37,45,0.451,10,3,0,0,15,5,,2885,6330,0.456,556,1659,0.335,1438,1940,0.741,747,2461,3208,1626,1636,642,1214,372,7764,27,FALSE,
Totals,1610612763,Memphis Grizzlies,Memphis,Grizzlies,2015,82,55,27,0.671,5,2,6,5,15,5,,3097,6763,0.458,423,1246,0.339,1445,1869,0.773,856,2634,3490,1777,1567,700,1094,347,8062,20,FALSE,
Totals,1610612747,Los Angeles Lakers,Los Angeles,Lakers,2015,82,21,61,0.256,14,5,0,0,15,5,,3054,7020,0.435,532,1546,0.344,1433,1935,0.741,952,2647,3599,1715,1741,578,1086,366,8073,19,FALSE,
