id_team,team_name,id_player,gp_calc_total,poss_calc_o,poss_calc_d,poss_calc_total,mp_calc_o,mp_calc_d,mp_calc_total,pts_calc_o,pts_calc_d,pts_o_per100_calc,pm_calc,gp_summary_nbastatr,pts_summary_nbastatr
1610612745,Rockets,6305813,763,45830,45307,91137,9617.33333333333,9870.41666666667,19487.75,45021,42421,1247.86968238023,2600,82,9458
1610612761,Raptors,12909229,841,42691,42660,85351,9146.08333333333,9129.68333333333,18275.7666666667,41461,39181,1342.492192619,2280,82,8762
1610612744,Warriors,10983001,709,40080,41263,81343,8231.65,8865.08333333334,17096.7333333333,40315,38115,1393.57064606833,2200,82,9503
1610612762,Jazz,11595835,806,44098,43907,88005,9700.58333333333,9415.95,19116.5333333333,42130,40089,1720.88140923717,2041,82,8258
1610612750,Timberwolves,5281917,816,52466,52038,104504,11324.8,11012.8666666667,22337.6666666667,50832,49158,1230.16209200923,1674,82,8657
1610612738,Celtics,15867227,740,40884,41180,82064,8992.35,8838.33333333334,17830.6833333333,38682,37090,1394.30203960677,1592,82,8857
1610612755,76ers,9457698,593,36943,36945,73888,7721.8,7814,15535.8,35432,34018,1152.42038562773,1414,82,8400
1610612759,Spurs,9756077,885,46504,46164,92668,10160.7,9856.1,20016.8,44018,42635,1296.05333997856,1383,82,8637
1610612764,Wizards,9659794,818,49458,49550,99008,10594.1833333333,10534.6833333333,21128.8666666667,47297,46522,1321.40487720761,775,82,8953
1610612743,Nuggets,12813968,723,41265,40668,81933,8717.4,8742.36666666667,17459.7666666667,39898,39161,1305.92752961592,737,82,9161
1610612757,Trail Blazers,8137580,648,35630,35390,71020,7828.46666666667,7422.45,15250.9166666667,33564,32906,1118.44169960995,658,82,8851
1610612754,Pacers,11388536,822,48166,48634,96800,10437.45,10486.9833333333,20924.4333333333,45821,45222,1267.40628247652,599,82,8618
1610612765,Pistons,6610344,718,38041,37908,75949,8203.5,8178.73333333333,16382.2333333333,35996,35551,1224.86272314538,445,82,8309
1610612760,Thunder,6812696,848,46153,44867,91020,9404.38333333333,9904.48333333333,19308.8666666667,42564,42126,1185.66423029135,438,82,8741
1610612748,Heat,8135833,785,45918,45787,91705,10139.55,9884.96666666667,20024.5166666667,42787,42444,1287.69879826512,343,82,8460
1610612746,Clippers,11181110,723,41593,41638,83231,8748.78333333333,8884.51666666667,17633.3,39674,39432,1325.37022938356,242,82,8911
,,1962937798,1,20,16,36,4.65,3.53333333333333,8.18333333333333,14,20,70,-6,,
1610612740,Pelicans,7114909,870,51313,52245,103558,10499.4,11174.85,21674.25,49115,49189,1319.36608945723,-74,82,8556
1610612749,Bucks,11284980,834,47796,48275,96071,10127.8166666667,10587.6333333333,20715.45,45897,46020,1300.99509526323,-123,82,8497
1610612739,Cavaliers,9658608,725,34369,34374,68743,7277.18333333333,7472.45,14749.6333333333,32838,33087,1245.27311887649,-249,82,9048
1610612766,Hornets,7829063,789,41688,40930,82618,8883.38333333333,8694.56666666667,17577.95,39149,39428,1118.55427430289,-279,82,8601
1610612747,Lakers,10783169,817,50190,50179,100369,10269.45,10699.9833333333,20969.4333333333,47058,47754,1211.05511939316,-696,82,8575
1610612751,Nets,11384231,865,47895,48148,96043,10368.0833333333,9977.81666666667,20345.9,44798,45846,1294.50683411177,-1048,82,8673
1610612763,Grizzlies,6907381,603,32976,32896,65872,7395.75,7058.43333333333,14454.1833333333,30172,31354,1182.62181894906,-1182,82,8239
1610612742,Mavericks,7526905,734,40941,41330,82271,9293.71666666667,8779.93333333333,18073.65,38736,39939,1038.86169456202,-1203,82,8029
1610612752,Knicks,12815495,743,38920,38805,77725,8376.56666666667,8189.21666666667,16565.7833333333,35724,37217,1289.79430438144,-1493,82,8556
1610612753,Magic,8133435,649,36340,36750,73090,7790.93333333333,7820.7,15611.6333333333,33603,35104,1097.71743519353,-1501,82,8288
1610612737,Hawks,12411326,616,30485,30905,61390,6552.75,6447.26666666667,13000.0166666667,27818,29481,1177.9055806052,-1663,82,8459
1610612756,Suns,8954685,733,41936,42081,84017,8735.5,8843.9,17579.4,38841,40635,1020.65679611454,-1794,82,8831
1610612741,Bulls,17087040,678,39684,39070,78754,8207.85,8599.66666666667,16807.5166666667,35982,38368,1273.73210842999,-2386,82,8435
1610612758,Kings,14038718,854,46113,45907,92020,10223.7166666667,9926.51666666667,20150.2333333333,42017,44463,1281.05560459092,-2446,82,8430
,"",109060018,3254,104544,105113,209657,22446.15,22303.8333333333,44749.9833333333,96601,99879,12393.6442107764,-3278,,
