rn,xid_player,n,id_player,name_player
28434,o0202362,2,,
28435,o0202362,2,,
28437,o0202362,2,,
28439,o0203085,2,,
28441,o0203085,2,,
28443,o0203085,2,,
28446,o0203085,2,,
28448,o0203085,2,,
28450,o0203085,2,,
28452,o0203085,2,,
28455,o0203085,2,,
28457,o0203085,2,,
28459,o0203085,2,,
28461,o0203085,2,,
28463,o0203085,2,,
28465,o0203085,2,,
28468,o0203085,2,,
28470,o0203085,2,,
61838,o0002446,2,,
61840,o0002564,2,,
61853,o0002446,2,,
61855,o0002564,2,,
61857,o0002564,2,,
61859,o0002564,2,,
61861,o0002564,2,,
61863,o0002564,2,,
61864,o0002564,2,,
61866,o0002564,2,,
61868,o0002564,2,,
61870,o0002564,2,,
61872,o0002564,2,,
61874,o0002564,2,,
61878,o0002446,2,,
61880,o0002446,2,,
61882,o0002446,2,,
112457,o0202353,2,,
112459,o0202353,2,,
112461,o0202353,2,,
112463,o0202353,2,,
112465,o0202353,2,,
112467,o0204060,2,,
112469,o0203504,2,,
112471,o0203187,2,,
112473,o0203187,2,,
127506,o0203935,2,,
127507,o0101181,2,,
127508,o0203935,2,,
127509,o0101181,2,,
127510,o0203935,2,,
127511,o0101181,2,,
127534,o0203935,2,,
127536,o0203935,2,,
127537,o0202498,2,,
127538,o0203935,2,,
127539,o0202498,2,,
127540,o0203935,2,,
127541,o0101181,2,,
127542,o0203935,2,,
149936,o0201962,2,,
149938,o0201962,2,,
149940,o0201962,2,,
157922,o0203084,2,,
157923,o0203084,2,,
157925,o0203084,2,,
157927,o0203084,2,,
157929,o0203084,2,,
157931,o0203084,2,,
157933,o0203084,2,,
157935,o0203084,2,,
157936,o0203084,2,,
157938,o0203084,2,,
157939,o0203084,2,,
157941,o0203084,2,,
157943,o0203084,2,,
157945,o0203084,2,,
157947,o0203084,2,,
157949,o0203084,2,,
157951,o0203084,2,,
157953,o0203084,2,,
157955,o0203084,2,,
157958,o0203084,2,,
157960,o0203084,2,,
220712,o0202344,2,,
220714,o0202344,2,,
220716,o0202344,2,,
220717,o0202344,2,,
220719,o0202344,2,,
220721,o0202344,2,,
220723,o0202344,2,,
220725,o0202344,2,,
220728,o0202344,2,,
220729,o0202344,2,,
220731,o0202344,2,,
220733,o0202344,2,,
220734,o0202344,2,,
220737,o0202344,2,,
220739,o0202344,2,,
220741,o0202344,2,,
220743,o0202344,2,,
220745,o1626168,2,,
220746,o1626168,2,,
220748,o1626168,2,,
220750,o1626168,2,,
220752,o1626168,2,,
220754,o1626168,2,,
220756,o1626168,2,,
220759,o1626168,2,,
220761,o1626168,2,,
220763,o1626168,2,,
220765,o1626168,2,,
245995,o0002594,2,,
245998,o0201952,2,,
