rank,name,slug,poss,orapm,drapm,rapm
1,Stephen Curry,GSW,7514,5.7829,-0.1951,5.5878
2,Otto Porter,WAS,10428,3.7843,1.4878,5.2721
3,Robert Covington,PHI,11382,1.6796,3.5873,5.2669
4,Joel Embiid,PHI,8486,2.3358,2.7927,5.1285
5,Chris Paul,HOU,7953,4.026,0.4647,4.4907
6,Jordan Bell,GSW,3575,2.8791,1.4177,4.2968
7,Eric Gordon,HOU,9546,2.9699,1.2806,4.2505
8,Damian Lillard,POR,11687,2.749,1.4761,4.2252
9,Jrue Holiday,NOP,13099,1.9065,2.1798,4.0863
10,Victor Oladipo,IND,10978,1.7738,2.2435,4.0173
11,Fred VanVleet,TOR,6556,1.6856,2.2307,3.9163
12,Nikola Jokic,DEN,10438,3.4473,0.3411,3.7884
13,James Harden,HOU,11154,3.504,0.237,3.741
14,Mike James,PHO,3129,1.6624,1.9353,3.5977
15,Josh Huestis,OKC,4228,1.3396,2.1711,3.5106
16,Karl-Anthony Towns,MIN,12392,4.4007,-0.9085,3.4922
17,Mike James,TOT,3216,1.6142,1.874,3.4882
18,LaMarcus Aldridge,SAS,10421,2.3284,1.076,3.4044
19,Danuel House,PHO,1787,1.6685,1.6668,3.3354
20,Jimmy Butler,MIN,9159,1.5209,1.6911,3.212
21,Kyle Korver,CLE,7019,1.6162,1.5568,3.173
22,Tyus Jones,MIN,6188,2.1011,1.0686,3.1697
23,Royce O'Neale,UTA,4939,0.6435,2.522,3.1655
24,Yogi Ferrell,DAL,9721,-0.0944,3.1162,3.0218
25,Tyreke Evans,MEM,6836,1.7809,1.2348,3.0157
26,OG Anunoby,TOR,6445,1.7584,1.2283,2.9867
27,Al Horford,BOS,9683,2.0627,0.8656,2.9283
28,Kelly Olynyk,MIA,7533,3.171,-0.3212,2.8498
29,Ekpe Udoh,UTA,3440,1.0794,1.7556,2.835
30,Jarrett Jack,NYK,6658,2.1181,0.7059,2.824
31,Nene Hilario,HOU,3407,1.067,1.746,2.813
32,Donovan Mitchell,UTA,11336,1.252,1.5452,2.7972
33,Pascal Siakam,TOR,7275,1.6906,1.106,2.7966
34,Anthony Davis,NOP,12223,1.2813,1.4128,2.6941
35,Raul Neto,UTA,2167,0.3964,2.26,2.6564
36,Nicolas Batum,CHO,8829,2.1975,0.408,2.6056
37,Giannis Antetokounmpo,MIL,11939,0.4055,2.1785,2.584
38,Russell Westbrook,OKC,13024,1.7757,0.8005,2.5762
39,Klay Thompson,GSW,11078,1.8091,0.717,2.5261
40,Draymond Green,GSW,10242,1.0893,1.3386,2.4278
41,Jared Dudley,PHO,3087,1.3141,1.0982,2.4124
42,Nikola Mirotic,CHI,2769,2.0651,0.2688,2.3338
43,Shaun Livingston,GSW,4927,0.9729,1.3214,2.2943
44,Kyle Lowry,TOR,11057,1.0886,1.1807,2.2693
45,DeMar DeRozan,TOR,11998,2.3744,-0.1829,2.1915
46,Andre Roberson,OKC,4492,-1.7565,3.9124,2.1559
47,Jayson Tatum,BOS,10433,0.8436,1.2611,2.1047
48,Andre Iguodala,GSW,7233,-0.6863,2.7892,2.1029
49,Marco Belinelli,PHI,3359,1.1357,0.9615,2.0972
50,Al-Farouq Aminu,POR,8995,1.4664,0.5949,2.0614
51,Joe Ingles,UTA,11046,1.2716,0.7481,2.0197
52,Lou Williams,LAC,11775,3.5582,-1.552,2.0063
53,Devin Harris,DAL,3469,0.8657,1.0972,1.9629
54,Langston Galloway,DET,3695,-0.7854,2.7244,1.9391
55,Luc Mbah a Moute,HOU,6799,0.0676,1.8577,1.9253
56,Ersan Ilyasova,ATL,5057,1.7951,0.1185,1.9136
57,John Henson,MIL,8463,1.1277,0.7473,1.875
58,P.J. Tucker,HOU,9983,1.3395,0.5128,1.8523
59,Eric Bledsoe,MIL,9711,1.6649,0.181,1.846
60,Ed Davis,POR,6254,0.5212,1.3187,1.8399
61,Salah Mejri,DAL,3091,0.6922,1.1454,1.8376
62,Ben Simmons,PHI,12414,0.5008,1.3188,1.8196
63,LeBron James,CLE,13267,3.5921,-1.7833,1.8088
64,Serge Ibaka,TOR,9236,1.2163,0.5673,1.7836
65,Ian Mahinmi,WAS,5012,0.3821,1.3953,1.7774
66,Dwight Powell,DAL,7117,0.4141,1.3375,1.7516
67,Eric Bledsoe,TOT,10117,1.5789,0.1691,1.748
68,Kevon Looney,GSW,4000,1.0875,0.6552,1.7427
69,Buddy Hield,SAC,8562,0.8088,0.875,1.6837
70,Lucas Nogueira,TOR,1790,0.4212,1.2278,1.6489
71,Aron Baynes,BOS,6249,-0.8008,2.4258,1.625
72,John Wall,WAS,6273,0.9576,0.6595,1.6171
73,Jose Calderon,CLE,3829,1.5625,0.0414,1.6039
74,Kristaps Porzingis,NYK,6709,0.1959,1.4075,1.6033
75,Marcus Smart,BOS,7024,-0.2456,1.8351,1.5896
76,Delon Wright,TOR,6199,0.5073,1.0732,1.5805
77,Steven Adams,OKC,11021,1.1236,0.4436,1.5672
78,Rudy Gobert,UTA,7879,-0.8481,2.4102,1.5621
79,Thabo Sefolosha,UTA,3429,0.4494,1.0848,1.5343
80,Jaylen Brown,BOS,9282,0.2881,1.243,1.5311
81,Ersan Ilyasova,TOT,7640,0.9617,0.5296,1.4913
82,Channing Frye,CLE,2374,1.614,-0.1655,1.4485
83,Bradley Beal,WAS,12889,0.451,0.9959,1.4469
84,J.J. Redick,PHI,9648,1.4342,0.0032,1.4374
85,Isaiah Canaan,PHO,1783,1.3471,0.0867,1.4338
86,Gary Harris,DEN,10021,0.6282,0.7976,1.4257
87,Isaiah Canaan,TOT,1801,1.334,0.0848,1.4187
88,Tomas Satoransky,WAS,7102,0.4331,0.9727,1.4058
89,Ish Smith,DET,8856,1.108,0.2958,1.4038
90,Channing Frye,TOT,3034,1.4568,-0.0549,1.4019
91,Danilo Gallinari,LAC,2865,0.0057,1.3636,1.3693
92,Caris LeVert,BRK,8351,0.2138,1.1531,1.3669
93,Justin Holiday,CHI,9940,1.0788,0.2868,1.3657
94,Nemanja Bjelica,MIN,5924,0.3776,0.9823,1.3599
95,Kevin Durant,GSW,10433,3.441,-2.0826,1.3584
96,Boban Marjanovic,LAC,767,1.044,0.3066,1.3506
97,Will Barton,DEN,11726,0.7746,0.5759,1.3505
98,Milos Teodosic,LAC,5080,1.0769,0.2729,1.3498
99,Terry Rozier,BOS,8942,-0.5321,1.8426,1.3105
100,Darren Collison,IND,8649,2.2446,-0.9429,1.3017
101,C.J. McCollum,POR,12664,1.1836,0.0819,1.2655
102,Kent Bazemore,ATL,7777,0.1678,1.0898,1.2576
103,Lonzo Ball,LAL,8152,-0.6867,1.9361,1.2493
104,Josh Richardson,MIA,11500,0.2794,0.9615,1.2409
105,Channing Frye,LAL,660,0.8917,0.3427,1.2344
106,Jamal Murray,DEN,11012,3.6885,-2.4724,1.2161
107,Frank Mason,SAC,4050,0.8237,0.3873,1.2109
108,Reggie Jackson,DET,5110,0.9249,0.2859,1.2108
109,James Johnson,MIA,8356,0.8355,0.3643,1.1998
110,Sam Dekker,LAC,3990,0.1137,1.0851,1.1988
111,Isaiah Taylor,ATL,5192,0.1766,1.0136,1.1902
112,Pat Connaughton,POR,6469,0.6831,0.4925,1.1756
113,Blake Griffin,DET,3589,0.1883,0.9734,1.1616
114,Zaza Pachulia,GSW,4260,2.0863,-0.9273,1.1589
115,Blake Griffin,TOT,8647,0.6647,0.4784,1.143
116,Shaquille Harrison,PHO,1765,0.8294,0.3124,1.1418
117,Blake Griffin,LAC,5058,1.0028,0.1271,1.1299
118,Derrick White,SAS,632,-0.3084,1.4323,1.124
119,Dejounte Murray,SAS,7373,-1.4761,2.6,1.1239
120,Rondae Hollis-Jefferson,BRK,8627,0.5363,0.5706,1.107
121,Nikola Vucevic,ORL,7484,0.7038,0.3987,1.1025
122,Antonio Blakeney,CHI,1372,1.0317,0.053,1.0847
123,Kevin Love,CLE,7122,1.8718,-0.7936,1.0783
124,Wayne Ellington,MIA,8683,0.5725,0.5006,1.073
125,Michael Kidd-Gilchrist,CHO,8216,0.4751,0.5862,1.0613
126,George Hill,CLE,2901,1.7752,-0.7352,1.04
127,Khem Birch,ORL,2470,0.3856,0.6476,1.0332
128,Michael Carter-Williams,CHO,3553,0.2103,0.818,1.0283
129,Doug McDermott,DAL,2600,1.4831,-0.4617,1.0214
130,Jakob Poeltl,TOR,6643,1.2394,-0.2212,1.0182
131,Justise Winslow,MIA,7249,-1.0482,2.0651,1.0169
132,Bobby Portis,CHI,7268,1.8496,-0.8404,1.0092
133,Clint Capela,HOU,8761,0.7962,0.1992,0.9954
134,JaKarr Sampson,SAC,1439,-0.6782,1.6666,0.9884
135,Aaron Gordon,ORL,8482,0.2625,0.7227,0.9852
136,Markelle Fultz,PHI,1203,-0.5603,1.5412,0.9809
137,Luke Babbitt,ATL,2491,1.5099,-0.5406,0.9694
138,Kyle Anderson,SAS,8327,0.1104,0.8536,0.9641
139,Dario Saric,PHI,10336,0.9052,0.0586,0.9638
140,Nikola Mirotic,TOT,6730,0.8991,0.0527,0.9518
141,Thaddeus Young,IND,11052,0.8022,0.1464,0.9487
142,Emeka Okafor,NOP,1599,0.1162,0.7855,0.9018
143,Skal Labissiere,SAC,5290,1.5129,-0.6112,0.9017
144,Alex Len,PHO,6405,0.4367,0.4644,0.901
145,Brice Johnson,LAC,182,0.3097,0.5879,0.8976
146,Myles Turner,IND,7834,0.6423,0.2478,0.8901
147,Marreese Speights,ORL,2936,0.4166,0.4693,0.8859
148,Mario Chalmers,MEM,6274,-0.7498,1.635,0.8853
149,Johnny O'Bryant,CHO,1661,-1.1114,1.9921,0.8807
150,Andre Ingram,LAL,295,0.4447,0.4278,0.8726
