game_id,period,pts,poss_num,id,dummy
21700001,1,2,1,o1627759,1
21700001,1,0,2,d1627759,1
21700001,1,0,3,o1627759,1
21700001,1,0,4,d1627759,1
21700001,1,2,5,o1627759,1
21700001,1,3,6,d1627759,1
21700001,1,0,7,o1627759,1
21700001,1,2,8,d1627759,1
21700001,1,0,9,o1627759,1
21700001,1,2,10,d1627759,1
21700001,1,2,11,o1627759,1
21700001,1,2,12,d1627759,1
21700001,1,0,13,o1627759,1
21700001,1,0,14,d1627759,1
21700001,1,2,15,o1627759,1
21700001,1,0,16,d1627759,1
21700001,1,2,17,o1627759,1
21700001,1,0,18,d1627759,1
21700001,1,0,19,o1627759,1
21700001,1,0,20,d1627759,1
21700001,1,2,21,o1627759,1
21700001,1,0,22,d1627759,1
21700001,1,0,23,o1627759,1
21700001,1,0,24,d1627759,1
21700001,1,0,25,o1627759,1
21700001,1,2,26,d1627759,1
21700001,1,2,27,o1627759,1
21700001,1,2,28,d1627759,1
21700001,1,0,29,o1627759,1
21700001,1,0,30,d1627759,1
21700001,1,0,31,o1627759,1
21700001,1,2,32,d1627759,1
21700001,1,3,33,o1627759,1
21700001,1,2,34,d1627759,1
21700001,1,0,35,o1627759,1
21700001,1,0,36,d1627759,1
21700001,1,0,37,o1627759,1
21700001,1,3,38,d1627759,1
21700001,1,0,39,o1627759,1
21700001,1,3,40,d1627759,1
21700001,1,0,41,o1626179,1
21700001,1,0,42,d1626179,1
21700001,1,0,43,o1626179,1
21700001,1,3,44,d1626179,1
21700001,1,0,45,o1626179,1
21700001,1,0,46,d1626179,1
21700001,1,2,47,o1626179,1
21700001,1,3,48,d1626179,1
21700001,1,0,49,o1626179,1
21700001,2,0,50,d1626179,1
21700001,2,2,51,o1626179,1
21700001,2,1,52,d1626179,1
21700001,2,0,53,o1626179,1
21700001,2,2,54,d1626179,1
21700001,2,0,55,o1626179,1
21700001,2,0,56,d1626179,1
21700001,2,0,57,o1626179,1
21700001,2,2,58,d1626179,1
21700001,2,1,59,o1626179,1
21700001,2,0,60,d1626179,1
21700001,2,0,61,o1626179,1
21700001,2,0,62,d1626179,1
21700001,2,3,63,o1626179,1
21700001,2,2,64,d1626179,1
21700001,2,0,65,o1626179,1
21700001,2,2,66,d1627759,1
21700001,2,0,67,o1627759,1
21700001,2,1,68,d1627759,1
21700001,2,3,69,o1627759,1
21700001,2,2,70,d1627759,1
21700001,2,0,71,o1627759,1
21700001,2,3,72,d1627759,1
21700001,2,2,73,o1627759,1
21700001,2,0,74,d1627759,1
21700001,2,0,75,o1627759,1
21700001,2,0,76,d1627759,1
21700001,2,0,77,o1627759,1
21700001,2,0,78,d1627759,1
21700001,2,0,79,o1627759,1
21700001,2,2,80,d1627759,1
21700001,2,0,81,o1627759,1
21700001,2,2,82,d1627759,1
21700001,2,2,83,o1627759,1
21700001,2,0,84,d1627759,1
21700001,2,0,85,o1627759,1
21700001,2,0,86,d1627759,1
21700001,2,2,87,o1627759,1
21700001,2,0,88,d1627759,1
21700001,2,0,89,o1627759,1
21700001,2,2,90,d1627759,1
21700001,2,2,91,o1627759,1
21700001,2,2,92,d1627759,1
21700001,2,2,93,o1627759,1
21700001,2,0,94,d1627759,1
21700001,2,0,95,o1627759,1
21700001,2,2,96,d1627759,1
21700001,2,0,97,o1627759,1
21700001,3,0,98,d1627759,1
21700001,3,2,99,o1627759,1
21700001,3,0,100,d1627759,1
21700001,3,2,101,o1627759,1
21700001,3,4,102,d1627759,1
21700001,3,0,103,o1627759,1
21700001,3,2,104,d1627759,1
21700001,3,1,105,o1627759,1
21700001,3,0,106,d1627759,1
21700001,3,0,107,o1627759,1
21700001,3,0,108,d1627759,1
21700001,3,2,109,o1627759,1
21700001,3,0,110,d1627759,1
21700001,3,2,111,o1627759,1
21700001,3,0,112,d1627759,1
21700001,3,2,113,o1627759,1
21700001,3,0,114,d1627759,1
21700001,3,2,115,o1627759,1
21700001,3,2,116,d1627759,1
21700001,3,0,117,o1627759,1
21700001,3,0,118,d1627759,1
21700001,3,0,119,o1627759,1
21700001,3,0,120,d1627759,1
21700001,3,3,121,o1627759,1
21700001,3,2,122,d1627759,1
21700001,3,0,123,o1627759,1
21700001,3,0,124,d1627759,1
21700001,3,0,125,o1627759,1
21700001,3,0,126,d1627759,1
21700001,3,3,127,o1627759,1
21700001,3,0,128,d1626179,1
21700001,3,2,129,o1626179,1
21700001,3,2,130,d1626179,1
21700001,3,0,131,o1626179,1
21700001,3,0,132,d1626179,1
21700001,3,3,133,o1626179,1
21700001,3,0,134,d1626179,1
21700001,3,0,135,o1626179,1
21700001,3,0,136,d1626179,1
21700001,3,0,137,o1626179,1
21700001,3,2,138,d1626179,1
21700001,3,0,139,o1626179,1
21700001,3,0,140,d1626179,1
21700001,3,2,141,o1626179,1
21700001,3,0,142,d1626179,1
21700001,3,3,143,o1626179,1
21700001,3,0,144,d1626179,1
21700001,3,0,145,o1626179,1
21700001,3,0,146,d1626179,1
21700001,3,1,147,o1626179,1
21700001,3,0,148,d1626179,1
21700001,3,2,149,o1626179,1
21700001,3,3,150,d1626179,1
21700001,4,0,151,o1626179,1
21700001,4,2,152,d1626179,1
21700001,4,1,153,o1626179,1
21700001,4,1,154,d1626179,1
21700001,4,1,155,o1626179,1
21700001,4,2,156,d1626179,1
21700001,4,2,157,o1626179,1
21700001,4,0,158,d1626179,1
21700001,4,3,159,o1626179,1
21700001,4,2,160,d1626179,1
21700001,4,3,161,o1626179,1
21700001,4,2,162,d1626179,1
21700001,4,0,163,o1626179,1
21700001,4,0,164,d1626179,1
21700001,4,2,165,o1626179,1
21700001,4,0,166,d1626179,1
21700001,4,0,167,o1626179,1
21700001,4,2,168,d1626179,1
21700001,4,3,169,o1626179,1
21700001,4,2,170,d1626179,1
21700001,4,0,171,o1626179,1
21700001,4,0,172,d1626179,1
21700001,4,0,173,o1626179,1
21700001,4,0,174,d1626179,1
21700001,4,1,175,o1626179,1
21700001,4,-1,176,d1626179,1
21700001,4,0,177,o1627759,1
21700001,4,2,178,d1627759,1
21700001,4,3,179,o1627759,1
21700001,4,3,180,d1627759,1
21700001,4,0,181,o1627759,1
21700001,4,0,182,d1627759,1
21700001,4,2,183,o1627759,1
21700001,4,2,184,d1627759,1
21700001,4,2,185,o1627759,1
21700001,4,2,186,d1627759,1
21700001,4,2,187,o1627759,1
21700001,4,2,188,d1627759,1
21700001,4,0,189,o1627759,1
21700001,4,2,190,d1627759,1
21700001,4,0,191,o1627759,1
21700001,4,3,192,d1627759,1
21700001,4,1,193,o1627759,1
21700001,4,0,194,d1627759,1
21700001,4,0,195,o1627759,1
21700001,1,2,1,o1628369,1
21700001,1,0,2,d1628369,1
21700001,1,0,3,o1628369,1
21700001,1,0,4,d1628369,1
21700001,1,2,5,o1628369,1
21700001,1,3,6,d1628369,1
21700001,1,0,7,o1628369,1
21700001,1,2,8,d1628369,1
21700001,1,0,9,o1628369,1
21700001,1,2,10,d1628369,1
21700001,1,2,11,o1628369,1
21700001,1,2,12,d1628369,1
21700001,1,0,13,o1628369,1
21700001,1,0,14,d1628369,1
21700001,1,2,15,o1628369,1
21700001,1,0,16,d1628369,1
21700001,1,2,17,o1628369,1
21700001,1,0,18,d1628369,1
21700001,1,0,19,o1628369,1
21700001,1,0,20,d1628369,1
21700001,1,2,21,o1628369,1
21700001,1,0,22,d1628369,1
21700001,1,0,23,o1628369,1
21700001,1,0,24,d1628369,1
21700001,1,0,25,o1628369,1
21700001,1,2,26,d1628369,1
21700001,1,2,27,o1628369,1
21700001,1,2,28,d1628369,1
21700001,1,0,29,o1628369,1
21700001,1,0,30,d1628369,1
21700001,1,0,31,o1628369,1
21700001,1,2,32,d1628369,1
21700001,1,3,33,o1628369,1
21700001,1,2,34,d1628369,1
21700001,1,0,35,o1628369,1
21700001,1,0,36,d1628369,1
21700001,1,0,37,o1628369,1
21700001,1,3,38,d1628369,1
21700001,1,0,39,o1628369,1
21700001,1,3,40,d1628369,1
21700001,1,0,41,o1627759,1
21700001,1,0,42,d1627759,1
21700001,1,0,43,o1627759,1
21700001,1,3,44,d1627759,1
21700001,1,0,45,o1627759,1
21700001,1,0,46,d1627759,1
21700001,1,2,47,o1627759,1
21700001,1,3,48,d1627759,1
21700001,1,0,49,o1628400,1
21700001,2,0,50,d1628369,1
21700001,2,2,51,o1628369,1
21700001,2,1,52,d1628369,1
21700001,2,0,53,o1628369,1
21700001,2,2,54,d1628369,1
21700001,2,0,55,o1628369,1
21700001,2,0,56,d1628369,1
21700001,2,0,57,o1628369,1
21700001,2,2,58,d1628369,1
21700001,2,1,59,o1628369,1
21700001,2,0,60,d1628369,1
21700001,2,0,61,o1628369,1
21700001,2,0,62,d1628369,1
21700001,2,3,63,o1628369,1
21700001,2,2,64,d1628369,1
21700001,2,0,65,o1628369,1
21700001,2,2,66,d1628400,1
21700001,2,0,67,o1628400,1
21700001,2,1,68,d1628400,1
21700001,2,3,69,o1628400,1
21700001,2,2,70,d1628400,1
21700001,2,0,71,o1628400,1
21700001,2,3,72,d1628400,1
21700001,2,2,73,o1628400,1
21700001,2,0,74,d1628400,1
21700001,2,0,75,o1628400,1
21700001,2,0,76,d1628400,1
21700001,2,0,77,o1628400,1
21700001,2,0,78,d1628400,1
21700001,2,0,79,o1628400,1
21700001,2,2,80,d1628400,1
21700001,2,0,81,o1628400,1
21700001,2,2,82,d1628400,1
21700001,2,2,83,o1628369,1
21700001,2,0,84,d1628369,1
21700001,2,0,85,o1628369,1
21700001,2,0,86,d1628369,1
21700001,2,2,87,o1628369,1
21700001,2,0,88,d1628369,1
21700001,2,0,89,o1628369,1
21700001,2,2,90,d1628369,1
21700001,2,2,91,o1628369,1
21700001,2,2,92,d1628369,1
21700001,2,2,93,o1628369,1
21700001,2,0,94,d1628369,1
21700001,2,0,95,o1628369,1
21700001,2,2,96,d1628369,1
21700001,2,0,97,o1628369,1
21700001,3,0,98,d1628369,1
21700001,3,2,99,o1628369,1
21700001,3,0,100,d1628369,1
21700001,3,2,101,o1628369,1
21700001,3,4,102,d1628369,1
21700001,3,0,103,o1628369,1
21700001,3,2,104,d1628369,1
21700001,3,1,105,o1628369,1
21700001,3,0,106,d1628369,1
21700001,3,0,107,o1628369,1
21700001,3,0,108,d1628369,1
21700001,3,2,109,o1628369,1
21700001,3,0,110,d1628369,1
21700001,3,2,111,o1628369,1
21700001,3,0,112,d1628369,1
21700001,3,2,113,o1628369,1
21700001,3,0,114,d1628369,1
21700001,3,2,115,o1628369,1
21700001,3,2,116,d1628369,1
21700001,3,0,117,o1628369,1
21700001,3,0,118,d1628369,1
21700001,3,0,119,o1628369,1
21700001,3,0,120,d1628369,1
21700001,3,3,121,o1628369,1
21700001,3,2,122,d1628369,1
21700001,3,0,123,o1628369,1
21700001,3,0,124,d1628369,1
21700001,3,0,125,o1628369,1
21700001,3,0,126,d1628369,1
21700001,3,3,127,o1628369,1
21700001,3,0,128,d1627759,1
21700001,3,2,129,o1627759,1
21700001,3,2,130,d1627759,1
21700001,3,0,131,o1627759,1
21700001,3,0,132,d1627759,1
21700001,3,3,133,o1627759,1
21700001,3,0,134,d1627759,1
21700001,3,0,135,o1627759,1
21700001,3,0,136,d1628369,1
21700001,3,0,137,o1628369,1
21700001,3,2,138,d1628369,1
21700001,3,0,139,o1628369,1
21700001,3,0,140,d1628369,1
21700001,3,2,141,o1628369,1
21700001,3,0,142,d1628369,1
21700001,3,3,143,o1628369,1
21700001,3,0,144,d1628369,1
21700001,3,0,145,o1628369,1
21700001,3,0,146,d1628369,1
21700001,3,1,147,o1628369,1
21700001,3,0,148,d1628369,1
21700001,3,2,149,o1628369,1
21700001,3,3,150,d1628369,1
21700001,4,0,151,o1627759,1
21700001,4,2,152,d1627759,1
21700001,4,1,153,o1627759,1
21700001,4,1,154,d1627759,1
21700001,4,1,155,o1627759,1
21700001,4,2,156,d1627759,1
21700001,4,2,157,o1627759,1
21700001,4,0,158,d1627759,1
21700001,4,3,159,o1627759,1
21700001,4,2,160,d1627759,1
21700001,4,3,161,o1627759,1
21700001,4,2,162,d1627759,1
21700001,4,0,163,o1627759,1
21700001,4,0,164,d1627759,1
21700001,4,2,165,o1627759,1
21700001,4,0,166,d1627759,1
21700001,4,0,167,o1627759,1
21700001,4,2,168,d1627759,1
21700001,4,3,169,o1627759,1
21700001,4,2,170,d1627759,1
21700001,4,0,171,o1627759,1
21700001,4,0,172,d1627759,1
21700001,4,0,173,o1627759,1
21700001,4,0,174,d1627759,1
21700001,4,1,175,o1627759,1
21700001,4,-1,176,d1627759,1
21700001,4,0,177,o1628369,1
21700001,4,2,178,d1628369,1
21700001,4,3,179,o1628369,1
21700001,4,3,180,d1628369,1
21700001,4,0,181,o1628369,1
21700001,4,0,182,d1628369,1
21700001,4,2,183,o1628369,1
21700001,4,2,184,d1628369,1
21700001,4,2,185,o1628369,1
21700001,4,2,186,d1628369,1
21700001,4,2,187,o1628369,1
21700001,4,2,188,d1628369,1
21700001,4,0,189,o1628369,1
21700001,4,2,190,d1628369,1
21700001,4,0,191,o1628369,1
21700001,4,3,192,d1628369,1
21700001,4,1,193,o1628369,1
21700001,4,0,194,d1628369,1
21700001,4,0,195,o1628369,1
21700001,1,2,1,o0201143,1
21700001,1,0,2,d0201143,1
21700001,1,0,3,o0201143,1
21700001,1,0,4,d0201143,1
21700001,1,2,5,o0201143,1
21700001,1,3,6,d0201143,1
21700001,1,0,7,o0201143,1
21700001,1,2,8,d0201143,1
21700001,1,0,9,o0201143,1
21700001,1,2,10,d0201143,1
21700001,1,2,11,o0201143,1
21700001,1,2,12,d0201143,1
21700001,1,0,13,o0201143,1
21700001,1,0,14,d0201143,1
21700001,1,2,15,o0201143,1
21700001,1,0,16,d0201143,1
21700001,1,2,17,o0201143,1
21700001,1,0,18,d0201143,1
21700001,1,0,19,o0201143,1
21700001,1,0,20,d0201143,1
21700001,1,2,21,o0201143,1
21700001,1,0,22,d0201143,1
21700001,1,0,23,o0201143,1
21700001,1,0,24,d0201143,1
21700001,1,0,25,o0201143,1
21700001,1,2,26,d0201143,1
21700001,1,2,27,o0201143,1
21700001,1,2,28,d0201143,1
21700001,1,0,29,o0201143,1
21700001,1,0,30,d0201143,1
21700001,1,0,31,o0201143,1
21700001,1,2,32,d0201143,1
21700001,1,3,33,o0201143,1
21700001,1,2,34,d0202681,1
21700001,1,0,35,o0202681,1
21700001,1,0,36,d0202681,1
21700001,1,0,37,o0202681,1
21700001,1,3,38,d0202681,1
21700001,1,0,39,o0202681,1
21700001,1,3,40,d0202681,1
21700001,1,0,41,o1628400,1
21700001,1,0,42,d1628400,1
21700001,1,0,43,o1628400,1
21700001,1,3,44,d1628400,1
21700001,1,0,45,o1628400,1
21700001,1,0,46,d1628400,1
21700001,1,2,47,o1628400,1
21700001,1,3,48,d1628400,1
21700001,1,0,49,o0201143,1
21700001,2,0,50,d0201143,1
21700001,2,2,51,o0201143,1
21700001,2,1,52,d0201143,1
21700001,2,0,53,o0201143,1
21700001,2,2,54,d0201143,1
21700001,2,0,55,o0201143,1
21700001,2,0,56,d0201143,1
21700001,2,0,57,o0201143,1
21700001,2,2,58,d0201143,1
21700001,2,1,59,o1628400,1
21700001,2,0,60,d1628400,1
21700001,2,0,61,o1628400,1
21700001,2,0,62,d1628400,1
21700001,2,3,63,o1628400,1
21700001,2,2,64,d1628400,1
21700001,2,0,65,o1628400,1
21700001,2,2,66,d0201143,1
21700001,2,0,67,o0201143,1
21700001,2,1,68,d0201143,1
21700001,2,3,69,o0201143,1
21700001,2,2,70,d0201143,1
21700001,2,0,71,o0201143,1
21700001,2,3,72,d0201143,1
21700001,2,2,73,o0201143,1
21700001,2,0,74,d0201143,1
21700001,2,0,75,o0201143,1
21700001,2,0,76,d0202681,1
21700001,2,0,77,o0202681,1
21700001,2,0,78,d0202681,1
21700001,2,0,79,o0202681,1
21700001,2,2,80,d0202681,1
21700001,2,0,81,o0202681,1
21700001,2,2,82,d0202681,1
21700001,2,2,83,o0202681,1
21700001,2,0,84,d0202681,1
21700001,2,0,85,o0202681,1
21700001,2,0,86,d0202681,1
21700001,2,2,87,o0202681,1
21700001,2,0,88,d0202681,1
21700001,2,0,89,o0202681,1
21700001,2,2,90,d0202681,1
21700001,2,2,91,o0202681,1
21700001,2,2,92,d0202681,1
21700001,2,2,93,o0202681,1
21700001,2,0,94,d0202681,1
21700001,2,0,95,o0202681,1
21700001,2,2,96,d0202681,1
21700001,2,0,97,o0201143,1
21700001,3,0,98,d0201143,1
21700001,3,2,99,o0201143,1
21700001,3,0,100,d0201143,1
21700001,3,2,101,o0201143,1
21700001,3,4,102,d0201143,1
21700001,3,0,103,o0201143,1
21700001,3,2,104,d0201143,1
21700001,3,1,105,o0201143,1
21700001,3,0,106,d0201143,1
21700001,3,0,107,o0201143,1
21700001,3,0,108,d0201143,1
21700001,3,2,109,o0201143,1
21700001,3,0,110,d0201143,1
21700001,3,2,111,o0201143,1
21700001,3,0,112,d0201143,1
21700001,3,2,113,o0201143,1
21700001,3,0,114,d0201143,1
21700001,3,2,115,o0201143,1
21700001,3,2,116,d0201143,1
21700001,3,0,117,o0201143,1
21700001,3,0,118,d0201143,1
21700001,3,0,119,o0201143,1
21700001,3,0,120,d0201143,1
21700001,3,3,121,o0201143,1
21700001,3,2,122,d0201143,1
21700001,3,0,123,o0201143,1
21700001,3,0,124,d0201143,1
21700001,3,0,125,o0201143,1
21700001,3,0,126,d0201143,1
21700001,3,3,127,o0201143,1
21700001,3,0,128,d1628369,1
21700001,3,2,129,o1628369,1
21700001,3,2,130,d1628369,1
21700001,3,0,131,o1628369,1
21700001,3,0,132,d1628369,1
21700001,3,3,133,o1628369,1
21700001,3,0,134,d1628369,1
21700001,3,0,135,o1628369,1
21700001,3,0,136,d0203382,1
21700001,3,0,137,o0203382,1
21700001,3,2,138,d0203382,1
21700001,3,0,139,o0203382,1
21700001,3,0,140,d0203382,1
