rank,name,slug,poss,orapm,drapm,rapm
445,Spencer Hawes,CHO,2775,-1.3698,0.3211,-1.0487
446,K.J. McDaniels,HOU,922,-0.1477,-0.9062,-1.0539
447,Briante Weber,CHO,617,-0.3087,-0.747,-1.0557
448,Andrew Nicholson,TOT,1478,-0.7049,-0.3516,-1.0565
449,Doug McDermott,CHI,4591,0.1954,-1.2573,-1.0619
450,Timofey Mozgov,LAL,4801,-1.5495,0.4866,-1.0629
451,Treveon Graham,CHO,778,-1.0734,0.0093,-1.0641
452,Justin Anderson,TOT,5230,-0.4653,-0.6051,-1.0704
453,Omri Casspi,TOT,2749,-0.3319,-0.7432,-1.0751
454,Willie Cauley-Stein,SAC,6039,-0.794,-0.284,-1.078
455,Nick Collison,OKC,559,-1.3151,0.2256,-1.0894
456,Nicolas Batum,CHO,11231,0.0728,-1.1634,-1.0905
457,Omer Asik,NOP,2097,-1.0145,-0.0802,-1.0947
458,Domantas Sabonis,OKC,7139,-2.1371,1.0317,-1.1054
459,Jarrod Uthoff,DAL,477,-0.2898,-0.8192,-1.1089
460,Boris Diaw,UTA,5223,-0.4061,-0.7078,-1.114
461,Manny Harris,DAL,112,-0.637,-0.4906,-1.1276
462,Cristiano Felicio,CHI,4426,-1.1266,-0.011,-1.1376
463,Lou Williams,HOU,2757,-0.0428,-1.1001,-1.1429
464,Jabari Parker,MIL,7530,0.146,-1.2969,-1.1509
465,Mike Dunleavy,TOT,3648,-1.5013,0.3473,-1.1541
466,Sasha Vujacic,NYK,1795,-1.5831,0.4196,-1.1635
467,Miles Plumlee,CHO,705,-0.2451,-0.9292,-1.1743
468,Anthony Morrow,TOT,3183,-0.7448,-0.4356,-1.1804
469,Sheldon Mac,WAS,1228,-1.3079,0.1247,-1.1832
470,Shaun Livingston,GSW,5799,-1.6513,0.4679,-1.1834
471,Ed Davis,POR,3451,-0.5324,-0.6541,-1.1864
472,Michael Beasley,MIL,4034,0.0569,-1.2462,-1.1894
473,Troy Williams,TOT,2429,-1.0342,-0.1644,-1.1985
474,Jared Sullinger,TOR,497,-1.2146,0.0111,-1.2035
475,Kelly Olynyk,BOS,6728,-1.4088,0.2035,-1.2053
476,Kosta Koufos,SAC,5971,-1.5633,0.3526,-1.2108
477,Jakob Poeltl,TOR,2660,-2.0219,0.802,-1.2199
478,Jon Leuer,DET,8277,-1.7155,0.4823,-1.2332
479,Nicolas Laprovittola,SAS,735,-1.1778,-0.056,-1.2338
480,Evan Turner,POR,7243,-1.9354,0.6852,-1.2502
481,Noah Vonleh,POR,5431,-1.66,0.3989,-1.2611
482,Cory Joseph,TOR,8573,0.0701,-1.3326,-1.2625
483,Kay Felder,CLE,1683,-1.3238,0.0599,-1.2639
484,Troy Williams,MEM,1776,-1.1958,-0.0766,-1.2725
485,Corey Brewer,LAL,1596,-0.8061,-0.4825,-1.2886
486,Jose Calderon,TOT,2328,-1.0534,-0.2443,-1.2977
487,Al Jefferson,IND,3962,-0.6305,-0.6698,-1.3002
488,Anderson Varejao,GSW,418,-0.5752,-0.7321,-1.3073
489,Jusuf Nurkic,TOT,6196,-1.7458,0.4298,-1.316
490,Kentavious Caldwell-Pope,DET,10874,-0.3498,-0.9764,-1.3262
491,Andrew Nicholson,BRK,479,-0.2159,-1.1138,-1.3297
492,Brandon Knight,PHO,5164,-1.1206,-0.2099,-1.3305
493,Brandon Jennings,TOT,7923,-0.3989,-0.9523,-1.3513
494,Richaun Holmes,PHI,5279,0.663,-2.0217,-1.3587
495,Derrick Williams,MIA,1596,-0.9052,-0.4665,-1.3717
496,Hollis Thompson,PHI,2454,-1.1948,-0.1983,-1.3931
497,Bobby Portis,CHI,4234,-0.6957,-0.7043,-1.4
498,Mike Dunleavy,ATL,2048,-1.6783,0.2213,-1.457
499,Jaylen Brown,BOS,5862,-2.1543,0.6951,-1.4592
500,Tristan Thompson,CLE,10045,-1.0823,-0.385,-1.4672
501,Chinanu Onuaku,HOU,230,-0.2952,-1.181,-1.4762
502,James Young,BOS,980,-0.9469,-0.534,-1.4809
503,Tyler Ennis,HOU,803,-0.8485,-0.6359,-1.4844
504,Kris Humphries,ATL,2958,-1.6873,0.1927,-1.4946
505,Lavoy Allen,IND,3749,-0.3992,-1.0989,-1.4981
506,Metta World Peace,LAL,694,-1.0982,-0.406,-1.5042
507,Kyle O'Quinn,NYK,5241,-0.5722,-0.9349,-1.5072
508,Austin Rivers,LAC,8943,-0.4739,-1.0356,-1.5095
509,E'Twaun Moore,NOP,8020,-0.4826,-1.0492,-1.5318
510,Juan Hernangomez,DEN,3697,0.1494,-1.6851,-1.5357
511,Udonis Haslem,MIA,571,-1.6615,0.0996,-1.5618
512,Anthony Morrow,OKC,2808,-0.946,-0.6357,-1.5817
513,D'Angelo Russell,LAL,8050,0.4656,-2.0496,-1.584
514,Dwight Howard,ATL,9730,-3.0165,1.3973,-1.6192
515,Jeff Green,ORL,6690,-1.8391,0.2135,-1.6256
516,Cheick Diallo,NOP,875,-0.5951,-1.0341,-1.6292
517,Bojan Bogdanovic,TOT,9367,-0.1724,-1.4643,-1.6367
518,Kevin Seraphin,IND,2393,-0.8384,-0.7986,-1.637
519,Taurean Waller-Prince,ATL,4329,-3.2807,1.636,-1.6447
520,Justin Anderson,DAL,2947,-0.936,-0.7122,-1.6482
521,Gary Payton,MIL,423,-1.0208,-0.6575,-1.6783
522,Arron Afflalo,SAC,6723,-0.3705,-1.3197,-1.6902
523,Jonathan Gibson,DAL,980,-0.4862,-1.2069,-1.6932
524,Mario Hezonja,ORL,4102,-1.1666,-0.5547,-1.7213
525,Brandon Jennings,NYK,6284,-0.6156,-1.106,-1.7216
526,Garrett Temple,SAC,7426,-0.7936,-0.9333,-1.7269
527,Tim Frazier,NOP,6650,-0.1838,-1.5704,-1.7542
528,Damjan Rudez,ORL,1336,-0.9008,-0.8638,-1.7647
529,Avery Bradley,BOS,7969,-0.5304,-1.2392,-1.7696
530,C.J. Watson,ORL,4379,-1.4904,-0.2905,-1.7808
531,Jordan Mickey,BOS,616,-0.7977,-0.9914,-1.7891
532,Dwyane Wade,CHI,7666,-1.2237,-0.5883,-1.812
533,Joakim Noah,NYK,4378,-0.9482,-0.9079,-1.8561
534,Trey Burke,WAS,2981,-1.0602,-0.8128,-1.873
535,Kent Bazemore,ATL,8748,-1.3478,-0.5363,-1.8842
536,Ben McLemore,SAC,5011,-1.1798,-0.7108,-1.8906
537,Allen Crabbe,POR,9919,-0.6033,-1.2958,-1.899
538,Kevon Looney,GSW,2028,-2.0813,0.1794,-1.9019
539,Zach LaVine,MIN,7404,-0.7992,-1.1031,-1.9023
540,Kyle Korver,ATL,3941,-0.8991,-1.01,-1.9091
541,Joffrey Lauvergne,TOT,4288,-0.9934,-0.9284,-1.9218
542,Gerald Henderson,PHI,7385,-0.6542,-1.2691,-1.9233
543,Tyler Johnson,MIA,9477,-1.7526,-0.1794,-1.932
544,Buddy Hield,TOT,8171,-0.7134,-1.2489,-1.9623
545,Trevor Booker,BRK,7923,-2.2861,0.3213,-1.9648
546,Tyreke Evans,SAC,1325,-1.8287,-0.1379,-1.9666
547,Jordan McRae,CLE,1645,-0.4904,-1.4882,-1.9785
548,Thomas Robinson,LAL,2496,-0.9635,-1.0214,-1.9849
549,Tyler Ulis,PHO,5167,-1.7026,-0.3028,-2.0054
550,Marquese Chriss,PHO,8001,-1.2914,-0.7428,-2.0341
551,Rashad Vaughn,MIL,1945,-1.5168,-0.5505,-2.0674
552,Andre Drummond,DET,10225,-0.8438,-1.2786,-2.1225
553,Tyreke Evans,TOT,3404,-1.5827,-0.5558,-2.1385
554,Bojan Bogdanovic,BRK,6681,-0.3736,-1.7875,-2.1611
555,Julius Randle,LAL,9443,-0.0938,-2.0739,-2.1677
556,Lance Thomas,NYK,4171,-1.0997,-1.0715,-2.1713
557,Josh McRoberts,MIA,1559,-1.0338,-1.1795,-2.2132
