slug_season,name_player,group_position,year_season,id_position,slug_player_bref,id_player_nba,name_player_bref,url_player_thumbnail,url_player_headshot,year_season_first,id_player_season,age_player,slug_team_bref,count_games,is_hof_player,minutes,ratio_per,pct_true_shooting,pct3p_rate,pct_ft_rate,pct_orb,pct_drb,pct_trb,pct_ast,pct_stl,pct_blk,pct_tov,pct_usg,ratio_ows,ratio_dws,ratio_ws,ratio_ws_per48,ratio_obpm,ratio_dbpm,ratio_bpm,ratio_vorp,count_games_started,pct_fg,pct_fg3,pct_fg2,pct_efg,pct_ft,minutes_totals,fgm_totals,fga_totals,fg3m_totals,fg3a_totals,fg2m_totals,fg2a_totals,ftm_totals,fta_totals,orb_totals,drb_totals,trb_totals,ast_totals,stl_totals,blk_totals,tov_totals,pf_totals,pts_totals,url_player_bref
2015-16,Elijah Millsap,G,2016,SG,millsel01,202407,Elijah Millsap,https://stats.nba.com/media/players/230x185/202407.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202407.png,2014,millsel01_2016,28,UTA,20,FALSE,173,6.5,0.384,0.308,0.462,0.041,0.195,0.118,0.162,0.021,0.015,0.161,0.149,-0.2,0.3,0.1,0.033,-4.6,1.8,-2.8,0,0,0.282,0.083,0.37,0.295,0.722,173,11,39,1,12,10,27,13,18,6,29,35,19,7,3,9,33,36,http://www.basketball-reference.com/players/m/millsel01.html
2015-16,Elliot Williams,G,2016,PG,williel01,202343,Elliot Williams,https://stats.nba.com/media/players/230x185/202343.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202343.png,2010,williel01_2016,26,MEM,5,FALSE,45,3.3,0.34,0.4,0.4,0.024,0.079,0.051,0.124,0,0,0.078,0.127,0,0,0,-0.046,-5.2,-3.5,-8.7,-0.1,0,0.2,0.25,0.167,0.25,0.75,45,2,10,1,4,1,6,3,4,1,3,4,4,0,0,1,2,8,http://www.basketball-reference.com/players/w/williel01.html
2015-16,Elton Brand,C,2016,C,brandel01,1882,Elton Brand,https://stats.nba.com/media/players/230x185/1882.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1882.png,1999,brandel01_2016,36,PHI,17,FALSE,225,11.4,0.461,0.014,0.125,0.042,0.27,0.152,0.131,0.02,0.027,0.126,0.169,-0.1,0.3,0.2,0.036,-5.5,1.5,-4,-0.1,1,0.431,0,0.437,0.431,0.889,225,31,72,0,1,31,71,8,9,9,54,63,18,9,8,11,32,70,http://www.basketball-reference.com/players/b/brandel01.html
2015-16,Emmanuel Mudiay,G,2016,PG,mudiaem01,1626144,Emmanuel Mudiay,https://stats.nba.com/media/players/230x185/1626144.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626144.png,2015,mudiaem01_2016,19,DEN,68,FALSE,2068,9.9,0.437,0.256,0.231,0.017,0.109,0.062,0.29,0.016,0.014,0.179,0.257,-3.3,1.2,-2.1,-0.049,-3.1,-1.2,-4.3,-1.2,66,0.364,0.319,0.379,0.404,0.67,2068,329,905,74,232,255,673,140,209,32,200,232,372,65,35,217,141,872,http://www.basketball-reference.com/players/m/mudiaem01.html
2015-16,Enes Kanter,C,2016,C,kanteen01,202683,Enes Kanter,https://stats.nba.com/media/players/230x185/202683.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202683.png,2011,kanteen01_2016,23,OKC,82,FALSE,1721,24,0.626,0.029,0.349,0.167,0.249,0.21,0.031,0.7,0.015,0.122,0.234,6,2.1,8.1,0.226,1.3,-3.1,-1.7,0.1,1,0.576,0.476,0.579,0.583,0.797,1721,414,719,10,21,404,698,200,251,249,415,664,33,26,33,115,166,1038,http://www.basketball-reference.com/players/k/kanteen01.html
2015-16,Eric Bledsoe,G,2016,PG,bledser01,202339,Eric Bledsoe,https://stats.nba.com/media/players/230x185/202339.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202339.png,2010,bledser01_2016,26,PHO,31,FALSE,1059,20,0.557,0.262,0.35,0.018,0.112,0.064,0.318,0.029,0.015,0.162,0.272,1.6,1,2.5,0.116,2.7,0.1,2.8,1.3,31,0.453,0.372,0.482,0.502,0.802,1059,223,492,48,129,175,363,138,172,18,107,125,190,63,19,110,75,632,http://www.basketball-reference.com/players/b/bledser01.html
2015-16,Eric Gordon,G,2016,SG,gordoer01,201569,Eric Gordon,https://stats.nba.com/media/players/230x185/201569.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png,2008,gordoer01_2016,27,NOP,45,FALSE,1481,13.5,0.565,0.533,0.226,0.7,0.069,0.037,0.127,0.014,0.8,0.107,0.203,1.7,0.4,2.1,0.069,1.6,-2.2,-0.6,0.5,44,0.418,0.384,0.457,0.521,0.888,1481,231,552,113,294,118,258,111,125,10,89,99,121,43,14,73,98,686,http://www.basketball-reference.com/players/g/gordoer01.html
2015-16,Eric Moreland,F,2016,PF,moreler01,203961,Eric Moreland,https://stats.nba.com/media/players/230x185/203961.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203961.png,2014,moreler01_2016,24,SAC,8,FALSE,48,7.4,0.515,0,0.667,0.068,0.179,0.124,0.027,0,0.067,0.279,0.095,0,0,0,0.012,-6.5,1.9,-4.5,0,0,0.5,,0.5,0.5,0.5,48,3,6,0,0,3,6,2,4,3,8,11,1,0,4,3,4,8,http://www.basketball-reference.com/players/m/moreler01.html
2015-16,Erick Green,G,2016,PG,greener01,203475,Erick Green,https://stats.nba.com/media/players/230x185/203475.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203475.png,2014,greener01_2016,24,TOT,9,FALSE,42,12.4,0.468,0.385,0.154,0.084,0.082,0.083,0.11,0.013,0,0,0.152,0.1,0,0.1,0.121,0.1,-2.2,-2,0,0,0.385,0.2,0.5,0.423,0.01,42,5,13,1,5,4,8,2,2,3,3,6,3,1,0,0,4,13,http://www.basketball-reference.com/players/g/greener01.html
2015-16,Ersan Ilyasova,F,2016,PF,ilyaser01,101141,Ersan Ilyasova,https://stats.nba.com/media/players/230x185/101141.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101141.png,2006,ilyaser01_2016,28,TOT,74,FALSE,1881,14.2,0.526,0.392,0.233,0.081,0.156,0.117,0.056,0.014,0.014,0.089,0.186,2.4,2,4.4,0.113,0.4,-0.3,0.1,1,56,0.424,0.371,0.458,0.496,0.721,1881,280,661,96,259,184,402,111,154,144,259,403,67,52,33,71,171,767,http://www.basketball-reference.com/players/i/ilyaser01.html
