rank,name,slug,poss,orapm,drapm,rapm
31,Patrick Patterson,TOR,8524,2.2343,0.3332,2.5675
32,LaMarcus Aldridge,SAS,9370,2.0366,0.5131,2.5496
33,Patty Mills,SAS,7071,2.2071,0.331,2.5381
34,K.J. McDaniels,HOU,1099,0.5232,1.9744,2.4976
35,C.J. McCollum,POR,12130,1.2707,1.2143,2.485
36,Andre Iguodala,GSW,7841,1.2356,1.2358,2.4715
37,Jrue Holiday,NOP,8053,1.8194,0.6431,2.4626
38,Rodney Hood,UTA,10294,2.4537,0.0065,2.4602
39,DeAndre Jordan,LAC,11554,1.009,1.3742,2.3832
40,Al Horford,ATL,11456,1.0163,1.3568,2.3731
41,Dennis Schroder,ATL,6983,0.4509,1.8743,2.3253
42,Marcin Gortat,WAS,9894,1.33,0.977,2.3071
43,Omri Casspi,SAC,8561,1.4741,0.777,2.2511
44,Mario Chalmers,MIA,503,0.7794,1.4603,2.2396
45,Steven Adams,OKC,8824,-0.5086,2.7424,2.2338
46,Tristan Thompson,CLE,9611,1.2817,0.9468,2.2285
47,Courtney Lee,MEM,6249,0.8273,1.3887,2.216
48,Jeremy Lamb,CHO,5290,-0.2183,2.4316,2.2133
49,Kevin Love,CLE,10121,2.1148,0.0756,2.1904
50,Marvin Williams,CHO,9868,2.6737,-0.5564,2.1173
51,Paul Millsap,ATL,11590,1.4701,0.6467,2.1168
52,Nick Collison,OKC,3028,-0.3237,2.4061,2.0824
53,Solomon Hill,IND,3826,0.9917,1.09,2.0818
54,Pau Gasol,CHI,9938,0.6987,1.38,2.0787
55,Mike Conley,MEM,7346,1.6233,0.4199,2.0432
56,Larry Nance,LAL,5452,0.4679,1.5415,2.0094
57,DeMarcus Cousins,SAC,10296,0.6645,1.3251,1.9895
58,E'Twaun Moore,CHI,5455,1.3907,0.5247,1.9154
59,Shelvin Mack,UTA,3600,0.9122,0.9709,1.8831
60,David West,SAS,5903,0.4976,1.3742,1.8718
61,Kemba Walker,CHO,12312,1.6569,0.208,1.8649
62,Salah Mejri,DAL,1688,0.6471,1.2139,1.861
63,Kentavious Caldwell-Pope,DET,12178,0.4904,1.369,1.8594
64,Mason Plumlee,POR,9093,2.0828,-0.2332,1.8496
65,Raul Neto,UTA,6147,-0.0466,1.8874,1.8407
66,Kevin Garnett,MIN,2357,-0.3501,2.1455,1.7954
67,Joe Johnson,MIA,3243,2.7767,-0.9877,1.7889
68,John Wall,WAS,12292,1.4089,0.3686,1.7775
69,Norman Powell,TOR,3072,1.2054,0.5397,1.7452
70,Amir Johnson,BOS,7912,0.8777,0.8477,1.7254
71,Jeff Withey,UTA,2674,0.4077,1.3008,1.7085
72,Brandon Jennings,DET,1811,0.7241,0.9772,1.7014
73,Mario Chalmers,TOT,5989,0.2706,1.4304,1.7011
74,Isaiah Thomas,BOS,11938,2.0304,-0.3477,1.6827
75,Mario Chalmers,MEM,5486,0.224,1.4277,1.6517
76,Willie Reed,BRK,1843,-0.0351,1.6784,1.6432
77,Jae Crowder,BOS,10376,0.7916,0.8474,1.639
78,Aaron Harrison,CHO,448,0.4295,1.1985,1.6281
79,Cristiano Felicio,CHI,1371,0.9748,0.6138,1.5886
80,C.J. Wilcox,LAC,731,0.6831,0.8905,1.5736
81,Channing Frye,ORL,3098,1.0666,0.4867,1.5534
82,Patrick Beverley,HOU,9075,1.0692,0.4596,1.5288
83,Clint Capela,HOU,6615,0.0917,1.4185,1.5102
84,Matt Bonner,SAS,845,1.126,0.372,1.498
85,Avery Bradley,BOS,11281,2.4987,-1.0057,1.4929
86,Ronnie Price,PHO,5425,-1.2507,2.7374,1.4867
87,Victor Oladipo,ORL,10353,1.3097,0.176,1.4857
88,Rudy Gobert,UTA,7950,-0.5461,1.9498,1.4037
89,Cole Aldrich,LAC,3397,0.1126,1.2803,1.3928
90,Mirza Teletovic,PHO,7659,2.3261,-0.9467,1.3794
91,Terrence Ross,TOR,7343,0.6321,0.7097,1.3418
92,Tim Hardaway,ATL,3756,0.9775,0.3457,1.3233
93,Montrezl Harrell,HOU,1754,0.5244,0.7946,1.3191
94,Channing Frye,TOT,4958,0.961,0.3214,1.2823
95,Ian Mahinmi,IND,7931,-0.0286,1.3014,1.2728
96,Markieff Morris,WAS,3180,0.4522,0.8168,1.269
97,Carmelo Anthony,NYK,10642,1.9845,-0.7252,1.2592
98,Darrell Arthur,DEN,6597,-0.3987,1.6553,1.2566
99,Tony Parker,SAS,8204,0.6049,0.651,1.2559
100,Brandon Jennings,TOT,3847,0.5366,0.6971,1.2337
101,Richaun Holmes,PHI,3199,0.8705,0.3527,1.2232
102,Ish Smith,NOP,2719,1.6258,-0.4098,1.216
103,Shelvin Mack,TOT,4374,0.5526,0.6276,1.1802
104,Serge Ibaka,OKC,10959,2.0382,-0.8673,1.1709
105,Ricky Rubio,MIN,10061,0.9568,0.2126,1.1694
106,Tiago Splitter,ATL,2529,-0.1673,1.3266,1.1593
107,Marcus Smart,BOS,7615,-0.4153,1.5563,1.141
108,Damian Lillard,POR,11846,2.0101,-0.8815,1.1287
109,Jared Dudley,WAS,9211,1.1681,-0.0473,1.1207
110,Otto Porter,WAS,10078,0.937,0.1672,1.1041
111,O.J. Mayo,MIL,4706,-0.4898,1.5929,1.103
112,Anthony Brown,LAL,2593,-0.2833,1.3574,1.0741
113,Luc Mbah a Moute,LAC,5502,-0.1081,1.1814,1.0733
114,Kristaps Porzingis,NYK,8533,0.3541,0.7073,1.0614
115,Meyers Leonard,POR,5774,1.5106,-0.4667,1.0439
116,Jimmy Butler,CHI,10676,0.0379,0.9696,1.0074
117,Hollis Thompson,PHI,9630,0.6178,0.3882,1.006
118,Orlando Johnson,PHO,208,0,0.9964,0.9964
119,Joe Johnson,TOT,11413,1.1879,-0.199,0.9889
120,Chris Johnson,UTA,3653,-0.7666,1.7455,0.9789
121,Cody Zeller,CHO,7584,1.2266,-0.2597,0.9668
122,Rondae Hollis-Jefferson,BRK,2678,-0.7726,1.7122,0.9396
123,Monta Ellis,IND,12086,-0.0291,0.9633,0.9341
124,Marc Gasol,MEM,7452,0.3705,0.5597,0.9301
125,Shaun Livingston,GSW,6629,0.6445,0.2831,0.9275
126,Kyle Anderson,SAS,5166,0.4282,0.4966,0.9248
127,Jordan McRae,CLE,459,0.669,0.247,0.916
128,Hassan Whiteside,MIA,8958,0.1626,0.7512,0.9138
129,Phil Pressey,PHI,788,-0.1532,1.0581,0.905
130,DeMarre Carroll,TOR,3369,-0.0644,0.965,0.9006
131,Marcus Morris,DET,12345,0.9923,-0.095,0.8973
132,Kyrie Irving,CLE,6970,1.9665,-1.09,0.8764
133,Tyreke Evans,NOP,3240,0.8122,0.0607,0.8728
134,John Jenkins,DAL,859,0.5958,0.2733,0.8691
135,Cleanthony Early,NYK,643,0.0538,0.8109,0.8647
136,Andre Miller,SAS,724,0.7105,0.1505,0.861
137,Langston Galloway,NYK,8699,-0.5816,1.4376,0.856
138,Eric Bledsoe,PHO,4794,0.086,0.7653,0.8514
139,Jason Thompson,TOR,1205,0.4188,0.4283,0.8471
140,Jonas Valanciunas,TOR,6577,1.8379,-0.991,0.8469
141,Chandler Parsons,DAL,7582,0.5858,0.2558,0.8416
142,Ryan Anderson,NOP,8838,1.9014,-1.0677,0.8336
143,Channing Frye,CLE,1860,0.785,0.0459,0.8309
144,Elijah Millsap,UTA,755,-0.1816,1.0013,0.8197
145,Brandon Jennings,ORL,2036,0.3698,0.448,0.8177
146,George Hill,IND,10937,0.3277,0.4881,0.8159
147,Nene Hilario,WAS,4909,-0.2167,1.0182,0.8015
148,Jordan McRae,TOT,804,0.4656,0.335,0.8007
149,Justise Winslow,MIA,9508,-1.4234,2.1863,0.7629
150,Dwyane Wade,MIA,9545,1.3625,-0.6013,0.7612
151,Justin Anderson,DAL,2829,-0.9943,1.7489,0.7546
152,Andre Roberson,OKC,6729,0.3896,0.3634,0.753
153,Kirk Hinrich,CHI,2380,-0.6289,1.3697,0.7408
154,Markieff Morris,TOT,7262,-0.3237,1.0613,0.7376
155,Danilo Gallinari,DEN,8037,0.4393,0.2954,0.7347
156,Kirk Hinrich,TOT,2680,-0.5161,1.2416,0.7255
157,Andrew Bogut,GSW,6377,-0.8036,1.5235,0.7199
158,Eric Gordon,NOP,6475,0.2707,0.449,0.7197
159,James Anderson,SAC,3287,-0.0905,0.8046,0.714
160,Alan Anderson,WAS,873,-0.017,0.7219,0.7049
161,Elfrid Payton,ORL,9328,-0.158,0.8552,0.6972
162,Taj Gibson,CHI,8240,0.7375,-0.0422,0.6953
163,Reggie Jackson,DET,10597,1.2822,-0.5896,0.6926
164,Donatas Motiejunas,HOU,2446,-0.262,0.9481,0.6861
165,Joe Johnson,BRK,8170,0.5572,0.1141,0.6713
166,DeMar DeRozan,TOR,11968,0.8282,-0.1577,0.6705
167,Brook Lopez,BRK,10333,0.6763,-0.0099,0.6663
168,Robin Lopez,NYK,9194,0.6361,0.0185,0.6546
169,Jordan McRae,PHO,345,0.1951,0.4522,0.6473
170,Cory Jefferson,PHO,225,0.1376,0.5036,0.6412
171,Randy Foye,DEN,4625,-0.7188,1.3425,0.6237
172,Kirk Hinrich,ATL,300,0.3789,0.2254,0.6043
173,Tarik Black,LAL,2133,-0.1815,0.7765,0.5951
174,Courtney Lee,TOT,9818,0.7545,-0.1626,0.5919
175,Randy Foye,TOT,7107,-0.1912,0.7766,0.5854
176,Harrison Barnes,GSW,9028,1.5775,-0.9981,0.5794
177,JaMychal Green,MEM,6296,0.1917,0.369,0.5607
178,Jonas Jerebko,BOS,5240,-0.3132,0.8514,0.5382
179,Jamal Crawford,LAC,9443,0.2919,0.2443,0.5362
180,Wesley Johnson,LAC,7361,-0.4649,0.991,0.5261
181,Marcus Thornton,HOU,3994,0.6821,-0.1644,0.5176
182,Randy Foye,OKC,2482,0.792,-0.2781,0.5139
183,Chris Bosh,MIA,7387,-0.371,0.88,0.509
184,Cory Joseph,TOR,8749,-0.7494,1.2456,0.4962
185,Tobias Harris,DET,3873,0.7404,-0.2452,0.4953
186,Phil Pressey,TOT,1336,-0.0958,0.5823,0.4864
187,Anthony Morrow,OKC,4044,1.5655,-1.0899,0.4756
188,Aaron Brooks,CHI,4732,0.4291,0.0446,0.4738
189,Gerald Henderson,POR,6251,0.0428,0.4307,0.4735
190,Trevor Booker,UTA,6816,-0.7831,1.2525,0.4694
191,Aaron Gordon,ORL,8156,0.0184,0.4492,0.4676
192,Ty Lawson,IND,1034,0.0021,0.4627,0.4648
193,Marcus Thornton,TOT,5049,0.5283,-0.0704,0.4579
194,Derrick Favors,UTA,8177,0.842,-0.3871,0.4549
195,Lance Stephenson,MEM,2958,1.4104,-0.9571,0.4532
196,Jodie Meeks,DET,176,0.1784,0.2739,0.4523
197,Al-Farouq Aminu,POR,10289,0.6679,-0.2206,0.4473
198,Keith Appling,ORL,115,0.056,0.3912,0.4472
199,Spencer Hawes,CHO,4437,-0.3427,0.7833,0.4407
200,Trevor Ariza,HOU,12802,1.5258,-1.0945,0.4314
201,Ray McCallum,MEM,950,-0.4175,0.8474,0.4299
202,Jordan Hill,IND,6477,0.1356,0.2906,0.4262
203,Jared Sullinger,BOS,8453,-0.1138,0.5244,0.4107
204,Nikola Vucevic,ORL,8722,1.2564,-0.8472,0.4093
205,Raymond Felton,DAL,9367,0.5444,-0.1426,0.4017
206,Boris Diaw,SAS,5915,0.0302,0.3705,0.4007
207,Pablo Prigioni,LAC,3484,-0.4538,0.8535,0.3998
208,Anderson Varejao,CLE,1353,-0.8704,1.2665,0.3961
209,Ish Smith,TOT,9927,1.2968,-0.9145,0.3824
210,Tibor Pleiss,UTA,332,0.3931,-0.0262,0.3669
211,Darren Collison,SAC,10060,0.9235,-0.5675,0.356
212,Eric Moreland,SAC,226,0.0779,0.2752,0.3532
213,Allen Crabbe,POR,9263,0.9632,-0.6196,0.3436
214,Tim Frazier,NOP,2057,0.9038,-0.5705,0.3333
215,Markieff Morris,PHO,4082,-0.9282,1.2518,0.3236
216,Orlando Johnson,TOT,455,0.0419,0.2789,0.3209
217,Deron Williams,DAL,8932,-0.5751,0.8955,0.3203
218,Andrew Nicholson,ORL,3528,-1.2887,1.5778,0.2891
219,Jose Calderon,NYK,8404,1.131,-0.8444,0.2866
220,Amar'e Stoudemire,MIA,3151,0.4482,-0.1627,0.2855
221,Jorge Gutierrez,CHO,286,0.4095,-0.1337,0.2758
222,Maurice Harkless,POR,6440,0.1295,0.1438,0.2733
223,Jordan Mickey,BOS,246,-0.1232,0.3942,0.271
224,Sonny Weems,PHI,351,-0.5348,0.7966,0.2618
225,Kent Bazemore,ATL,9125,-0.2609,0.5212,0.2604
226,C.J. Watson,ORL,2944,0.6465,-0.3979,0.2486
227,Steve Novak,OKC,110,0.2362,-7e-04,0.2356
228,Marcus Thornton,WAS,1055,-0.0537,0.2855,0.2318
229,Jeff Green,MEM,6476,-0.3008,0.5117,0.2109
230,Ray McCallum,TOT,2008,0.037,0.1727,0.2097
231,Andrew Wiggins,MIN,12339,0.3916,-0.1839,0.2077
232,Steve Novak,TOT,212,0.0781,0.0946,0.1727
233,Briante Weber,MIA,11,0.1107,0.0556,0.1663
234,Jarnell Stokes,MIA,58,0.0074,0.1567,0.164
235,Tony Allen,MEM,6796,-0.4574,0.6197,0.1623
236,Andre Miller,TOT,1907,0.8417,-0.6803,0.1614
237,Jeff Green,TOT,9544,0.0235,0.1244,0.1479
238,Sasha Vujacic,NYK,3867,0.1953,-0.059,0.1363
239,Alex Stepheson,LAC,54,-0.099,0.2343,0.1353
240,Nikola Mirotic,CHI,7113,1.572,-1.4392,0.1327
241,Jarnell Stokes,TOT,77,-0.0061,0.1377,0.1316
242,Alex Len,PHO,8062,-0.7948,0.9154,0.1206
243,Nemanja Bjelica,MIN,4687,0.0744,0.0373,0.1117
244,Lucas Nogueira,TOR,967,0.4692,-0.364,0.1052
245,Steve Novak,MIL,102,-0.0925,0.1974,0.1049
246,Josh McRoberts,MIA,2511,0.4908,-0.3884,0.1024
247,Luke Babbitt,NOP,3703,1.0248,-0.9271,0.0977
248,Joakim Noah,CHI,2771,-1.0849,1.1816,0.0967
249,Coty Clarke,BOS,25,0.1665,-0.075,0.0916
250,Blake Griffin,LAC,5284,-0.8419,0.9142,0.0722
251,Sasha Kaun,CLE,437,-0.6248,0.6946,0.0698
252,Ish Smith,PHI,7208,1.1727,-1.1048,0.0679
253,Erick Green,DEN,30,0.0091,0.0504,0.0595
254,James Ennis,MIA,28,-0.0155,0.0679,0.0524
255,J.J. O'Brien,UTA,29,0.0301,0.0214,0.0515
256,Rasual Butler,SAS,1816,0.083,-0.0349,0.0481
257,Chuck Hayes,HOU,107,-0.2157,0.2609,0.0452
258,Josh Huestis,OKC,238,0.0739,-0.0351,0.0388
259,Jarnell Stokes,MEM,19,-0.0473,0.0796,0.0324
260,Vince Carter,MEM,4402,-0.0478,0.0711,0.0234
261,Jeff Green,LAC,3068,0.7081,-0.6932,0.0149
262,Sean Kilpatrick,DEN,370,0.215,-0.2027,0.0123
263,Ray McCallum,SAS,1058,0.445,-0.4331,0.0119
264,Jordan Adams,MEM,72,-0.1039,0.113,0.0091
265,Greg Monroe,MIL,9865,1.3087,-1.3092,-4e-04
266,Michael Kidd-Gilchrist,CHO,864,-0.3515,0.3288,-0.0228
267,Shayne Whittington,IND,170,-0.2908,0.2642,-0.0266
268,Edy Tavares,ATL,324,0.5522,-0.5814,-0.0291
269,Alex Stepheson,TOT,331,-0.4287,0.3978,-0.0309
270,Andrew Goudelock,HOU,244,-0.268,0.2343,-0.0338
271,Ryan Kelly,LAL,2101,-1.207,1.1694,-0.0376
272,Tim Frazier,TOT,3186,0.173,-0.2114,-0.0384
273,Thanasis Antetokounmpo,NYK,28,0.0465,-0.0972,-0.0507
274,Alex Stepheson,MEM,277,-0.493,0.4297,-0.0633
275,Brian Roberts,CHO,1442,0.2866,-0.3572,-0.0706
276,Jeremy Lin,CHO,8887,-0.7222,0.6467,-0.0755
277,Jarell Martin,MEM,1661,-0.5098,0.4305,-0.0793
278,Beno Udrih,MEM,540,-0.5266,0.4432,-0.0835
279,Karl-Anthony Towns,MIN,11355,1.7121,-1.7959,-0.0838
280,Sam Dekker,HOU,30,0.0627,-0.1531,-0.0904
281,Dahntay Jones,CLE,169,0.1761,-0.2685,-0.0924
282,Thabo Sefolosha,ATL,7697,-1.579,1.4823,-0.0967
283,Branden Dawson,LAC,117,0.1151,-0.2119,-0.0968
284,Arron Afflalo,NYK,9856,0.8774,-0.9764,-0.099
285,Udonis Haslem,MIA,1088,-0.1597,0.055,-0.1047
286,Jason Terry,HOU,5661,0.6433,-0.7562,-0.1129
287,Phil Pressey,PHO,548,-0.0134,-0.102,-0.1154
288,Kostas Papanikolaou,DEN,1221,-0.6187,0.4955,-0.1233
289,Evan Turner,BOS,10193,-1.2884,1.1647,-0.1237
290,Kris Humphries,ATL,1317,0.0557,-0.1827,-0.1269
291,T.J. McConnell,PHI,7075,0.6778,-0.8205,-0.1427
292,Alexis Ajinca,NOP,3709,-1.1368,0.9917,-0.1451
293,Robert Covington,PHI,8496,-0.8852,0.7393,-0.1459
294,Darrun Hilliard,DET,1628,-0.1594,0.0038,-0.1556
295,Damjan Rudez,MIN,1192,0.2391,-0.3984,-0.1593
296,Elliot Williams,MEM,185,-0.1272,-0.0341,-0.1613
297,Enes Kanter,OKC,7456,1.602,-1.7682,-0.1662
298,Mario Hezonja,ORL,6132,-0.2444,0.0772,-0.1673
299,Erick Green,TOT,168,0.2705,-0.4406,-0.1701
300,Nazr Mohammed,OKC,87,-0.4215,0.2463,-0.1752
301,Jarrett Jack,BRK,4444,-0.2375,0.0609,-0.1766
302,Chase Budinger,IND,3194,-0.1701,-0.0085,-0.1786
303,Jonathon Simmons,SAS,3467,0.3231,-0.5029,-0.1799
304,Pat Connaughton,POR,623,-1.028,0.843,-0.185
305,Jason Smith,ORL,5145,-0.1895,0.0039,-0.1857
306,Axel Toupane,DEN,1305,0.6847,-0.8735,-0.1888
307,Boban Marjanovic,SAS,2122,0.3954,-0.5861,-0.1907
308,Lamar Patterson,ATL,1736,0.8811,-1.0773,-0.1962
309,Jason Thompson,TOT,2041,-0.0616,-0.1418,-0.2034
310,Jusuf Nurkic,DEN,2377,0.0798,-0.2859,-0.2061
311,Rudy Gay,SAC,10747,0.3155,-0.5227,-0.2072
312,Sergey Karasev,BRK,1755,0.1675,-0.3823,-0.2148
313,Erick Green,UTA,138,0.3273,-0.5474,-0.2201
314,Tyler Hansbrough,CHO,1521,0.2222,-0.4424,-0.2202
315,Robert Sacre,LAL,1421,-0.7272,0.5038,-0.2234
316,Jimmer Fredette,NYK,22,-0.1448,-0.0807,-0.2255
317,Duje Dukan,SAC,113,-0.3067,0.0774,-0.2294
318,Troy Daniels,CHO,2130,-0.2823,0.0519,-0.2303
319,Orlando Johnson,NOP,247,0.0773,-0.3253,-0.248
320,Jon Leuer,PHO,5676,-0.4104,0.1585,-0.2519
321,Wayne Ellington,BRK,6839,-1.361,1.0944,-0.2666
322,Andre Miller,MIN,1183,0.9221,-1.1888,-0.2667
323,D.J. Augustin,DEN,2882,1.2606,-1.5462,-0.2856
324,T.J. Warren,PHO,4826,-0.0254,-0.2809,-0.3063
325,Brian Roberts,TOT,2067,-0.1634,-0.1657,-0.3292
326,Bryce Cotton,PHO,139,0.087,-0.4175,-0.3305
327,Evan Fournier,ORL,11026,1.1921,-1.5233,-0.3312
328,Bryce Cotton,TOT,159,0.0686,-0.4048,-0.3362
329,Tobias Harris,TOT,10697,-0.3696,0.0322,-0.3374
330,Rakeem Christmas,IND,23,0.0879,-0.4344,-0.3465
331,Garrett Temple,WAS,8679,-1.9435,1.5916,-0.3519
332,Luol Deng,MIA,10210,0.1271,-0.4839,-0.3568
333,Josh Richardson,MIA,4703,-0.2976,-0.0601,-0.3577
334,Kevon Looney,GSW,97,0.155,-0.5157,-0.3607
335,D.J. Augustin,TOT,5120,0.224,-0.585,-0.361
336,Cliff Alexander,POR,149,-0.183,-0.1864,-0.3693
337,Mike Dunleavy,CHI,2981,1.533,-1.9038,-0.3708
338,Chris Kaman,POR,469,-0.3507,-0.0214,-0.3722
339,Bryce Cotton,MEM,20,-0.0599,-0.3164,-0.3762
340,Christian Wood,PHI,679,-0.2186,-0.1618,-0.3804
341,Willie Cauley-Stein,SAC,6337,1.0712,-1.4535,-0.3823
342,Beno Udrih,TOT,2967,0.0428,-0.4262,-0.3834
343,Festus Ezeli,GSW,3466,-0.9586,0.5604,-0.3981
344,James Young,BOS,861,0.2627,-0.6883,-0.4256
345,Nicolas Batum,CHO,10467,0.3079,-0.7339,-0.426
346,John Jenkins,TOT,2194,-0.411,-0.0216,-0.4326
347,Dewayne Dedmon,ORL,3052,-0.6027,0.1681,-0.4346
348,Beno Udrih,MIA,2427,0.1694,-0.6196,-0.4502
349,Anderson Varejao,TOT,2171,-0.743,0.2882,-0.4548
350,Chris Andersen,MEM,1496,0.2697,-0.7269,-0.4571
351,D.J. Augustin,OKC,2238,-1.111,0.6528,-0.4582
352,Anthony Davis,NOP,9453,0.151,-0.6095,-0.4585
353,Chris Andersen,TOT,1642,0.2452,-0.7086,-0.4634
354,Leandro Barbosa,GSW,4816,-0.2086,-0.2551,-0.4637
355,Rodney Stuckey,IND,5497,-0.574,0.1042,-0.4698
356,Mike Scott,ATL,4969,-1.4476,0.975,-0.4727
357,Doug McDermott,CHI,8114,-0.185,-0.2901,-0.4751
358,Trey Burke,UTA,5716,-0.3494,-0.1364,-0.4857
359,Jimmer Fredette,TOT,72,-0.3903,-0.1053,-0.4956
360,Giannis Antetokounmpo,MIL,12093,0.368,-0.8651,-0.4971
361,Seth Curry,SAC,3122,0.0805,-0.5817,-0.5012
362,Cameron Bairstow,CHI,459,-0.6391,0.1243,-0.5147
363,Lance Stephenson,TOT,5990,0.0321,-0.5472,-0.5151
364,Jared Cunningham,CLE,1550,-0.3512,-0.1646,-0.5158
365,Chase Budinger,TOT,4085,-0.2127,-0.304,-0.5167
366,Donald Sloan,BRK,5560,0.8864,-1.4057,-0.5192
367,Chris Andersen,MIA,146,-0.0067,-0.521,-0.5277
368,Jared Cunningham,TOT,1777,-0.3857,-0.1457,-0.5314
369,J.R. Smith,CLE,9953,1.0769,-1.6121,-0.5352
370,Gerald Green,MIA,6619,0.1884,-0.7434,-0.555
371,Emmanuel Mudiay,DEN,9071,-0.03,-0.5278,-0.5578
372,Kelly Oubre,WAS,3061,-0.6939,0.1274,-0.5664
373,Alec Burks,UTA,3388,-0.6735,0.1066,-0.5669
374,Joe Harris,CLE,68,0.0279,-0.5951,-0.5672
375,Miles Plumlee,MIL,3727,-0.9985,0.4255,-0.5731
376,Andre Drummond,DET,11636,-1.307,0.7338,-0.5732
377,P.J. Hairston,MEM,1606,-0.5277,-0.0567,-0.5844
378,Metta World Peace,LAL,2496,-1.3884,0.8005,-0.5879
379,Aron Baynes,DET,5263,0.4168,-1.0055,-0.5887
380,Greivis Vasquez,MIL,1927,-0.049,-0.5653,-0.6143
381,Jimmer Fredette,NOP,50,-0.4983,-0.1161,-0.6144
382,Tayshaun Prince,MIN,6119,-1.5074,0.8893,-0.6181
383,Lorenzo Brown,PHO,267,-0.2537,-0.3698,-0.6235
384,JaKarr Sampson,PHI,3095,-0.9682,0.3317,-0.6365
385,Jared Cunningham,MIL,227,-0.6208,-0.0169,-0.6377
386,Ben McLemore,SAC,6620,-0.0178,-0.6283,-0.6461
387,Rajon Rondo,SAC,11643,-0.0676,-0.5807,-0.6482
388,Carl Landry,PHI,2552,0.687,-1.3417,-0.6547
389,Alonzo Gee,NOP,7153,-1.905,1.2437,-0.6613
390,David Lee,BOS,2083,-1.4215,0.7509,-0.6705
391,Terry Rozier,BOS,1342,-0.9861,0.3036,-0.6825
392,David Lee,TOT,3975,-0.962,0.2741,-0.6879
393,James Ennis,NOP,1189,0.3623,-1.055,-0.6926
394,Justin Holiday,CHI,2214,-0.2346,-0.4608,-0.6954
395,James Ennis,TOT,1392,0.2307,-0.9313,-0.7006
396,David Lee,DAL,1892,-0.4562,-0.2508,-0.707
397,Nate Robinson,NOP,100,-0.5152,-0.1964,-0.7116
398,Tim Frazier,POR,1129,-1.1583,0.4428,-0.7156
399,Gordon Hayward,UTA,12075,-0.3052,-0.4124,-0.7176
400,Jeff Ayres,LAC,461,-0.2183,-0.5029,-0.7211
401,Russ Smith,MEM,319,-0.6446,-0.0771,-0.7218
402,Delon Wright,TOR,974,-0.5866,-0.153,-0.7395
403,Michael Carter-Williams,MIL,7185,-1.3737,0.6307,-0.743
404,Tyler Johnson,MIA,3609,-1.2249,0.4731,-0.7519
405,JaKarr Sampson,TOT,5107,-0.8548,0.1016,-0.7532
406,Corey Brewer,HOU,7694,-1.91,1.1534,-0.7565
407,Josh Smith,HOU,1939,-0.3275,-0.438,-0.7655
408,Ed Davis,POR,7287,-1.1202,0.352,-0.7682
409,Kyle O'Quinn,NYK,3253,-0.384,-0.3852,-0.7692
410,Ryan Hollins,WAS,205,-0.4634,-0.3215,-0.785
411,Trey Lyles,UTA,5668,-0.5159,-0.2814,-0.7973
412,Anthony Tolliver,DET,5760,-0.6959,-0.1024,-0.7983
413,C.J. Miles,IND,6545,0.1539,-0.9525,-0.7986
414,Joel Anthony,DET,412,-0.7331,-0.0664,-0.7995
415,Tyler Ennis,MIL,2731,-0.7831,-0.0208,-0.8038
416,Tobias Harris,ORL,6824,-0.9996,0.1896,-0.81
417,Justin Holiday,TOT,3344,-0.2729,-0.5498,-0.8227
418,Zaza Pachulia,DAL,8293,-0.8702,0.0473,-0.8229
419,Damien Inglis,MIL,661,-1.1017,0.262,-0.8397
420,Michael Beasley,HOU,1663,-0.6608,-0.1922,-0.8529
421,Alan Williams,PHO,326,-0.0965,-0.7648,-0.8613
