rank,name,slug,poss,orapm,drapm,rapm
1,Draymond Green,GSW,12747,4.4064,3.1439,7.5503
2,Stephen Curry,GSW,12356,4.2916,1.8116,6.1032
3,Kawhi Leonard,SAS,9926,2.5113,2.8344,5.3456
4,LeBron James,CLE,11461,3.5938,1.3834,4.9772
5,Kyle Korver,ATL,10441,2.6035,2.37,4.9735
6,Kevin Durant,OKC,11385,4.1958,0.6134,4.8092
7,Russell Westbrook,OKC,12171,3.6376,0.8166,4.4542
8,Kyle Lowry,TOR,12055,2.9094,1.5083,4.4177
9,Chris Paul,LAC,10793,2.8569,1.5368,4.3937
10,Manu Ginobili,SAS,4927,0.9406,2.8444,3.785
11,Brandon Bass,LAL,5850,2.69,0.9093,3.5992
12,Matthew Dellavedova,CLE,7911,1.4933,1.9063,3.3996
13,Dirk Nowitzki,DAL,9942,2.8167,0.5827,3.3994
14,Goran Dragic,MIA,10066,1.6252,1.5678,3.1931
15,Klay Thompson,GSW,11992,3.2254,-0.0448,3.1807
16,Marcelo Huertas,LAL,3708,1.1049,1.9536,3.0585
17,Khris Middleton,MIL,12319,1.5888,1.4191,3.0079
18,Gorgui Dieng,MIN,9475,2.2414,0.7202,2.9616
19,Tim Duncan,SAS,6356,0.6215,2.3197,2.9412
20,Tony Snell,CHI,5650,-0.3861,3.2764,2.8903
21,Wesley Matthews,DAL,11064,3.7635,-0.9173,2.8462
22,Nikola Jokic,DEN,7378,1.4268,1.4178,2.8446
23,Iman Shumpert,CLE,5585,1.0886,1.7075,2.7961
24,Kelly Olynyk,BOS,6279,0.2086,2.5697,2.7783
25,Lavoy Allen,IND,6805,1.1854,1.4878,2.6732
26,J.J. Redick,LAC,9365,0.9589,1.7093,2.6682
27,Paul George,IND,12472,1.0697,1.5839,2.6535
28,Danny Green,SAS,8522,1.1153,1.4855,2.6008
29,Lance Thomas,NYK,5621,1.2431,1.3379,2.581
30,James Harden,HOU,14045,1.8722,0.702,2.5742
