name,id,orapm,drapm,rapm,orapm_rnk,drapm_rnk,rapm_rnk,gp_total,poss_o,poss_d,poss_total,mp_o,mp_d,mp_total,pts_o,pts_d,pm,pts_o_per100,pts_o_per36
Johnny O'Bryant III,203948,7.45181199367779,0.758668572882312,8.2104805665601,1,106,1,11,149,164,313,36.0666666666667,46.95,83.0166666666667,197,187,10,62.9392971246007,85.4286287893997
Chinanu Onuaku,1627778,-0.227459578172145,7.61514350860135,7.38768393042921,244,1,2,5,98,112,210,24.6,26.9833333333333,51.5833333333333,112,149,-37,53.3333333333333,78.1647819063005
Daniel Ochefu,1627849,5.09825615390308,0.624097634929319,5.7223537888324,3,123,3,19,147,150,297,36.05,39.2333333333333,75.2833333333333,184,162,22,61.952861952862,87.9876023909675
Chris Andersen,2365,6.5892478466082,-1.13376976810342,5.45547807850478,2,384,4,12,210,238,448,55.55,57.5,113.05,265,258,7,59.1517857142857,84.3874391862008
Quinn Cook,1626188,2.28868738914895,3.11693604259292,5.40562343174187,18,14,5,13,331,346,677,90.3166666666667,89.4666666666667,179.783333333333,392,422,-30,57.9025110782866,78.494484101233
Shabazz Napier,203894,1.4556206784616,3.71276320706654,5.16838388552814,35,6,6,52,976,935,1911,261.433333333333,247.916666666667,509.35,1106,1128,-22,57.8754578754579,78.1702169431629
Anthony Bennett,203461,2.30996274413529,2.38407149223083,4.69403423636612,17,24,7,23,561,557,1118,130.2,133.5,263.7,656,652,4,58.6762075134168,89.556313993174
Jordan Crawford,202348,2.95162875348946,1.42236564839008,4.37399440187954,11,45,8,19,877,865,1742,225.966666666667,216.683333333333,442.65,1040,1011,29,59.7014925373134,84.5814977973568
Jonathan Gibson,1626780,-0.272586079720342,4.10943276928131,3.83684668956097,256,5,9,17,433,439,872,113.016666666667,117.866666666667,230.883333333333,466,542,-76,53.4403669724771,72.6600736302606
Gary Harris,203914,1.33269865091118,2.46039385191215,3.79309250282332,41,22,10,57,3584,3592,7176,868.1,885.65,1753.75,4208,4282,-74,58.6399108138239,86.3794725588026
Marcelo Huertas,1626273,2.85257198052316,0.921877587128072,3.77444956765123,12,86,11,22,471,456,927,121.016666666667,115.5,236.516666666667,559,514,45,60.302049622438,85.0849129730111
Jordan Mickey,1626175,-3.0135076355675,6.61642967457565,3.60292203900815,435,2,12,23,279,277,556,65.9833333333333,74.5833333333334,140.566666666667,287,355,-68,51.6187050359712,73.5024899217453
Isaiah Thomas,202738,2.46869376031179,0.932291432938721,3.40098519325051,16,83,13,76,5075,5185,10260,1255.85,1274.1,2529.95,6060,5758,302,59.0643274853801,86.2309531808929
Jodie Meeks,201975,0.836898877222104,2.43981923373409,3.27671811095619,85,23,14,36,1432,1493,2925,357.5,376.566666666667,734.066666666667,1623,1702,-79,55.4871794871795,79.5949505040414
Chris McCullough,1626191,0.272864029272813,2.77472314965995,3.04758717893277,156,18,15,16,162,165,327,37.8166666666667,40.4833333333333,78.3,181,196,-15,55.3516819571865,83.2183908045977
Damian Jones,1627745,-3.54890982945438,6.46748440884587,2.91857457939149,439,3,16,10,149,158,307,43.2166666666667,41.8166666666667,85.0333333333333,148,197,-49,48.2084690553746,62.6577812622501
Isaiah Taylor,1627819,-0.172089065107519,3.07171002529002,2.8996209601825,232,15,17,4,104,115,219,26.25,25.3333333333333,51.5833333333334,117,140,-23,53.4246575342466,81.654281098546
Anthony Tolliver,201229,1.93135965296611,0.946239135263621,2.87759878822973,22,80,18,65,2831,2803,5634,725.65,748.333333333333,1473.98333333333,3317,3207,110,58.8746893858715,81.0131276925339
James Harden,201935,1.41520570633648,1.36912367496447,2.78432938130094,38,47,19,81,6026,5953,11979,1452.55,1469.98333333333,2922.53333333333,7134,6877,257,59.5542198847984,87.8771841781103
Brandon Bass,101138,0.0253323785800699,2.75526222313482,2.78059460171489,195,19,20,52,1139,1114,2253,292.333333333333,283.266666666667,575.6,1274,1319,-45,56.5468264536174,79.6803335649757
Stephen Curry,201939,2.6238223729794,0.0941955719031495,2.71801794488255,13,207,21,79,5472,5412,10884,1269.13333333333,1339.73333333333,2608.86666666667,6683,5953,730,61.4020580668872,92.2193545089822
Donatas Motiejunas,202700,-0.603469951492532,3.31658551155627,2.71311556006374,310,11,22,34,941,946,1887,230.933333333333,241.566666666667,472.5,1022,1136,-114,54.1600423953365,77.8666666666667
Greg Monroe,202328,1.12827052648526,1.56714085253034,2.6954113790156,58,39,23,81,3465,3480,6945,911.416666666667,923.25,1834.66666666667,4011,3984,27,57.7537796976242,78.7042151162791
Cole Aldrich,202332,1.64375664804051,0.9001627613979,2.54391940943841,27,89,24,62,1013,1029,2042,256.683333333333,269.966666666667,526.65,1171,1146,25,57.3457394711068,80.0455710623754
Georgios Papagiannis,1627834,-0.809708109325105,3.34993707619506,2.54022896686995,335,10,25,22,707,651,1358,186.1,170.216666666667,356.316666666667,775,792,-17,57.0692194403535,78.3011366294027
Pat Connaughton,1626192,1.80344978981568,0.7347995531627,2.53824934297838,24,108,26,38,615,595,1210,156.866666666667,155.383333333333,312.25,694,678,16,57.3553719008265,80.0128102481986
Nicolas Brussino,1627852,-0.380491254874156,2.88642894602899,2.50593769115484,276,17,27,54,986,975,1961,261.1,250.966666666667,512.066666666667,1068,1169,-101,54.4620091789903,75.0839734409582
Manu Ginobili,1938,0.492780517833992,1.95808719070426,2.45086770853825,128,27,28,69,2523,2574,5097,642.166666666667,654.983333333333,1297.15,2788,3025,-237,54.6988424563469,77.3757853756312
